4f33dff15a864cb23ca3ca362d0580743a9e3c3de754d3021e0550c2b418678c,f29ff3be2472c0f557f3c38b52c19f63fae8b4b48a5bcf0685d55fc77b9637b9,f245a4f94821367a0608082a2aa00e3dee8684d66bd8388e37093bb2f947fd03
"10000101","2","15"
"10000201","1","15"
"10000401","1","25"
"10000601","3","50"
"10000801","2","15"
"10000901","1","15"
"10001001","3","25"
"10001101","2","10"
"10001501","3","25"
"10001502","1","15"
"20101001","1","15"
"20103001","3","50"
"20105001","2","25"
"20106001","1","25"
"20107001","3","25"
"20108001","2","25"
"20112001","3","25"
"20112002","1","50"
"20115001","1","30"
"20117001","3","75"
"20119001","2","50"
"20120001","1","50"
"20121001","3","30"
"20122001","2","50"
"20126001","3","30"
"20126002","1","50"
"20129001","2","50"
"20131001","1","50"
"20133001","3","100"
"20135001","2","50"
"20136001","1","50"
"20137001","3","50"
"20138001","2","50"
"20142001","3","50"
"20142002","1","50"
"20145001","1","100"
"20146001","3","100"
"20147001","2","75"
"20150001","1","200"
