21e22aba4dbd989e92a8dddb9c4a7d50b591ef04575d550c2731458d44cba214,50896e4de7deae3d1859034391956feb2cadd9feebde2a44c327c8aa6dce1c2f,addb386b8b0aa35cce47ac670c37c935d95e58a66c30c96801b4fcdb4f1103b2,b436f0179ebca48a11fccb8e306362b7f8066b8dcbed473ba400412070ae9ee5,21d1ad8e32a8625c805a0fe918d91bd7a529dcb8e3890f6d1b4319a734bb6222,91553e4fe65db398f6e1121e5f66841605effaae064608fe0000eb1391a9dbaf,3afe054fe8aca39ca9e4b8bb6788ba1de00e0527e1557e1f4741482c24662494,2fc7af2b2601f9caf4700f2cd093c0dba286bd30b378fcc7c85fa9ab2c8cf037,beee57a446b11fd47cea854cf933e8e3f55bc4a304731740ce0d4b5cf3dd9b1a,e65469f32d793bd74b290958efe515c5970bf5eb3f1a66dc015c6fff4ad5b8b9
"10001","2019/02/15 14:59:59","2018/01/01 15:00:00","0","0","0","0","0","0","0"
"10002","2019/02/28 11:59:59","2019/02/15 15:00:00","1","1001","1001","1001","1","0","0"
"10003","2020/02/15 14:59:59","2019/02/28 12:00:00","1","1001","0","0","1","0","0"
"10004","2020/02/29 11:59:59","2020/02/15 15:00:00","1","1001","1002","1002","1","1002","0"
"10005","2020/02/29 11:59:59","2020/02/15 15:00:00","2","1002","1002","1002","2","1002","2015009"
"10006","2020/08/15 14:59:59","2020/02/29 12:00:00","1","1001","0","0","1","0","0"
"10007","2020/08/15 14:59:59","2020/02/29 12:00:00","2","1002","0","0","2","0","2015009"
"10008","2020/08/31 11:59:59","2020/08/15 15:00:00","1","1001","0","0","1","1003","0"
"10009","2020/08/31 11:59:59","2020/08/15 15:00:00","2","1002","0","0","2","1003","2015009"
"10010","2021/02/15 14:59:59","2020/08/31 12:00:00","1","1001","0","0","1","0","0"
"10011","2021/02/15 14:59:59","2020/08/31 12:00:00","2","1002","0","0","2","0","2015009"
"10012","2021/02/28 11:59:59","2021/02/15 15:00:00","1","1001","1003","1003","1","1004","0"
"10013","2021/02/28 11:59:59","2021/02/15 15:00:00","2","1002","1003","1003","2","1004","2015009"
"10014","2021/08/15 14:59:59","2021/02/28 12:00:00","1","1001","0","0","1","0","0"
"10015","2021/08/15 14:59:59","2021/02/28 12:00:00","2","1002","0","0","2","0","2015009"
"10016","2021/08/31 11:59:59","2021/08/15 15:00:00","1","1001","0","0","1","1005","0"
"10017","2021/08/31 11:59:59","2021/08/15 15:00:00","2","1002","0","0","2","1005","2015009"
"10018","2022/02/15 14:59:59","2021/08/31 12:00:00","1","1001","0","0","1","0","0"
"10019","2022/02/15 14:59:59","2021/08/31 12:00:00","2","1002","0","0","2","0","2015009"
"10020","2022/02/28 11:59:59","2022/02/15 15:00:00","1","1001","1004","1004","1","1006","0"
"10021","2022/02/28 11:59:59","2022/02/15 15:00:00","2","1002","1004","1004","2","1006","2015009"
"10022","2022/08/15 14:59:59","2022/02/28 12:00:00","1","1001","0","0","1","0","0"
"10023","2022/08/15 14:59:59","2022/02/28 12:00:00","2","1002","0","0","2","0","2015009"
"10024","2022/08/31 11:59:59","2022/08/15 15:00:00","1","1001","0","0","1","1007","0"
"10025","2022/08/31 11:59:59","2022/08/15 15:00:00","2","1002","0","0","2","1007","2015009"
"10026","2023/02/15 14:59:59","2022/08/31 12:00:00","1","1001","0","0","1","0","0"
"10027","2023/02/15 14:59:59","2022/08/31 12:00:00","2","1002","0","0","2","0","2015009"
"10028","2023/02/28 11:59:59","2023/02/15 15:00:00","1","1001","1005","1005","1","1008","0"
"10029","2023/02/28 11:59:59","2023/02/15 15:00:00","2","1002","1005","1005","2","1008","2015009"
"10030","2023/08/15 14:59:59","2023/02/28 12:00:00","1","1001","0","0","1","0","0"
"10031","2023/08/15 14:59:59","2023/02/28 12:00:00","2","1002","0","0","2","0","2015009"
"10032","2023/08/15 14:59:59","2023/03/15 12:00:00","3","1003","0","0","2","0","2201005"
"10033","2023/08/31 11:59:59","2023/08/15 15:00:00","1","1001","0","0","1","1009","0"
"10034","2023/08/31 11:59:59","2023/08/15 15:00:00","2","1002","0","0","2","1009","2015009"
"10035","2024/02/14 23:59:59","2023/08/31 12:00:00","1","1001","0","0","1","0","0"
"10036","2024/02/14 23:59:59","2023/08/31 12:00:00","2","1002","0","0","2","0","2015009"
"10037","2023/08/31 11:59:59","2023/08/15 15:00:00","3","1003","0","0","2","1009","2201005"
"10038","2024/02/14 23:59:59","2023/08/31 12:00:00","3","1003","0","0","3","0","2201005"
"10039","2024/02/29 11:59:59","2024/02/15","1","1001","1006","1006","1","1010","0"
"10040","2024/02/29 11:59:59","2024/02/15","2","1002","1006","1006","2","1010","2015009"
"10041","2024/08/15 14:59:59","2024/02/29 12:00:00","1","1001","0","0","1","0","0"
"10042","2024/08/15 14:59:59","2024/02/29 12:00:00","2","1002","0","0","2","0","2015009"
"10043","2024/02/29 11:59:59","2024/02/15","3","1003","1006","1006","3","1010","2201005"
"10044","2024/08/15 14:59:59","2024/02/29 12:00:00","3","1003","0","0","3","0","2201005"
"10045","2024/08/16 11:59:59","2024/08/15 15:00:00","1","1001","0","0","1","1011","0"
"10046","2024/08/16 11:59:59","2024/08/15 15:00:00","2","1002","0","0","2","1011","2015009"
"10047","2024/08/16 11:59:59","2024/08/15 15:00:00","3","1003","0","0","3","1011","2201005"
"10048","2024/08/21 11:59:59","2024/08/16 12:00:00","1","1004","0","0","1","1011","0"
"10049","2024/08/21 11:59:59","2024/08/16 12:00:00","2","1004","0","0","2","1011","2015009"
"10050","2024/08/21 11:59:59","2024/08/16 12:00:00","3","1004","0","0","3","1011","2201005"
"10051","2024/08/31 11:59:59","2024/08/21 12:00:00","1","1001","0","0","1","1011","0"
"10052","2024/08/31 11:59:59","2024/08/21 12:00:00","2","1002","0","0","2","1011","2015009"
"10053","2025/02/14 23:59:59","2024/08/31 12:00:00","1","1001","0","0","1","0","0"
"10054","2025/02/14 23:59:59","2024/08/31 12:00:00","2","1002","0","0","2","0","2015009"
"10055","2024/08/31 11:59:59","2024/08/21 12:00:00","3","1003","0","0","3","1011","2201005"
"10056","2025/02/14 23:59:59","2024/08/31 12:00:00","3","1003","0","0","3","0","2201005"
"10057","2025/02/15 14:59:59","2025/01/31 12:00:00","1","1005","0","0","1","0","0"
"10058","2025/02/15 14:59:59","2025/01/31 12:00:00","2","1005","0","0","2","0","2015009"
"10059","2025/02/15 14:59:59","2025/01/31 12:00:00","3","1005","0","0","3","0","2201005"
"10060","2025/02/23 4:59:59","2025/02/15 15:00:00","1","1005","1007","1007","1","1012","0"
"10061","2025/02/23 4:59:59","2025/02/15 15:00:00","2","1005","1007","1007","2","1012","2015009"
"10062","2025/02/23 4:59:59","2025/02/15 15:00:00","3","1005","1007","1007","3","1012","2201005"
"10063","2025/02/28 11:59:59","2025/02/23 5:00:00","1","1001","1007","1007","1","1012","0"
"10064","2025/02/28 11:59:59","2025/02/23 5:00:00","2","1002","1007","1007","2","1012","2015009"
"10065","2025/02/28 11:59:59","2025/02/23 5:00:00","3","1003","1007","1007","3","1012","2201005"
"10066","2025/08/15 14:59:59","2025/02/28 12:00:00","1","1001","0","0","1","0","0"
"10067","2025/08/15 14:59:59","2025/02/28 12:00:00","2","1002","0","0","2","0","2015009"
"10068","2025/08/15 14:59:59","2025/02/28 12:00:00","3","1003","0","0","3","0","2201005"
"10069","2025/08/31 11:59:59","2025/08/15 15:00:00","1","1001","0","0","1","1013","0"
"10070","2025/08/31 11:59:59","2025/08/15 15:00:00","2","1002","0","0","2","1013","2015009"
"10071","2025/08/31 11:59:59","2025/08/15 15:00:00","3","1003","0","0","3","1013","2201005"
"10072","2026/02/15 11:59:59","2025/08/31 12:00:00","1","1001","0","0","1","0","0"
"10073","2026/02/15 11:59:59","2025/08/31 12:00:00","2","1002","0","0","2","0","2015009"
"10074","2026/02/15 11:59:59","2025/08/31 12:00:00","3","1003","0","0","3","0","2201005"
"10075","2026/03/16 4:59:59","2026/02/15 12:00:00","1","1001","1008","1008","1","1014","0"
"10076","2026/03/16 4:59:59","2026/02/15 12:00:00","2","1002","1008","1008","2","1014","2015009"
"10077","2026/03/16 4:59:59","2026/02/15 12:00:00","3","1003","1008","1008","3","1014","2201005"
"10078","2026/08/15 11:59:59","2026/03/16 5:00:00","1","1001","0","0","1","0","0"
"10079","2026/08/15 11:59:59","2026/03/16 5:00:00","2","1002","0","0","2","0","2015009"
"10080","2026/08/15 11:59:59","2026/03/16 5:00:00","3","1003","0","0","3","0","2201005"
