788a62bcc060f1ccf5d72ae980123773beb75f4806267978e099b21ee0f3e7ac,044ed965cf9534eb0f8f32e4749f58476ee423d843d4a70c3f1f36c2561d86be,dc8dbdafa00e452273f3874613c5f6a3731722eb7e9fec2eea593484335aed46,449b3a44a88deb218957f10ac379cce7c77761f5357c018d0b3688afa0c10713,6a5656ecf0dd4e9b731a0a038df5401034c043c787f17c1b6255735739bfcef7,dfd963624085fc01b492bee2ab785071c2aa9b09d6be6da88e51852c50d8d49e,ff24e38b958b76b8dbac48bd0efd24afc3b0fdf993cf4347a6412ac8ad133052,30e1bdcbba1ab8e75e087188af4d2ed5446c48b96e2ce80484c8a7dc6a3c1287,b17c22b28b2ed2c1c745ccda4f88c38107a8c7057427f443428e64f0c7cd7065,656e02aa5aed16d74267c8581feb29e30e72fb651a2505d2a8c2f1bf3e7cb84a,48a490ed1d9be3f19edb0ab42c1211676c8034727702b3250baa651b8911983a,34de734d96fe1a03e11dcb465a12f626245d24679981015609add68df0353d96,9a33c623b44f0a2bb6921c3aaa80a8197c2ff57ca5c233a094112faa70ce529f
"10001","0","0","0","0","60002","31038","0","0","0","31012","0","60001"
"10002","0","0","0","0","60012","31004","0","0","0","31020","0","60011"
"10003","0","0","0","0","60022","31017","0","0","0","31010","0","60021"
"10004","0","0","0","0","60032","31028","0","0","0","31076","0","60031"
"10005","0","0","0","0","60042","31032","0","0","0","31080","0","60041"
"10006","0","0","0","0","60052","31034","0","0","0","31047","0","60051"
"10007","0","0","0","0","60062","31022","0","0","0","31082","0","60061"
"10008","0","0","0","0","60072","31051","0","0","0","31009","0","60071"
"10009","0","0","0","0","60082","31029","0","0","0","31085","0","60081"
"10010","0","0","0","0","60092","31002","0","0","0","31089","0","60091"
"10011","0","0","0","0","60102","31011","0","0","0","31090","0","60101"
"10012","0","0","0","0","60112","31008","0","0","0","31043","0","60111"
"10013","0","0","0","0","60122","31018","0","0","0","31093","0","60121"
"10014","0","0","0","0","60132","31038","0","0","0","31012","0","60131"
"10015","0","0","0","0","60142","31045","0","0","0","31053","0","60141"
"10016","0","0","0","0","60152","31004","0","0","0","31020","0","60151"
"10017","0","0","0","0","60162","31025","0","0","0","31098","0","60161"
"10018","0","0","0","0","60172","31017","0","0","0","31010","0","60171"
"10019","0","0","0","0","60182","31050","0","0","0","31101","0","60181"
"10020","0","0","0","0","60192","31028","0","0","0","31076","0","60191"
"10021","0","0","0","0","60202","31014","0","0","0","31105","0","60201"
"10022","0","0","0","0","60212","31032","0","0","0","31080","0","60211"
"10023","0","0","0","0","60222","31040","0","0","0","31056","0","60221"
"10024","0","0","0","0","60232","31034","0","0","0","31047","0","60231"
"10025","0","0","0","0","60242","31036","0","0","0","31112","0","60241"
"10026","0","0","0","0","60252","31022","0","0","0","31082","0","60251"
"10027","0","0","0","0","60262","31005","0","0","0","31037","0","60261"
"10028","0","0","0","0","60272","31051","0","0","0","31009","0","60271"
"10029","0","0","0","0","60282","31044","0","0","0","31116","0","60281"
"10030","0","0","0","0","60292","31029","0","0","0","31085","0","60291"
"10031","0","0","0","0","60302","31021","0","0","0","31121","0","60301"
"10032","0","0","0","0","60312","31002","0","0","0","31089","0","60311"
"10033","0","0","0","0","60322","31049","0","0","0","31123","0","60321"
"10034","0","0","0","0","60332","31011","0","0","0","31090","0","60331"
"10035","0","0","0","0","60342","31042","0","0","0","31126","0","60341"
"10036","0","0","0","0","60342","31042","0","0","0","31126","0","60341"
"10037","0","0","0","0","60362","31008","0","0","0","31043","0","60361"
"10038","0","0","0","0","60372","31046","0","0","0","31107","0","60371"
"10039","0","0","0","0","60382","31018","0","0","0","31093","0","60381"
"10040","0","0","0","0","60392","31033","0","0","0","31028","0","60391"
"10041","0","0","0","0","60402","31045","0","0","0","31053","0","60401"
"10042","0","0","0","0","60412","31065","0","0","0","31130","0","60411"
"10043","0","0","0","0","60422","31050","0","0","0","31101","0","60421"
"10044","0","0","0","0","60432","31027","0","0","0","31132","0","60431"
"10045","0","0","0","0","60442","31014","0","0","0","31105","0","60441"
"10046","0","0","0","0","60452","31023","0","0","0","31135","0","60451"
"10047","0","0","0","0","60462","31040","0","0","0","31056","0","60461"
"10048","0","0","0","0","60472","31013","0","0","0","31016","0","60471"
"10049","0","0","0","0","60482","31036","0","0","0","31112","0","60481"
"10050","0","0","0","0","60492","31054","0","0","0","31141","0","60491"
"10051","0","0","0","0","60502","31005","0","0","0","31037","0","60501"
"10052","0","0","0","0","60512","31037","0","0","0","31014","0","60511"
"10053","0","0","0","0","60522","31025","0","0","0","31098","0","60521"
"10054","0","0","0","0","60532","31048","0","0","0","31146","0","60531"
"10055","0","0","0","0","60542","31044","0","0","0","31116","0","60541"
"10056","0","0","0","0","60552","31060","0","0","0","31147","0","60551"
"10057","0","0","0","0","60562","31021","0","0","0","31121","0","60561"
"10058","0","0","0","0","60572","31003","0","0","0","31156","0","60571"
"10059","0","0","0","0","60572","31003","0","0","0","31156","0","60571"
