a4ec6f58375f4a0af9c72cd8745ebce40d578d7390aaa9e5c514ec6c8dd888a5,04f62713d1b2f04e22b465d15a8fbbc26c102650891ecc4d77c722a845301d81,33f408f98e00bbf0172622b7d54aa7785531d68c51a49f668cb7827812314cf1
"20114","180701","118301"
"20115","180701","118301"
"20116","180701","118401"
"20117","180701","118401"
"20118","180701","118401"
"20123","180801","120501"
"20124","180801","120401"
"20125","180801","120601"
"20126","180801","120401"
"20127","180801","120501"
"20128","180801","120601"
"30157","180801","120601"
"20129","180901","121801"
"20130","180901","121801"
"20131","180901","121701"
"20132","180901","121801"
"20133","180901","121701"
"20134","180901","121701"
"20135","180901","121701"
"20148","181001","124301"
"20149","181001","124301"
"20150","181001","124401"
"20151","181001","124401"
"20167","181101","128101"
"20168","181101","128101"
"20169","181101","128101"
"20170","181101","128101"
"20171","181101","128201"
"20172","181101","128201"
"20175","181101","128101"
