a2c34b5d7e9c26dbef0a5a0cb6debfd82a8a85174f6451eab92935c76174c828,4cb2bb0932dda8fa36e83cae2b77d7eba81e0962cee512839a409472168bc24e,14780d6f93da42e75cab4253795c0d1ba012d9b5af6fb349d381f07871ba7dd6,3d3021b3e02f528119fa8a1314785c2d479c2bc9331df374c0274971c219f3cc,de244bf2fa1be8b14f2eb7fbf723838270d5fe021a29787ade68f4c335ff8bab,d047a9f87a544af2ea7a7dec2d0d0f46ed3bb43a54744dfa3dbd47e588138f7b,00544e8bf2bf0ef55f913192fa64da65aff64098497d55037b59c68ffe51bb9e,f6b29edb4ce4c2ef6691ee6efe4966f26e98e7415e30a0236f6457998a0526b8,e680c41986a064e8660e288a350c03460c40128475db51355314b3f875d633a2,2df4ed50e876711657f57d9e5906abede17e3e72186bc4578bde20bc3dd7e8d8,2f7aba1cfc18f21e6dc7a20ac7965cf8dd0c35d9c2500e8dbc4cae712d564e5c,5b658f9e5bd0ad7212d560e663d199b970d587250dc0c057a0916aa873e36823
"20000","2030/08/01 14:59:59","1","0","0","0","2015/12/17 15:00:00","0","ランダムなEXPポーションが獲得できる。","2","ランダムEXPポーションBOX","6"
"20001","2030/08/01 14:59:59","999999","0","60","80","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが60加算される。","1","ミニEXPポーション","1"
"20002","2030/08/01 14:59:59","999999","0","300","400","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが300加算される。","2","EXPポーション","1"
"20003","2030/08/01 14:59:59","999999","0","1500","2000","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが1500加算される。","3","EXPハイポーション","1"
"20004","2030/08/01 14:59:59","999999","0","7500","10000","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが7500加算される。","4","EXPメガポーション","1"
"20005","2030/08/01 14:59:59","999999","0","37500","50000","2015/12/17 15:00:00","0","キャラのLv強化に使用すると、キャラEXPが37500加算される。","5","EXPギガポーション","1"
"21001","2030/08/01 14:59:59","999","0","1","0","2020/11/30 12:00:00","0","ユカリ（クリスマス）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","1","ユカリ（クリスマス）専用スフィア / Lv180","21"
"21002","2030/08/01 14:59:59","999","0","2","0","2020/12/31 12:00:00","0","ムイミ（ニューイヤー）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","1","ムイミ（ニューイヤー）専用スフィア / Lv180","21"
"21003","2030/08/01 14:59:59","999","0","3","0","2021/01/31 12:00:00","0","ユイ（儀装束）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","1","ユイ（儀装束）専用スフィア / Lv180","21"
"21004","2030/08/01 14:59:59","999","0","5","0","2021/02/28 12:00:00","0","リマ（シンデレラ）専用のグロウスフィア。キャラのステータスをLv180/RANK19まで強化できる。","1","リマ（シンデレラ）専用スフィア / Lv180","21"
