73b44e26a92ef8ef3c39b297def4bef65cc36dc13a7ea038bfb6233aa613f00c,22177cc38f0579e818a37361e8c3e5028a806b8b2bdb4d61a0d4b82044de3275
"ＨＰ強化","1"
"物理攻撃力強化","2"
"物理防御力強化","3"
"魔法攻撃力強化","4"
"魔法防御力強化","5"
"物理クリティカル強化","6"
"魔法クリティカル強化","7"
"回避強化","8"
"ＨＰ吸収強化","9"
"ＨＰ自動回復強化","10"
"ＴＰ自動回復強化","11"
"物理貫通ダメージ強化","12"
"魔法貫通ダメージ強化","13"
"ＴＰ上昇強化","14"
"回復量上昇強化","15"
"ＴＰ消費軽減強化","16"
"命中強化","17"
"物理・魔法攻撃力強化","50"
"物理・魔法防御力強化","51"
"物理・魔法クリティカル強化","52"
"物理クリティカルダメージ強化","100"
"魔法クリティカルダメージ強化","101"
"物理与ダメージ強化","102"
"魔法与ダメージ強化","103"
"属性ボーナス強化","104"
