2ea675b7755e760dac895e15706562c9b4fa0681ffe21b69c7cd5772932f788b,adac5f3c1061785526d7e618f20fbed29efac22b78b166b3d32e440fd3b39896,d237d600d7885febbd2017f062f4e8337671d8a2f271078d7a8a9b9502bf753b,8707f7d4594c899b7c807034b942bb55f288d65564d5b2b84d24f4f28ccb78be,e4ebd0641889f674d46fdbc9146ac7f6156b8b88ce5e323097811d5c23323c35,8fe1c7cf7b3dddfcba123a77b3dae292341cb1d62587bec33fbcaa5aba7164f7,4dc25ee52af1d5b8d965bd5c6f620c50a6772f5804b446309dda2cb6766fcb3f,0621d82eca0fe946d99e61c3c775e08783acb06420dd3ebad133ce8215c5f1ff
"【料理】ダイスが2個に増える","1","0","0","1","1","1","52001"
"【料理】ダイスの目が必ず「1」になる","1","0","0","1","1","2","52002"
"【料理】次のターン数のカウントをスキップする","1","0","0","3","2","3","52002"
"【料理】ダイスの目が必ず「4」になる","1","0","0","1","1","4","52004"
"【料理】ダイスの目が\n「4・5・6」のみになる","1","0","0","1","1","5","52006"
"【料理】ダイスの目が1回目は必ず「3」に、2回目は必ず「6」になる","1","0","0","1","1","6","52007"
"【料理】ダイスの目が必ず「5」になる","1","0","0","1","1","7","52003"
"【料理】マイルマスの獲得マイルが200%アップする","1","0","0","2","7","8","52008"
"【イベント】次のターン数のカウントをスキップする","2","0","0","3","2","9","4"
"【イベント】マイルマスの獲得マイルが100%アップする","2","0","0","2","3","10","5"
"【イベント】ミニゲームの獲得マイルが100%アップする","2","0","0","2","5","11","6"
"【イベント】マイルショップの全商品が20%以上割引される","2","0","0","3","4","12","7"
"【料理】ダイスの目が1回目は必ず「8」に、2回目は必ず「1」になる","1","0","0","1","1","13","52009"
"【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","1","0","0","2","6","14","52010"
"【料理】ダイスの目が1回目は必ず「2」に、2回目は必ず「7」になる","1","0","0","1","1","15","52011"
"【料理】ダイスの目が\n「1・2・3」のみになる","1","0","0","1","1","16","52012"
"【料理】次のターン数のカウントをスキップする","1","0","0","3","2","17","52012"
"【料理】移動時にマイルマスをスキップできる","1","0","0","1","8","18","52014"
"【料理】次回移動時に1マス分多く進める","1","0","0","1","1","19","52005"
"【料理】次回移動時に1マス分多く進める","1","2","2","1","1","20","52014"
"【料理】ダイスが2個に増える","1","0","0","1","1","21","52015"
"【料理】次回移動時に1マス分多く進める","1","0","0","1","1","22","52015"
"【料理】ダイスの目が必ず「6」になる","1","0","0","1","1","23","52016"
"【料理】移動系カテゴリーの料理が食べられなくなる","1","0","0","1","9","24","52017"
"【料理】ダイスの目が必ず「3」になる","1","0","0","1","1","25","52018"
"【料理】ダイスの目が必ず「8」になる","1","0","0","1","1","26","52019"
"【イベント】次のターン数のカウントをスキップする","2","0","0","3","2","27","98011"
"【イベント】次のターン数のカウントをスキップする","2","0","0","3","2","28","98012"
"【料理】移動時にマイルマスをスキップできる","1","0","0","2","10","29","52020"
"【料理】次回移動時に1マス分多く進める","1","2","2","1","1","30","52020"
"【料理】移動時にトレジャーマスをスキップできる","1","0","0","2","10","31","52021"
"【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","1","0","0","1","1","32","52022"
"【料理】ダイスの目が1回目は必ず「6」に、2回目は必ず「3」になる","1","0","0","1","1","33","52023"
"【料理】次回移動時に3マス分多く進める","1","0","0","1","1","34","52024"
"【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","1","0","0","2","10","35","52025"
"【料理】ダイスの目が必ず「5」になる","1","0","0","1","1","36","52027"
"【料理】ダイスの目が\n「1・2」のみになる","1","0","0","1","1","37","52028"
"【料理】ダイスの目が必ず「2」になる","1","0","0","1","1","38","52029"
"【料理】次のターン数のカウントをスキップする","1","0","0","3","2","39","52029"
"【イベント】マイルショップの全商品が20%以上割引される","2","0","0","3","4","40","8"
"【料理】「マイルマス」を「トレジャーマス」に変化させる","1","0","0","3","11","41","52030"
"【料理】ダイスの目が\n「1・6・6・6・8・8」になる","1","0","0","1","1","42","52031"
"最大ｎマイルを入手する","3","0","0","1","99","1001","1"
"ダイスを1回振りなおせる","3","0","0","1","99","1002","2"
"ダイスを1回振りなおせる_有効ターン2","3","0","0","1","99","1003","3"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","0","0","1","126501","11001","1001"
"【仲間】最大1000マイルを入手する","3","0","0","1","105301","11002","1002"
"【仲間】料理を1つ入手する","3","0","0","1","126401","11003","1003"
"【仲間】ダイスの目を1回振りなおせる","3","0","0","1","100501","11004","1004"
"【仲間】ダイスの目を2回振りなおせる","3","0","0","1","101301","11005","1005"
"【仲間】出目が4のダイスを同時に振ってどちらか選択できる","3","0","0","1","104301","11006","1006"
"【仲間】出目が3のダイスを同時に振ってどちらか選択できる","3","0","0","1","102701","11007","1007"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","0","0","1","100901","11008","1008"
"【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","3","0","0","1","105101","11009","1009"
"【仲間】最大1000マイルを入手する","3","0","0","1","101801","11010","1010"
"【仲間】ダイスの表と裏どちらを適用するか選択できる","3","0","0","1","129701","11011","1011"
"【仲間】ダイスの目を1回振りなおせる","3","0","0","1","101601","11012","1012"
"【仲間】ダイスの目を2回振りなおせる","3","0","0","1","105601","11013","1013"
"【仲間】出目が3のダイスを同時に振ってどちらか選択できる","3","0","0","1","102001","11014","1014"
"【仲間】出目の合計が7以上になるまでダイスを追加で振れる","3","0","0","1","129601","11015","1015"
"【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","3","0","0","1","100401","11016","1016"
"【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","3","0","0","1","127701","11017","1017"
