fc520677b0f3feba34a751b05986c733f65a74925e80f7c1ebacab967311bbf3,837c63d068d0406fdc4160a107cdef48209c9eaa3bb4fead8e39176e82122598,c8ad4a71f6af82f2b6ff1c6c5c97e0cf8ce38af1bddbb9588829a1dde505e58f,ad4faf97125e8dc16725d2525e81b2ccd7ebba9672db7ca433cb07b0e6258765
"1","10000","1","ＨＰ"
"1","10000","2","物理攻撃力"
"1","10000","3","物理防御力"
"1","10000","4","魔法攻撃力"
"1","10000","5","魔法防御力"
"1","10000","6","物理クリティカル"
"1","10000","7","魔法クリティカル"
"0","1","8","回避"
"0","1","9","ＨＰ吸収"
"0","1","10","ＨＰ自動回復"
"0","1","11","ＴＰ自動回復"
"0","1","12","物理貫通ダメージ"
"0","1","13","魔法貫通ダメージ"
"0","1","14","ＴＰ上昇"
"0","1","15","回復量上昇"
"0","1","16","ＴＰ消費軽減"
"0","1","17","命中"
"1","100","100","物理クリティカルダメージ"
"1","100","101","魔法クリティカルダメージ"
"1","100","102","物理与ダメージ"
"1","100","103","魔法与ダメージ"
"1","10000","104","属性ボーナス"
