83a79edc88375abc5602f04b82096bd46069ae33fbf87ba1d846c22954dd34b3,f9b1b5a4a355c2054b8907061f0241f05dd9fea74555384a8e8e4a0a15ccc5b3,e3134d2e44a50d09f7b3ad0476e959a26cb12b3338be8de7abec6306d4589f80,bea4568be2a2e16d08decf4f7d1a798db09671476035352c839e2a33f9b2f16f,4aba4cb02888a172941f54b7d834c4be9c07448e4689a544d98485c35d1b0029,8f81ade916e81d9e9ad7b5273f579a6564eb701b03589179dd3aa794352522c1,1f3148a4e980a6cf781f17914d659c5f3da07c7652d77938cd8e015c25bb8791,42da21efc103c69bd136d3874a072c0db5501b97136e09e24de62dc696a8986d,c4dcdf41d7641284c12a545dee5ce83494409d5942072589bf21376f2ee6cc40,b4c53ac9f975b77d97d43df0a796a4aa17ded6d549edf2afcb42ba30ecba356d,59f3132a13e7209fbcec359b226b6c4cd3f19261de4b2095cd90138d9ae9bcb4
"se_travel_start_1pt","23","","","se_travel","0","","","111","","101110001"
"10010","31","","0","10010","0","1","","111","1","101110002"
"10011","31","","0","10011","0","1","","111","1","101110003"
"10020","31","","0","10020","0","1","","111","0","101110004"
"1001001","1","0","-150","2","62","-150","<weapon>_idle","111","0.68","101110005"
"1001002","1","0","-250","2","61","-75","<weapon>_idle","111","0.68","101110006"
"1001003","1","0","-350","2","63","-180","<weapon>_idle","111","0.68","101110007"
"1001004","1","0","-450","2","61","-75","<weapon>_idle","111","0.68","101110008"
"1001005","1","0","-550","2","62","-150","<weapon>_idle","111","0.68","101110009"
"1001001","31","0","-150","10012","-150","0.68","","111","1","101110010"
"1001002","31","0","-75","10012","-250","0.68","","111","1","101110011"
"1001003","31","0","-180","10012","-350","0.68","","111","1","101110012"
"1001004","31","0","-75","10012","-450","0.68","","111","1","101110013"
"1001005","31","0","-150","10012","-550","0.68","","111","1","101110014"
"10030","31","","0","10030","0","1","","111","0","101110015"
"10031","31","","0","10031","0","1","","111","0","101110016"
"0","91","","","","","","","111","","101110017"
"1","32","","","10030","","","","111","","101110018"
"0","91","","","0","","","","111","","101110019"
"<weapon>_run","3","","","1001001","1","0","","111","0","101110020"
"<weapon>_run","3","","","1001002","1","0","","111","0","101110021"
"<weapon>_run","3","","","1001003","1","0","","111","0","101110022"
"<weapon>_run","3","","","1001004","1","0","","111","0","101110023"
"<weapon>_run","3","","","1001005","1","0","","111","0","101110024"
"800","2","","3","1001001","-150","0","","111","","101110025"
"700","2","","3","1001002","-75","0","","111","","101110026"
"600","2","","3","1001003","-180","0","","111","","101110027"
"500","2","","3","1001004","-75","0","","111","","101110028"
"400","2","","3","1001005","-150","0","","111","","101110029"
"800","33","","3","1001001","-150","0","","111","","101110030"
"700","33","","3","1001002","-75","0","","111","","101110031"
"600","33","","3","1001003","-180","0","","111","","101110032"
"500","33","","3","1001004","-75","0","","111","","101110033"
"400","33","","3","1001005","-150","0","","111","","101110034"
"1","32","","","10020","","","","111","","101110035"
"0","93","","","2.5","","","","111","","101110036"
"1","32","","","10031","","","","111","","101110037"
"0","93","","","0.4","","","","111","","101110038"
"0","91","","","0","","","","111","","101110039"
"se_travel_start_2pt","23","","","se_travel","0","","","211","","102110001"
"10010","31","","0","10010","0","1","","211","1","102110002"
"10011","31","","0","10011","0","1","","211","1","102110003"
"10020","31","","0","10020","0","1","","211","0","102110004"
"1001001","1","0","-100","2","62","-90","<weapon>_idle","211","0.68","102110005"
"1001002","1","0","-170","2","61","-15","<weapon>_idle","211","0.68","102110006"
"1001003","1","0","-240","2","63","-105","<weapon>_idle","211","0.68","102110007"
"1001004","1","0","-310","2","61","-15","<weapon>_idle","211","0.68","102110008"
"1001005","1","0","-380","2","62","-90","<weapon>_idle","211","0.68","102110009"
"1001001","31","0","-90","10012","-100","0.68","","211","1","102110010"
"1001002","31","0","-15","10012","-170","0.68","","211","1","102110011"
"1001003","31","0","-105","10012","-240","0.68","","211","1","102110012"
"1001004","31","0","-15","10012","-310","0.68","","211","1","102110013"
"1001005","31","0","-90","10012","-380","0.68","","211","1","102110014"
