875c37cfe2932885425984fdc174447e09519f9465cded52513ea15c278ba672,28d0bac316ffb0a2138bdb9d0420d4ccd1db5b57b86f98be4eda4bedca0c909b,1dadefd61ef15b86b2f8cf46e884c5252f67455c1d5757e50d6f74fd12a89f31,3df3573feab3dd4171629e09c2e17fe1ed522b6c4e42495deb890b0f822a7809,f7ab5dcd4c496487be2977c1c67ff7b661dc1633f8ee4680cbb62148eb092ae5,9654bfd965ab9626794bc5ee942f30f501ee7a9e4690130154eb06cf5c3399a6
"15","1001","1","11001001","99001001","1"
"8","0","10","91002","99001001","2"
"15","1001","1","11001002","99001002","3"
"8","0","10","91002","99001002","4"
"15","1002","1","11001003","99001003","5"
"8","0","20","91002","99001003","6"
"15","1003","1","11001004","99001004","7"
"8","0","30","91002","99001004","8"
"15","1001","1","11001005","99001005","9"
"8","0","10","91002","99001005","10"
"15","1001","1","11001006","99001006","11"
"8","0","10","91002","99001006","12"
"15","1002","1","11001007","99001007","13"
"8","0","20","91002","99001007","14"
"15","1003","1","11001008","99001008","15"
"8","0","30","91002","99001008","16"
"15","1001","1","11001009","99001009","17"
"8","0","10","91002","99001009","18"
"15","1001","1","11001010","99001010","19"
"8","0","10","91002","99001010","20"
"15","1002","1","11001011","99001011","21"
"8","0","20","91002","99001011","22"
"15","1003","1","11001012","99001012","23"
"8","0","30","91002","99001012","24"
"15","1001","1","11001017","99001017","33"
"8","0","30","91002","99001017","34"
"15","1001","1","11001018","99001018","35"
"8","0","30","91002","99001018","36"
"15","1002","1","11001019","99001019","37"
"8","0","30","91002","99001019","38"
"15","1003","1","11001020","99001020","39"
"8","0","30","91002","99001020","40"
"15","1001","0","11001021","99001021","41"
"15","1002","0","11001022","99001022","42"
"15","1001","1","11001023","99001023","43"
"8","0","30","91002","99001023","44"
"15","1001","1","11001024","99001024","45"
"8","0","30","91002","99001024","46"
"15","1002","1","11001025","99001025","47"
"8","0","30","91002","99001025","48"
"15","1003","1","11001026","99001026","49"
"8","0","30","91002","99001026","50"
"15","1001","1","11001027","99001027","51"
"8","0","30","91002","99001027","52"
"15","1001","1","11001028","99001028","53"
"8","0","30","91002","99001028","54"
"15","1002","1","11001029","99001029","55"
"8","0","30","91002","99001029","56"
"15","1003","1","11001030","99001030","57"
"8","0","30","91002","99001030","58"
"15","1001","1","11001031","99001031","59"
"8","0","30","91002","99001031","60"
"15","1001","1","11001032","99001032","61"
"8","0","30","91002","99001032","62"
"15","1002","1","11001033","99001033","63"
"8","0","30","91002","99001033","64"
"15","1003","1","11001034","99001034","65"
"8","0","30","91002","99001034","66"
"15","1001","0","11001039","99001039","75"
"15","1002","0","11001040","99001040","76"
"15","1003","0","11001041","99001041","77"
"15","1001","1","11001042","99001042","78"
"8","0","30","91002","99001042","79"
"15","1001","1","11001043","99001043","80"
"8","0","30","91002","99001043","81"
"15","1002","1","11001044","99001044","82"
"8","0","30","91002","99001044","83"
"15","1003","1","11001045","99001045","84"
"8","0","30","91002","99001045","85"
"15","1001","1","11001046","99001046","86"
"15","1001","1","11001050","99001046","87"
"8","0","30","91002","99001046","88"
"15","1001","1","11001047","99001047","89"
"8","0","30","91002","99001047","90"
"15","1002","1","11001048","99001048","91"
"8","0","30","91002","99001048","92"
"15","1003","1","11001049","99001049","93"
"8","0","30","91002","99001049","94"
"15","1001","1","11001051","99001051","95"
"8","0","30","91002","99001051","96"
"15","1001","1","11001052","99001052","97"
"8","0","30","91002","99001052","98"
"15","1002","1","11001053","99001053","99"
"8","0","30","91002","99001053","100"
"15","1003","1","11001054","99001054","101"
"8","0","30","91002","99001054","102"
"15","1001","1","11001055","99001055","103"
"8","0","30","91002","99001055","104"
"15","1001","1","11001056","99001056","105"
"8","0","30","91002","99001056","106"
"15","1002","1","11001057","99001057","107"
"8","0","30","91002","99001057","108"
"15","1003","1","11001058","99001058","109"
"8","0","30","91002","99001058","110"
"15","1001","1","11001059","99001059","111"
"8","0","30","91002","99001059","112"
"15","1001","1","11001060","99001060","113"
"8","0","30","91002","99001060","114"
"15","1002","1","11001061","99001061","115"
"8","0","30","91002","99001061","116"
"15","1003","1","11001062","99001062","117"
"8","0","30","91002","99001062","118"
"15","1001","1","11001063","99001063","119"
"8","0","30","91002","99001063","120"
"15","1001","1","11001064","99001064","121"
"8","0","30","91002","99001064","122"
"15","1002","1","11001065","99001065","123"
"8","0","30","91002","99001065","124"
"15","1003","1","11001066","99001066","125"
"8","0","30","91002","99001066","126"
"15","1001","1","11001067","99001067","127"
"8","0","30","91002","99001067","128"
"15","1001","1","11001068","99001068","129"
"8","0","30","91002","99001068","130"
"15","1002","1","11001069","99001069","131"
"8","0","30","91002","99001069","132"
"15","1003","1","11001070","99001070","133"
"8","0","30","91002","99001070","134"
"15","1001","0","11001071","99001071","135"
"15","1002","0","11001072","99001072","136"
"15","1003","0","11001073","99001073","137"
"15","1001","1","11001074","99001074","138"
"8","0","30","91002","99001074","139"
"15","1001","1","11001075","99001075","140"
"8","0","30","91002","99001075","141"
"15","1002","1","11001076","99001076","142"
"8","0","30","91002","99001076","143"
"15","1003","1","11001077","99001077","144"
"8","0","30","91002","99001077","145"
"15","1001","1","11001078","99001078","146"
"8","0","30","91002","99001078","147"
"15","1001","1","11001079","99001079","148"
"8","0","30","91002","99001079","149"
"15","1002","1","11001080","99001080","150"
"8","0","30","91002","99001080","151"
"15","1003","1","11001081","99001081","152"
"8","0","30","91002","99001081","153"
"15","1001","1","11001082","99001082","154"
"8","0","30","91002","99001082","155"
"15","1001","1","11001083","99001083","156"
"8","0","30","91002","99001083","157"
"15","1002","1","11001084","99001084","158"
"8","0","30","91002","99001084","159"
"15","1003","1","11001085","99001085","160"
"8","0","30","91002","99001085","161"
"15","1001","0","11001086","99001086","162"
"15","1002","0","11001087","99001087","163"
"15","1002","0","11001088","99001088","164"
"15","1002","0","11001089","99001089","165"
"15","1003","0","11001090","99001090","166"
"15","1001","1","11001091","99001091","167"
"8","0","30","91002","99001091","168"
"15","1001","1","11001092","99001092","169"
"8","0","30","91002","99001092","170"
"15","1002","1","11001093","99001093","171"
"8","0","30","91002","99001093","172"
"15","1003","1","11001094","99001094","173"
"8","0","30","91002","99001094","174"
"15","1001","1","11001095","99001095","175"
"8","0","30","91002","99001095","176"
"15","1001","1","11001096","99001096","177"
"8","0","30","91002","99001096","178"
"15","1002","1","11001097","99001097","179"
"8","0","30","91002","99001097","180"
"15","1003","1","11001098","99001098","181"
"8","0","30","91002","99001098","182"
"15","1001","1","11001099","99001099","183"
"8","0","30","91002","99001099","184"
"15","1001","1","11001100","99001100","185"
"8","0","30","91002","99001100","186"
"15","1002","1","11001101","99001101","187"
"8","0","30","91002","99001101","188"
"15","1003","1","11001102","99001102","189"
"8","0","30","91002","99001102","190"
"15","1001","1","11001103","99001103","191"
"8","0","30","91002","99001103","192"
"15","1001","1","11001104","99001104","193"
"8","0","30","91002","99001104","194"
"15","1002","1","11001105","99001105","195"
"8","0","30","91002","99001105","196"
"15","1003","1","11001106","99001106","197"
"8","0","30","91002","99001106","198"
"15","1001","1","11001107","99001107","199"
"8","0","30","91002","99001107","200"
"15","1001","1","11001108","99001108","201"
"8","0","30","91002","99001108","202"
"15","1002","1","11001109","99001109","203"
"8","0","30","91002","99001109","204"
"15","1003","1","11001110","99001110","205"
"8","0","30","91002","99001110","206"
"15","1001","1","11001111","99001111","207"
"8","0","30","91002","99001111","208"
"15","1001","1","11001112","99001112","209"
"8","0","30","91002","99001112","210"
"15","1002","1","11001113","99001113","211"
"8","0","30","91002","99001113","212"
"15","1003","1","11001114","99001114","213"
"8","0","30","91002","99001114","214"
"15","1001","1","11001115","99001115","215"
"8","0","30","91002","99001115","216"
"15","1001","1","11001116","99001116","217"
"8","0","30","91002","99001116","218"
"15","1002","1","11001117","99001117","219"
"8","0","30","91002","99001117","220"
"15","1003","1","11001118","99001118","221"
"8","0","30","91002","99001118","222"
"15","1001","1","11001119","99001119","223"
"8","0","30","91002","99001119","224"
"15","1001","1","11001120","99001120","225"
"8","0","30","91002","99001120","226"
"15","1002","1","11001121","99001121","227"
"8","0","30","91002","99001121","228"
"15","1003","1","11001122","99001122","229"
"8","0","30","91002","99001122","230"
"15","1001","1","11001123","99001123","231"
"8","0","30","91002","99001123","232"
"15","1001","1","11001124","99001124","233"
"8","0","30","91002","99001124","234"
"15","1002","1","11001125","99001125","235"
"8","0","30","91002","99001125","236"
"15","1003","1","11001126","99001126","237"
"8","0","30","91002","99001126","238"
"15","1001","1","11001127","99001127","239"
"8","0","30","91002","99001127","240"
"15","1001","1","11001128","99001128","241"
"8","0","30","91002","99001128","242"
"15","1002","1","11001129","99001129","243"
"8","0","30","91002","99001129","244"
"15","1003","1","11001130","99001130","245"
"8","0","30","91002","99001130","246"
"15","1003","1","11001131","99001131","247"
"15","1001","1","11001132","99001132","248"
"8","0","30","91002","99001132","249"
"15","1001","1","11001133","99001133","250"
"8","0","30","91002","99001133","251"
"15","1002","1","11001134","99001134","252"
"8","0","30","91002","99001134","253"
"15","1003","1","11001135","99001135","254"
"8","0","30","91002","99001135","255"
"15","1001","1","11001136","99001136","256"
"8","0","30","91002","99001136","257"
"15","1001","1","11001137","99001137","258"
"8","0","30","91002","99001137","259"
"15","1002","1","11001138","99001138","260"
"8","0","30","91002","99001138","261"
"15","1003","1","11001139","99001139","262"
"8","0","30","91002","99001139","263"
"15","1003","1","11001140","99001140","264"
"15","1001","1","11001142","99001142","265"
"8","0","30","91002","99001142","266"
"15","1001","1","11001143","99001143","267"
"8","0","30","91002","99001143","268"
"15","1002","1","11001144","99001144","269"
"8","0","30","91002","99001144","270"
"15","1003","1","11001145","99001145","271"
"8","0","30","91002","99001145","272"
"15","1001","0","11001146","99001146","273"
"15","1002","0","11001147","99001147","274"
"15","1001","1","11001148","99001148","275"
"8","0","30","91002","99001148","276"
"15","1001","1","11001149","99001149","277"
"8","0","30","91002","99001149","278"
"15","1002","1","11001150","99001150","279"
"8","0","30","91002","99001150","280"
"15","1003","1","11001151","99001151","281"
"8","0","30","91002","99001151","282"
"15","1001","1","11001152","99001152","283"
"8","0","30","91002","99001152","284"
"15","1001","1","11001153","99001153","285"
"8","0","30","91002","99001153","286"
"15","1002","1","11001154","99001154","287"
"8","0","30","91002","99001154","288"
"15","1003","1","11001155","99001155","289"
"8","0","30","91002","99001155","290"
"15","1001","1","11001156","99001156","291"
"8","0","30","91002","99001156","292"
"15","1001","1","11001157","99001157","293"
"8","0","30","91002","99001157","294"
"15","1002","1","11001158","99001158","295"
"8","0","30","91002","99001158","296"
"15","1003","1","11001159","99001159","297"
"8","0","30","91002","99001159","298"
"15","1001","1","11001160","99001160","299"
"8","0","30","91002","99001160","300"
"15","1001","1","11001161","99001161","301"
"8","0","30","91002","99001161","302"
"15","1002","1","11001162","99001162","303"
"8","0","30","91002","99001162","304"
"15","1003","1","11001163","99001163","305"
"8","0","30","91002","99001163","306"
"15","1002","1","11001164","99001164","307"
"15","1003","1","11001165","99001165","308"
"15","1001","1","11001166","99001166","309"
"8","0","30","91002","99001166","310"
"15","1001","1","11001167","99001167","311"
"8","0","30","91002","99001167","312"
"15","1002","1","11001168","99001168","313"
"8","0","30","91002","99001168","314"
"15","1003","1","11001169","99001169","315"
"8","0","30","91002","99001169","316"
"15","1001","1","11001170","99001170","317"
"8","0","30","91002","99001170","318"
"15","1001","1","11001171","99001171","319"
"8","0","30","91002","99001171","320"
"15","1002","1","11001172","99001172","321"
"8","0","30","91002","99001172","322"
"15","1003","1","11001173","99001173","323"
"8","0","30","91002","99001173","324"
"15","1001","1","11001174","99001174","325"
"8","0","30","91002","99001174","326"
"15","1001","1","11001175","99001175","327"
"8","0","30","91002","99001175","328"
"15","1002","1","11001176","99001176","329"
"8","0","30","91002","99001176","330"
"15","1003","1","11001177","99001177","331"
"8","0","30","91002","99001177","332"
"15","1001","1","11001178","99001178","333"
"8","0","30","91002","99001178","334"
"15","1001","1","11001179","99001179","335"
"8","0","30","91002","99001179","336"
"15","1002","1","11001180","99001180","337"
"8","0","30","91002","99001180","338"
"15","1003","1","11001181","99001181","339"
"8","0","30","91002","99001181","340"
"15","1001","1","11001182","99001182","341"
"8","0","30","91002","99001182","342"
"15","1001","1","11001183","99001183","343"
"8","0","30","91002","99001183","344"
"15","1002","1","11001184","99001184","345"
"8","0","30","91002","99001184","346"
"15","1003","1","11001185","99001185","347"
"8","0","30","91002","99001185","348"
"15","1001","1","11001186","99001186","349"
"8","0","30","91002","99001186","350"
"15","1001","1","11001187","99001187","351"
"8","0","30","91002","99001187","352"
"15","1002","1","11001188","99001188","353"
"8","0","30","91002","99001188","354"
"15","1003","1","11001189","99001189","355"
"8","0","30","91002","99001189","356"
"15","1001","1","11001190","99001190","357"
"8","0","30","91002","99001190","358"
