cd5d384881ed7a0175a47fb7916dfac5cd03fcc51ed05eebefd28f57da0b815c,54dcc00afbb375a8328e3492f3a9c3aacbe4d3d2365b77e438bd0073bc6f1a6b,d84a2380f70a30a83e4d6314232bb3ac4dd37537e21ecb6e08fb06cc9b863eb9,6f6195d8dbc6a7010fa9ee49757f4bea46d1be6e19815a77453b841fe8b31347,92fced3b234f6e2e58610c431008354c89b1b2b6a1ca6f902a3e493d01e7b3de
"1","1","1038","0","150"
"2","2","1038","0","151"
"3","3","1038","0","152"
"4","4","1038","0","153"
"5","5","1038","0","154"
"6","1","1039","0","156"
"7","2","1039","0","157"
"8","3","1039","0","158"
"9","4","1039","0","159"
"10","5","1039","0","160"
"11","1","1040","0","162"
"12","2","1040","0","163"
"13","3","1040","0","164"
"14","4","1040","0","165"
"15","5","1040","0","166"
"16","1","1041","0","168"
"17","2","1041","0","169"
"18","3","1041","0","170"
"19","4","1041","0","171"
"20","5","1041","0","172"
"21","1","1042","0","174"
"22","2","1042","0","175"
"23","3","1042","0","176"
"24","4","1042","0","177"
"25","5","1042","0","178"
"26","1","1043","0","180"
"27","2","1043","0","181"
"28","3","1043","0","182"
"29","4","1043","0","183"
"30","5","1043","0","184"
"31","1","1044","0","186"
"32","2","1044","0","187"
"33","3","1044","0","188"
"34","4","1044","0","189"
"35","5","1044","0","190"
"36","1","1045","0","192"
"37","2","1045","0","193"
"38","3","1045","0","194"
"39","4","1045","0","195"
"40","5","1045","0","196"
"41","1","1046","0","198"
"42","2","1046","0","199"
"43","3","1046","0","200"
"44","4","1046","0","201"
"45","5","1046","0","202"
"46","1","1047","0","204"
"47","2","1047","0","205"
"48","3","1047","0","206"
"49","4","1047","0","207"
"50","5","1047","0","208"
"51","1","1048","0","210"
"52","2","1048","0","211"
"53","3","1048","0","212"
"54","4","1048","0","213"
"55","5","1048","0","214"
"56","1","1049","0","216"
"57","2","1049","0","217"
"58","3","1049","0","218"
"59","4","1049","0","219"
"60","5","1049","0","220"
"61","1","1050","0","222"
"62","2","1050","0","223"
"63","3","1050","0","224"
"64","4","1050","0","225"
"65","5","1050","0","226"
"66","1","1051","0","228"
"67","2","1051","0","229"
"68","3","1051","0","230"
"69","4","1051","0","231"
"70","5","1051","0","232"
"71","1","1052","0","234"
"72","2","1052","0","235"
"73","3","1052","0","236"
"74","4","1052","0","237"
"75","5","1052","0","238"
"76","1","1053","0","240"
"77","2","1053","0","241"
"78","3","1053","0","242"
"79","4","1053","0","243"
"80","5","1053","0","244"
"81","1","1054","0","246"
"82","2","1054","0","247"
"83","3","1054","0","248"
"84","4","1054","0","249"
