d905c42ba8ef9eb1b312380baf26cdc9983ac8188e4328b8e8edbfd943c7c753,83794b334156136e05d8798ead358eeab994b277404eb35c4772e8ffb0d047ed,227b5378f974afdeb61386c4431148b229bfdcdc940ea1a1b6443779092a996f,1c6881ea3f46c4aca99d3c8e5192a8bb25dcea149a1822629ca0b23552864ab1,cf0812a70cafa762995135c2a4300a0f80f79e6a4b49dd5112a941a32ce7c962,c6ca7669f2b6205ad55515d756a1586dd7a9e032f4f9021394157cc1263bb4ed,3793bdccf65b69e3f4484a87484ec2bd81a6a68c11c4022d83c4b561d158aa19,3db59a6ca981cdecb9b540ab11c6fc054ef61655654c0c777f62257c053f5b93,2d4aa5890f423b6b728c46f608dbf3f85c0c6f3f04a9a341689803eb296a8642,f261bfc01ed5c82e79c1d5c7ecd5469ace058a8160353af9e35576a8e54c7d67,11bcc376fa6d0daa9971a5f61af13a006dc12ab81c06e32e0561d6f4218905a8
"0","-200","100","psy_miyako_idle","1","1.7","-220","1","119931","1","1001"
"1","1000","100","psy_idle_normal","1","1.7","-220","5","1","1","1002"
"0","-50","105","psy_fairy_idle","1","1.7","-220","5","2","1","1003"
"","0","0","","1","1","1","31","11","1","1004"
"","","1","","1","0.2","","3","psy_item00_run","1","1005"
"","2.5","-220","","1","","0","2","285","1","1006"
"","","","","2.5","","","93","","1","1007"
"","","1","","1","0.2","","3","psy_item00_idle","1","1008"
"","","","","0.5","","","93","","1","1009"
"","","1","","119931","0.2","","3","psy_miyako_talk1","1","1010"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0101","1","1011"
"0","1","6","0.5","119931","0","0","11","おばあちゃんが買い物から\n帰ってきたら\n究極のプリンを見せて\n驚かせちゃうの！","1","1012"
"","","","","6","","","93","1","1","1013"
"0.2","psy_miyako_doya_loop","0","","119931","0.2","1","3","psy_miyako_doya_in","1","1014"
"","","","","1012","","","91","","1","1015"
"","","","","0","","","22","0","1","1016"
"","","1","","2","0.2","","3","psy_fairy_talk","1","1017"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_9901","1","1018"
"0","1","6","0.5","2","0","0","11","キュイキュイ！","1","1019"
"","","","","0","","","91","","1","1020"
"","","1","","2","0.2","","3","psy_fairy_idle","1","1021"
"","","1","","119931","0.2","","3","psy_miyako_talk2","1","1022"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0102","1","1023"
"0","1","5","0.5","119931","0","0","11","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","1","1024"
"","","","","2","","","93","1","1","1025"
"","","1","","119931","0.2","","3","psy_miyako_talk_joy2","1","1026"
"","","","","1024","","","91","","1","1027"
"","","","","0","","","22","0","1","1028"
"","","1","","119931","0.2","","3","psy_miyako_idle","1","1029"
"","","","","2","","","4","1","1","1030"
"0","psy_fairy_run","0","","2","0.2","1","3","psy_fairy_run_in","1","1031"
"","","","","1.3","","","93","","1","1032"
"","1","-220","","2","","0","2","1000","1","1033"
"","","","","2","","","93","","1","1034"
"0.2","psy_miyako_doya_loop","0","","119931","0.2","1","3","psy_miyako_doya_in","1","1035"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0103","1","1036"
"0","1","6","0.5","119931","0","0","11","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","1","1037"
"","","","","0","","","91","","1","1038"
"","","","","0","","","22","0","1","1039"
"0","0","1","0","1","0","0","12","11","1","1040"
"0.2","psy_item00_idle_guts","0","","1","0.2","1","3","psy_item00_talk_guts","1","1041"
"","","","","2","","","93","","1","1042"
"","","1","","119931","0.2","","3","psy_miyako_talk_joy2","1","1043"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0104","1","1044"
"0","1","5","0.5","119931","0","0","11","みんなみんな\nおいしいプリンにしてやるの～♪","1","1045"
"","","","","4","","","93","1","1","1046"
"0.2","psy_miyako_fight_loop","0","","119931","0.2","1","3","psy_miyako_fight_in","1","1047"
"0.2","psy_item00_handsup_loop","0","","1","0.2","1","3","psy_item00_handsup","1","1048"
"","","","","1.5","","","93","","1","1049"
"","","","","1045","","","91","","1","1050"
"","","","","0","","","22","0","1","1051"
"0","-300","100","psy_miyako_start","1","1.7","-200","1","119931","2","2001"
"1","300","100","psy_walk","1","1.7","-220","1","106011","2","2002"
"","0","0","","1","1","1","31","11","2","2003"
"0","-300","101","psy_smoke_start","1","1.7","-200","5","1","2","2004"
"","2","-220","","106011","","0","2","185","2","2005"
"","","","","2","","","93","","2","2006"
"0","psy_kyaru_talk_arm_crossed_loop","0","","106011","0.2","1","3","psy_kyaru_talk_arm_crossed","2","2007"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0305","2","2008"
"0","1","8","0.5","106011","0","0","11","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","2","2009"
"","","","","0","","","91","","2","2010"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0306","2","2011"
"","","1","","106011","0.2","","3","psy_talk_sad","2","2012"
"0","1","8","0.5","106011","0","0","11","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","2","2013"
"","","","","4","","","93","1","2","2014"
"","","1","","106011","0.2","","3","psy_talk_sad","2","2015"
"","","","","2013","","","91","","2","2016"
"","","1","","106011","0.2","","3","psy_idle_sad","2","2017"
"0.2","psy_miyako_thinking4","0","","119931","0.2","1","3","psy_miyako_appear","2","2018"
"0","psy_smoke_start","0","","1","0","0","3","psy_smoke_appear","2","2019"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0301","2","2020"
"0","1","4","1","119931","0","0","11","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","2","2021"
"","","","","1","","","93","1","2","2022"
"0.2","psy_idle_surprise2","0","","106011","0.2","1","3","psy_surprise","2","2023"
"","","","","2021","","","91","","2","2024"
"","","","","0","","","22","0","2","2025"
"","","1","","119931","0.2","","3","psy_miyako_idle_thinking","2","2026"
"","","1","","106011","0.2","","3","psy_talk_surprise2","2","2027"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0307","2","2028"
"0","1","8","0.5","106011","0","0","11","キャッ！？\nいきなり出てきてなんなのよあんた！","2","2029"
"","","","","0","","","91","","2","2030"
"","","1","","106011","0.2","","3","psy_idle_surprise2","2","2031"
"","","1","","119931","0.2","","3","psy_miyako_anger1","2","2032"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0302","2","2033"
"0","1","5","1","119931","0","0","11","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","2","2034"
"","","","","8","","","93","1","2","2035"
"","","1","","119931","0.2","","3","psy_miyako_thinking2","2","2036"
"","","","","2034","","","91","","2","2037"
"","","","","0","","","22","0","2","2038"
"","","1","","106011","0.2","","3","psy_talk_sad","2","2039"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0308","2","2040"
"0","1","8","0.5","106011","0","0","11","な、何よ……","2","2041"
"","","","","0","","","91","","2","2042"
"","","1","","106011","0.2","","3","psy_idle_sad","2","2043"
"","","1","","119931","0.2","","3","psy_miyako_run","2","2044"
"","2","-200","","119931","","0","2","0","2","2045"
"","","","","2","","","93","","2","2046"
"","","1","","119931","0.2","","3","psy_miyako_thinking2","2","2047"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0303","2","2048"
"0","1","6","1","119931","0","0","11","むむむむむ……\nオマエ、なんかおいしそうなの……","2","2049"
"","","","","0","","","91","","2","2050"
"","","","","0","","","22","0","2","2051"
"","","","","0.5","","","93","","2","2052"
"","","1","","106011","0.2","","3","psy_talk_sad","2","2053"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0309","2","2054"
"0","1","8","0.5","106011","0","0","11","はぁ～？","2","2055"
"","","","","0","","","91","","2","2056"
"","","1","","106011","0.2","","3","psy_idle_sad","2","2057"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0304","2","2058"
"0","1","6","0.5","119931","0","0","11","オマエをプリンにしてやるの～～！！","2","2059"
"","","","","0.5","","","93","1","2","2060"
"0","psy_miyako_attack_loop","0","","119931","0.2","1","3","psy_miyako_attack_in","2","2061"
"","","","","0.2","","","93","1","2","2062"
"0.2","psy_idle_surprise2","0","","106011","0.2","1","3","psy_surprise","2","2063"
"","","","","2059","","","91","","2","2064"
"","","","","0","","","22","0","2","2065"
"","","1","","106011","0.2","","3","psy_talk_surprise2","2","2066"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0310","2","2067"
"0","1","8","0.5","106011","0","0","11","な、なんなのよこの店～～！！","2","2068"
"","","","","0","","","91","","2","2069"
"","","","","106011","","","4","0","2","2070"
"","","1","","106011","0.2","","3","psy_run_shy","2","2071"
"","","1","","119931","0.2","","3","psy_miyako_attack_loop_move","2","2072"
"","3","-220","","106011","","0","2","1000","2","2073"
"","5","-220","","119931","","0","2","1000","2","2074"
"","","","","3.5","","","93","","2","2075"
"","","","","0","","","22","0","2","2076"
"","","","","0","","","91","","2","2077"
"1","-250","100","psy_miyako_gasagoso_B","1","1.65","-150","1","119931","3","3001"
"1","340","100","psy_walk","1","1.7","-180","1","105511","3","3002"
"","0","0","","1","1","1","31","11","3","3003"
"0","-300","101","psy_smoke_start","1","1.7","-220","5","1","3","3004"
"","2","-180","","105511","","0","2","225","3","3005"
"","","","","2","","","93","","3","3006"
"","","1","","105511","0.2","","3","psy_talk_wish","3","3007"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0203","3","3008"
"0","1","8","0.5","105511","0","0","11","こ、ここで先輩が働いてるんですよね？","3","3009"
"","","","","0","","","91","","3","3010"
"0","psy_ayumi_kyoro_loop","0","","105511","0.2","1","3","psy_ayumi_kyoro_in","3","3011"
"","","","","1.8","","","93","","3","3012"
"","","1","","105511","0.2","","3","psy_talk_joy1","3","3013"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0204","3","3014"
"0","1","8","0.5","105511","0","0","11","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","3","3015"
"","","","","0","","","91","","3","3016"
"","","1","","105511","0.2","","3","psy_talk_call","3","3017"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0205","3","3018"
"0","1","8","0.5","105511","0","0","11","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","3","3019"
"","","","","3","","","93","1","3","3020"
"0","1","0.8","0","119931","0","0","12","5","3","3021"
"","","","","119931","","","4","0","3","3022"
"","","1","","119931","0","","3","psy_miyako_idle_thinking","3","3023"
"","","","","1.5","","","93","1","3","3024"
"","","","","119931","","","4","1","3","3025"
"","","1","","119931","0","","3","psy_miyako_gasagoso_B","3","3026"
"","","","","0.5","","","93","1","3","3027"
"","","1","","105511","0.2","","3","psy_talk_sad","3","3028"
"","","","","3019","","","91","","3","3029"
"","","1","","105511","0.2","","3","psy_talk_wish","3","3030"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0206","3","3031"
"0","1","8","0.5","105511","0","0","11","と、とりあえずお金はおいておきますね\n失礼します！","3","3032"
"","","","","2","","","93","1","3","3033"
"","","1","","105511","0.2","","3","psy_gasagoso_B2","3","3034"
"","","","","1","","","93","1","3","3035"
"0.2","psy_idle_normal","0","","105511","0.2","1","3","psy_pekori","3","3036"
"","","","","3032","","","91","","3","3037"
"","","","","105511","","","4","0","3","3038"
"","","1","","105511","0.2","","3","psy_run","3","3039"
"","3","-180","","105511","","0","2","1000","3","3040"
"","","","","3","","","93","","3","3041"
"","","","","0.5","","","93","","3","3042"
"","","1","","119931","0","","3","psy_miyako_idle_thinking","3","3043"
"","","","","2","","","93","","3","3044"
"","","","","119931","","","4","0","3","3045"
"","","1","","119931","0.2","","3","psy_miyako_run","3","3046"
"","2","-165","","119931","","0","2","0","3","3047"
"","","","","2","","","93","","3","3048"
"","","1","","119931","0.2","","3","psy_miyako_thinking4","3","3049"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0201","3","3050"
"0","1","5","0.5","119931","0","0","11","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","3","3051"
"","","","","4","","","93","1","3","3052"
"","","1","","119931","0.2","","3","psy_miyako_panic1","3","3053"
"","","","","3051","","","91","","3","3054"
"","","","","0","","","22","0","3","3055"
"0","psy_miyako_surprise2_loop","0","","119931","0.2","1","3","psy_miyako_surprise2_in","3","3056"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0202","3","3057"
"0","1","5","1","119931","0","0","11","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","3","3058"
"","","","","4","","","93","1","3","3059"
"","","1","","119931","0.2","","3","psy_miyako_thinking4","3","3060"
"","","","","3058","","","91","","3","3061"
"","","","","0","","","22","0","3","3062"
"","","","","1","","","93","","3","3063"
"","","","","0","","","91","","3","3064"
"0","-300","100","psy_miyako_start","1","1.7","-200","1","119931","4","4001"
"1","300","100","psy_walk","1","1.7","-220","1","107131","4","4002"
"","0","0","","1","1","1","31","11","4","4003"
"0","-300","101","psy_smoke_start","1","1.7","-200","5","1","4","4004"
"","2","-220","","107131","","0","2","185","4","4005"
"","","","","2","","","93","","4","4006"
"0.2","psy_talk_doya_loop","0","","107131","0.2","1","3","psy_talk_doya","4","4007"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0405","4","4008"
"0","1","8","0.5","107131","0","0","11","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","4","4009"
"","","","","0","","","91","","4","4010"
"","","1","","107131","0.2","","3","psy_idle_doya","4","4011"
"","","1","","107131","0.2","","3","psy_talk_sad","4","4012"
"","0","0","","vo_minigame_1008","","","21","vo_minigame_1008_drama_0406","4","4013"
"0","1","8","0.5","107131","0","0","11","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","4","4014"
"","","","","6","","","93","1","4","4015"
"","","1","","107131","0.2","","3","psy_talk_call","4","4016"
"","","","","4014","","","91","","4","4017"
"","","1","","107131","0.2","","3","psy_idle_arm_crossed","4","4018"
"0.2","psy_miyako_talk_joy1","0","","119931","0","1","3","psy_miyako_appear","4","4019"
"0","psy_smoke_start","0","","1","0","0","3","psy_smoke_appear","4","4020"
