67eb4479210c7af4ac26ae3677508a4655b0d50862cddd9afd1728652ef21ffb,b91192de5440a9393ef0764179a776ccf76d490644535e3455b6132ed6b72e71,016c143b424c4978ed7bc0501380760eb652018b8e545e17b120ebab0161c919,62cffd8235651528af82ae401cce7430b192b1e956f2cb538855109455794b92,cbda460a4e7208d505876a85e7eadb4f6554d4fde9634a7106835f80847e7b5d,f8361de46a6d1bc88bffe6aaf171cc9f73bdc157b33d0af9fb3b4cfd9caf154d,f00972df97ed1d193ddba179700cf704d836eedc77cd89fce686481be76b544c,6ffc669231c0c5c14b5a60aa283981abfd54112fd34739354147a37f254a626f,be6635557e57d40fcd20a03ee77ad3c33b8e284e3d1fe3c056c2798694d6c860
"2","1","2","","1","23001","21600","","1"
"3","1","2","","1","23001","19800","","2"
"3","1","2","","1","23001","18000","","3"
"3","1","2","","1","23001","16200","","4"
"4","1","2","","1","23001","14400","","5"
"4","1","2","","1","23001","12960","","6"
"5","1","2","","1","23001","11520","","7"
"6","1","2","","1","23001","10080","","8"
"7","1","2","","1","23001","8640","","9"
"8","1","2","","1","23001","7200","","10"
"10","1","2","","1","23001","5760","","11"
"12","1","2","","1","23001","5040","","12"
"14","1","2","","1","23001","4320","","13"
"16","1","2","","2","23001","7200","","14"
"18","1","2","","2","23001","5400","","15"
"18","1","2","","2","23001","5040","","16"
"18","1","2","","2","23001","4800","","17"
"20","1","2","","2","23001","4500","","18"
"20","1","2","","2","23001","4320","","19"
"24","1","2","","3","23001","6000","","20"
"48","1","2","","3","23001","5700","","21"
"48","1","2","","3","23001","5400","","22"
"51","1","2","","3","23001","5220","","23"
"54","1","2","","3","23001","4980","","24"
"54","1","2","","3","23001","4800","","25"
"60","1","2","","3","23001","4500","","26"
"60","1","2","","3","23001","4320","","27"
"63","1","2","","3","23001","4200","","28"
"64","1","2","","4","23001","5400","","29"
"68","1","2","","4","23001","5220","","30"
"72","1","2","","4","23001","5040","","31"
"72","1","2","","4","23001","4920","","32"
"80","2","6","","20","93001","21600","","1"
"96","2","6","","24","93001","21600","","2"
"112","2","6","","28","93001","21600","","3"
"120","2","6","","30","93001","21600","","4"
"128","2","6","","32","93001","21600","","5"
"136","2","6","","34","93001","21600","","6"
"144","2","6","","36","93001","21600","","7"
"152","2","6","","38","93001","21600","","8"
"160","2","6","","40","93001","21600","","9"
"168","2","6","","42","93001","21600","","10"
"176","2","6","","44","93001","21600","","11"
"184","2","6","","46","93001","21600","","12"
"192","2","6","","48","93001","21600","","13"
"200","2","6","","50","93001","21600","","14"
"208","2","6","","52","93001","21600","","15"
"216","2","6","","54","93001","21600","","16"
"224","2","6","","56","93001","21600","","17"
"232","2","6","","58","93001","21600","","18"
"240","2","6","","60","93001","21600","","19"
"248","2","6","","62","93001","21600","","20"
"256","2","6","","64","93001","21600","","21"
"264","2","6","","66","93001","21600","","22"
"272","2","6","","68","93001","21600","","23"
"280","2","6","","70","93001","21600","","24"
"288","2","6","","72","93001","21600","","25"
"296","2","6","","74","93001","21600","","26"
"304","2","6","","76","93001","21600","","27"
"312","2","6","","78","93001","21600","","28"
"320","2","6","","80","93001","21600","","29"
"328","2","6","","82","93001","21600","","30"
"336","2","6","","84","93001","21600","","31"
"340","2","6","","85","93001","21600","","32"
"3","3","2","","1","20001","14400","","1"
"5","3","2","","1","20001","9600","","2"
"7","3","2","","1","20001","7200","","3"
"10","3","2","","1","20001","5400","","4"
"15","3","2","","1","20001","3600","","5"
"6","3","2","","1","20002","9600","","6"
"8","3","2","","1","20002","7200","","7"
"12","3","2","","1","20002","4800","","8"
"16","3","2","","1","20002","3600","","9"
"20","3","2","","1","20002","2700","","10"
"6","3","2","","1","20003","10800","","11"
"8","3","2","","1","20003","9000","","12"
"12","3","2","","1","20003","7200","","13"
"16","3","2","","1","20003","5400","","14"
"20","3","2","","1","20003","3600","","15"
"30","3","2","","1","20003","2880","","16"
"7","3","2","","1","20004","12600","","17"
"8","3","2","","1","20004","11400","","18"
"9","3","2","","1","20004","10200","","19"
"10","3","2","","1","20004","9300","","20"
"10","3","2","","1","20004","8700","","21"
"13","3","2","","1","20004","6600","","22"
"14","3","2","","1","20004","6300","","23"
"15","3","2","","1","20004","6000","","24"
"15","3","2","","1","20004","5700","","25"
"16","3","2","","1","20004","5400","","26"
"17","3","2","","1","20004","5100","","27"
"18","3","2","","1","20004","4860","","28"
"19","3","2","","1","20004","4620","","29"
"20","3","2","","1","20004","4440","","30"
"21","3","2","","1","20004","4260","","31"
"22","3","2","","1","20004","4080","","32"
"12000","4","12","","3000","94002","21600","","1"
