b8e3f1d5084573918f32a8108782c0a9ec74b4917ce8229da40e23ae8314f9ad,82676cc409f14d20bd9f0f80135d8119db28e5118a8537168b84ee3166564328,0a67d2db1b46af1b1284fe1b8cb3d921dbd621cadb747512467ecd1e2cec5bf0,6115c81d9943eeccac573b7f50b653ac4cffcf2e5d330b612a3bc7a538272aba,0d4ad88b1883dfff00ffb81079ac44889fc59ac404981255ac293ad14ed57859,babc7c4ee8ea2396eba22326a24e067d90ea345a5222592eff5d81c832f194e6
"100111","0","2999180","1","0","3000"
"100112","0","2999101","1","0","10000"
"100121","0","2999167","1","0","10000"
"100122","0","2999168","1","0","10000"
"100131","0","2999172","1","0","5000"
"100211","0","2999182","1","0","10000"
"100221","0","2999102","1","0","100000"
"100231","0","2999103","1","0","40000"
"100232","0","2999102","1","0","100000"
"100311","0","2999185","1","0","2000"
"100312","0","2999186","1","0","4000"
"100321","0","2999187","1","0","2000"
"100322","0","2999188","1","0","5000"
"100331","0","2999189","1","0","5000"
"100411","0","2999104","1","0","3000"
"100412","0","2999177","1","0","120"
"100421","0","2999105","1","0","5000"
"100422","0","2999178","1","0","140"
"100431","0","2999106","1","0","7000"
"100432","0","2999179","1","0","170"
"100511","0","2999190","1","0","3300"
"100521","0","2999107","1","0","3000"
"100522","0","2999108","1","0","10000"
"100531","0","2999112","1","0","10000"
"100532","0","2999113","1","0","10000"
"110011","0","14","14","0","5"
"110021","0","2999117","1","0","10000"
"110031","0","2999120","1","0","10000"
"110041","0","16","14","0","2"
"110051","0","2999101","1","0","1000"
"120011","0","105","14","0","2000"
"120021","0","2999121","1","0","5000"
"120031","0","2999124","1","0","5000"
"120041","0","2999127","1","0","1000"
"120051","0","2999128","1","0","1000"
"130011","0","2999129","1","0","1000"
"130021","0","100","14","0","1000"
"130022","0","101","14","0","1000"
"130031","0","107","14","0","3000"
"130041","0","6","14","0","1000"
"130042","0","7","14","0","1000"
"130051","0","9","14","0","10"
"140011","0","108","14","0","3000"
"140021","0","2999132","1","0","5000"
"140031","0","2999133","1","0","5000"
"140041","0","2","14","0","2000"
"140042","0","4","14","0","2000"
"140051","0","3","14","0","1000"
"140052","0","5","14","0","1000"
"150011","0","110","14","0","1000"
"150021","0","1","14","0","1000"
"150031","0","2999134","1","0","50000"
"150041","0","2999149","1","0","50000"
"150051","0","2999164","1","0","5000"
"210011","0","14","14","0","10"
"210021","0","2999118","1","0","20000"
"210031","0","2999120","1","0","20000"
"210041","0","16","14","0","4"
"210051","0","2999101","1","0","2000"
"220011","0","105","14","0","4000"
"220021","0","2999122","1","0","10000"
"220031","0","2999125","1","0","10000"
"220041","0","2999127","1","0","2000"
"220051","0","2999128","1","0","2000"
"230011","0","2999129","1","0","2000"
"230021","0","100","14","0","2000"
"230022","0","101","14","0","2000"
"230031","0","107","14","0","6000"
"230041","0","6","14","0","2000"
"230042","0","7","14","0","2000"
"230051","0","9","14","0","20"
"240011","0","108","14","0","6000"
"240021","0","2999132","1","0","10000"
"240031","0","2999133","1","0","10000"
"240041","0","2","14","0","4000"
"240042","0","4","14","0","4000"
"240051","0","3","14","0","2000"
"240052","0","5","14","0","2000"
"250011","0","110","14","0","2000"
"250021","0","1","14","0","2000"
"250031","0","2999139","1","0","100000"
"250041","0","2999154","1","0","100000"
"250051","0","2999165","1","0","10000"
"300011","0","104","14","0","10000"
"310011","0","14","14","0","15"
"310021","0","2999119","1","0","30000"
"310031","0","2999120","1","0","30000"
"310041","0","16","14","0","6"
"310051","0","2999101","1","0","3000"
"310061","0","14","14","0","100"
"320011","0","105","14","0","6000"
"320021","0","2999123","1","0","15000"
"320031","0","2999126","1","0","15000"
"320041","0","2999127","1","0","3000"
"320051","0","2999128","1","0","3000"
"320061","0","2999192","1","0","2500"
"330011","0","2999129","1","0","3000"
"330021","0","100","14","0","3000"
"330022","0","101","14","0","3000"
"330031","0","107","14","0","9000"
"330041","0","6","14","0","3000"
"330042","0","7","14","0","3000"
"330051","0","9","14","0","30"
"330061","0","107","14","0","50000"
"330062","0","9","14","0","50"
"340011","0","108","14","0","9000"
"340021","0","2999132","1","0","15000"
"340031","0","2999133","1","0","15000"
"340041","0","2","14","0","6000"
"340042","0","4","14","0","6000"
"340051","0","3","14","0","3000"
"340052","0","5","14","0","3000"
"340061","0","2999191","1","0","5000"
"350011","0","110","14","0","3000"
"350021","0","1","14","0","3000"
"350031","0","2999144","1","0","150000"
"350041","0","2999159","1","0","150000"
"350051","0","2999166","1","0","15000"
"350061","0","1","14","0","10000"
"400011","0","1","14","0","1500"
"400012","0","102","14","0","1500"
"400013","0","103","14","0","1500"
"400021","0","104","14","0","5000"
"400031","0","10","8","0","0"
"400041","0","100","14","0","5000"
"400042","0","101","14","0","5000"
"400043","0","6","14","0","-2500"
"400044","0","7","14","0","-2500"
"400051","0","40005","2","0","1"
"400061","0","2","14","0","1500"
"400062","0","4","14","0","1500"
"400063","0","108","14","0","1500"
"400071","0","2999193","1","0","50000"
"400081","0","2999194","1","0","50000"
"400091","0","3000","4","0","0"
"400092","0","-10","6","0","0"
"400101","0","109","14","0","2000"
"400111","0","40011","2","0","1"
"400121","0","2999205","1","0","50000"
"400131","0","2999204","1","0","10000"
"400141","0","2999207","1","0","5000"
"500011","25","2","14","1","400"
"500012","25","4","14","1","400"
"500021","0","0","12","0","0"
"500031","10000","107","14","30","1"
"500041","0","2999130","1","0","2500"
"500051","0","50005","3","0","1"
"500061","0","2999195","1","0","50000"
"500071","0","2999197","1","0","50000"
"500081","0","2999202","1","0","50000"
"500091","10000","100","14","30","1"
"500092","10000","101","14","30","1"
"500101","0","2999203","1","0","50000"
"500111","0","1","10","0","0"
"500121","0","1","9","0","0"
"500131","0","1","11","0","0"
"500141","0","2999206","1","0","50000"
