d1b84d50269c6faf44413e37ed0b7e3dfa26e62034909207477d528ecae8261e,833f407a7ca78d3e74b0411fd109e01315b10e551d6714f5dc379e075e219ee8,30190f8b85d6e8655016804ff7b0bd64026b627350ad123213a61d2a61d1ce32,474ef03d42812ea902ed36c88deaaf70426aabb6bdffd9bccbd416d6a4b88f32,021631736212a6d4edbaa40812196e33078d0ab1c02f3fd6b0ee1a7edb88a33d,847654285d93566ae4404c394bbaef630361988bed565bbf7cbfa6e0b5ec5129,1bc7354fd99ec1737ea9d0bf7beb44aeec313ad22f2f19b513d90d9caf489255,5f1c9502d70e6f0d318c41283a2514dc04e7c0ff9dc146136875b9e49646d0f7
"bgm_M61","1.ジュノー平野","2015/12/17 15:00:00","101","bgm_M61","1.ジュノー平野","2030/12/17 14:59:59","11001"
"bgm_M61_02","2.パラス高原","2015/12/17 15:00:00","101","bgm_M61","2.パラス高原","2030/12/17 14:59:59","11002"
"bgm_M61_03","3.ヘーベ丘陵","2015/12/17 15:00:00","101","bgm_M61","3.ヘーベ丘陵","2030/12/17 14:59:59","11003"
"bgm_M61_04","4.ベスタ渓谷","2015/12/17 15:00:00","101","bgm_M61","4.ベスタ渓谷","2030/12/17 14:59:59","11004"
"bgm_M62_01","5.ケレス森林","2015/12/17 15:00:00","101","bgm_M62","5.ケレス森林","2030/12/17 14:59:59","11005"
"bgm_M62_02","6.フローラ湖畔","2015/12/17 15:00:00","101","bgm_M62","6.フローラ湖畔","2030/12/17 14:59:59","11006"
"bgm_M62_03","7.メティス大瀑布","2015/12/17 15:00:00","101","bgm_M62","7.メティス大瀑布","2030/12/17 14:59:59","11007"
"bgm_M42_02","8.イリス樹海","2015/12/17 15:00:00","101","bgm_M42","8.イリス樹海","2030/12/17 14:59:59","11008"
"bgm_M58","9.フリガ雪原","2015/12/17 15:00:00","101","bgm_M58","9.フリガ雪原","2030/12/17 14:59:59","11009"
"bgm_M101","10.ロレッタ海岸","2015/12/17 15:00:00","101","bgm_M101","10.ロレッタ海岸","2030/12/17 14:59:59","11010"
"bgm_M93","11.ゲヌア砂漠","2015/12/17 15:00:00","101","bgm_M93","11.ゲヌア砂漠","2030/12/17 14:59:59","11011"
"bgm_M94","12.ボノニア砂丘","2015/12/17 15:00:00","101","bgm_M94","12.ボノニア砂丘","2030/12/17 14:59:59","11012"
"bgm_M118","13.ドロテア湿地","2015/12/17 15:00:00","101","bgm_M118","13.ドロテア湿地","2030/12/17 14:59:59","11013"
"bgm_M95","14.ウジェニア熱地","2015/12/17 15:00:00","101","bgm_M95","14.ウジェニア熱地","2030/12/17 14:59:59","11014"
"bgm_M96","15.タリア火山","2015/12/17 15:00:00","101","bgm_M96","15.タリア火山","2030/12/17 14:59:59","11015"
