e5c24fc4ca908988c924dbaeaefa267b51db48ba52c52ca837330605e3995acc,0eef8f8463ea531cbcd4abf1447995e8e57558e518635daf4804ab5d272d9a95,e4044ab30ebde7f84b814602ff68c1157987ab942b803c2b653150d3fc2d8922,ac4eed5507f4d3baf6fb2f247db69ffc46f4fc73e7d6c48b89cdefcc8a665f9d,6b2fea5acae38079c3c5cbc0bc56eb66810ecd1169ea885d6b90d1ee7a7be50b,c418560deb1c7117af72c968bf91fe158b2431d4c90ad44e21aba8efadcd7a1d
"5035004","5035005","0","10036","0","0"
"5058004","5058005","0","10059","0","0"
"0","0","10062","10063","1006201","10062115"
"0","0","10084","10085","1008401","10084115"
"0","0","10086","10087","1008601","10086115"
"0","0","10110","10111","1011001","10110115"
"0","0","10112","10113","1011201","10112115"
"0","0","10136","10137","1013601","10136110"
"0","0","10138","10139","1013801","10138115"
"0","0","10164","10165","1016401","10164110"
"0","0","20033","20034","2003301","20033115"
"0","0","20046","20047","2004601","20046115"
"0","0","20059","20060","2005901","20059115"
