20b055a8790234ae51981dacc636cab1e50e21f8d6660a7d7ddb86da0c2805c0,7861febf5d3ae56066b1643e541257f1ff137d3465a92587483c20219aa39209,622b2152eb4dd3123537558b5616d3dd27b1819a5eb8d313e47744037ada0a6b,c324b4df0aeaf4cad73b319f74055ab52c71e60a5808cb49f865e2027e0872cd,d615cd53ca0408c4a9ef532ff2aa742a8ff68736be75f706ad8e9c7883a8b34a,36ddb4913b581f14d5bc49a1e43367b3c90e1e475385f7dd5b550e04a2c706f3,c83293bf9a7c3adc152c2d9b21838225e66c5c7bed552d97214e5b5c656678bb,08a004e88df050a86084c8fca982115f7edb4b0e1ed5e16855df2d32c3ec8c3a,0c8711914d86d6931b7fe382d785810ff71a707cc33265d528ef4f707a30dba1,80eb66945304287652701eaa77be41ae45d6653a7fcf9e3e41811e57f6f03e51
"懐かしき過去の結晶","0","0","0","オープニング","0","0","5110601","10110","20059104"
"リーダーはどっちだ！","30","1","0","オクトーの追想　その1","8","91002","5110602","10110","20059104"
"勝ちたい理由","30","1","0","オクトーの追想　その2","8","91002","5110603","10110","20059105"
"聞き上手な誓約女君","30","1","0","クリスティーナの追想　その1","8","91002","5110604","10110","20059108"
"秘めたる本当の実力……？","30","1","0","ダイゴの追想　その1","8","91002","5110605","10110","20059109"
"友と書いてライバルと読む","30","1","0","ラビリスタの追想　その1","8","91002","5110606","10110","20059110"
"悪と正義の高笑い","30","1","0","マサキの追想","8","91002","5110607","10110","20059112"
"プリンセスナイトとは","30","1","0","ラジラジの追想　その1","8","91002","5110608","10110","20059113"
"まだ見ぬ日々に想い馳せて","30","1","0","オクトーの追想　その3","8","91002","5110609","10110","20059114"
"跳躍王のお仕置き","30","1","0","ラジラジの追想　その2","8","91002","5111602","10111","20060103"
"二人なら絶対だって","30","1","0","クリスティーナの追想　その2","8","91002","5111603","10111","20060105"
"虎の尾を踏む","30","1","0","ダイゴの追想　その2","8","91002","5111604","10111","20060108"
"一番怪しい七冠は誰だ","30","1","0","ラビリスタの追想　その2","8","91002","5111605","10111","20060109"
"簡単すぎる問題","30","1","0","ネネカの追想","8","91002","5111606","10111","20060110"
"魔物使いは語る","30","1","0","オクトーの追想　その4","8","91002","5111607","10111","20060113"
"悪党たちの目指す未来","30","1","0","オクトーの追想　その5","8","91002","5111608","10111","20060113"
"過去を超える思い出を","1","0","1","エンディング","16","9000222","5111609","10111","0"
