c29bc06b0e25b1f93bea4145d90f79e539b9d53fd4828202c3c67f09aa3ccf92,bc29449ff32747492c51d7d3a574a3f50d0587b27eb12d19d171300b06a721da,76e51a631bf27bd6be33e673e083a1d9527f15e9383eba86b0c3563de696f481,7a60a000df8e2afa5889889ff2f7b46629b5522fbbef019862c2d0e74b62c00c,aa8ebf179f358d13a65f466be00d0a46b96dc64490120cd32a17568578c4b712,edf15393139254dc3846fb75c9943d7ce3ef999ab368b4f733ac611fe1e96ecf,804c901b09bc82b10b6d3fbf0767761ed4f554c1f6bf01599a2a981eb96e19b0
"5126700","12","1","50000","2500","94002","累計スコアを2500pt 獲得しよう"
"0","12","1","50000","5000","94002","累計スコアを5000pt 獲得しよう"
"0","12","1","50000","7500","94002","累計スコアを7500pt 獲得しよう"
"5126701","7","1","1","10000","2839","累計スコアを10000pt 獲得しよう"
"0","12","1","80000","12500","94002","累計スコアを12500pt 獲得しよう"
"0","12","1","80000","15000","94002","累計スコアを15000pt 獲得しよう"
"0","12","1","80000","17500","94002","累計スコアを17500pt 獲得しよう"
"5126702","8","1","25","20000","91002","累計スコアを20000pt 獲得しよう"
"0","12","1","100000","22500","94002","累計スコアを22500pt 獲得しよう"
"0","12","1","100000","25000","94002","累計スコアを25000pt 獲得しよう"
"0","8","1","100","27500","91002","累計スコアを27500pt 獲得しよう"
"5126703","15","1","1","30000","11001262","累計スコアを30000pt 獲得しよう"
"5126710","12","2","50000","2500","94002","累計スコアを2500pt 獲得しよう"
"0","12","2","50000","5000","94002","累計スコアを5000pt 獲得しよう"
"0","12","2","50000","7500","94002","累計スコアを7500pt 獲得しよう"
"5126711","7","2","1","10000","2840","累計スコアを10000pt 獲得しよう"
"0","12","2","80000","12500","94002","累計スコアを12500pt 獲得しよう"
"0","12","2","80000","15000","94002","累計スコアを15000pt 獲得しよう"
"0","12","2","80000","17500","94002","累計スコアを17500pt 獲得しよう"
"5126712","8","2","25","20000","91002","累計スコアを20000pt 獲得しよう"
"0","12","2","100000","22500","94002","累計スコアを22500pt 獲得しよう"
"0","12","2","100000","25000","94002","累計スコアを25000pt 獲得しよう"
"0","8","2","100","27500","91002","累計スコアを27500pt 獲得しよう"
"5126713","15","2","1","30000","11001263","累計スコアを30000pt 獲得しよう"
