110fc015e2f4dd9d3c1ab33f3df11221ee9b63dad8da52f95bb7f44bbc616607,8394ff6238160c361f43b3b696992a30e903f131756b960a8130de48bb39ec7c,fdc846176de0386797a724cd03e7c1a29558dd8db22a2cc56b19538aeb5a0106,cb972396f8521f9e32b8174ea534da29833bc65e531f23d07a36dd1f8f732af7,ad176024bb62fcaf2cfd804d49f2af1ef6001c051af550aa816c595cb41c70ae,41be4746ead85366cc202542df7a3178c9c06e622bfa42bdd3bff5774c550e35,e7a4079b1b11d5d0f3f22f5257bf63786a2ad024e7230448d489598329d7fe42,ee2dfce9721d501addb28d80f6b7c688426d49e2d649f1c0455f0a48b06e30fb
"1.ジュノー平野","1.ジュノー平野","11001","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61"
"2.パラス高原","2.パラス高原","11002","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61_02"
"3.ヘーベ丘陵","3.ヘーベ丘陵","11003","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61_03"
"4.ベスタ渓谷","4.ベスタ渓谷","11004","bgm_M61","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M61_04"
"5.ケレス森林","5.ケレス森林","11005","bgm_M62","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M62_01"
"6.フローラ湖畔","6.フローラ湖畔","11006","bgm_M62","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M62_02"
"7.メティス大瀑布","7.メティス大瀑布","11007","bgm_M62","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M62_03"
"8.イリス樹海","8.イリス樹海","11008","bgm_M42","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M42_02"
"9.フリガ雪原","9.フリガ雪原","11009","bgm_M58","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M58"
"10.ロレッタ海岸","10.ロレッタ海岸","11010","bgm_M101","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M101"
"11.ゲヌア砂漠","11.ゲヌア砂漠","11011","bgm_M93","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M93"
"12.ボノニア砂丘","12.ボノニア砂丘","11012","bgm_M94","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M94"
"13.ドロテア湿地","13.ドロテア湿地","11013","bgm_M118","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M118"
"14.ウジェニア熱地","14.ウジェニア熱地","11014","bgm_M95","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M95"
"15.タリア火山","15.タリア火山","11015","bgm_M96","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M96"
"16.テミス銀嶺","16.テミス銀嶺","11016","bgm_M140","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M140"
"17.フィデス氷原","17.フィデス氷原","11017","bgm_M141","2015/12/17 15:00:00","101","2030/12/17 14:59:59","bgm_M141"
"18.ファエトン原野・北部","18.ファエトン\n　　　　　原野・北部","11018","bgm_M179","2015/12/17 15:00:00","102","2030/12/17 14:59:59","bgm_M179"
"19.ファエトン原野・南部","19.ファエトン\n　　　　　原野・南部","11019","bgm_M179","2015/12/17 15:00:00","102","2030/12/17 14:59:59","bgm_M179"
"20.カスタリア樹林・西部","20.カスタリア\n　　　　　樹林・西部","11020","bgm_M180","2015/12/17 15:00:00","102","2030/12/17 14:59:59","bgm_M180"
"21.カスタリア樹林・東部","21.カスタリア\n　　　　　樹林・東部","11021","bgm_M180","2015/12/17 15:00:00","102","2030/12/17 14:59:59","bgm_M180"
"22.マティルド岩峯・南部","22.マティルド\n　　　　　岩峯・南部","11022","bgm_M232","2015/12/17 15:00:00","102","2030/12/17 14:59:59","bgm_M232"
"23.マティルド岩峯・北部","23.マティルド\n　　　　　岩峯・北部","11023","bgm_M232","2015/12/17 15:00:00","102","2030/12/17 14:59:59","bgm_M232"
"24.レディウス群峰・西麓","24.レディウス\n　　　　　群峰・西麓","11024","bgm_M233","2015/12/17 15:00:00","102","2030/12/17 14:59:59","bgm_M233"
