be62892a71906b35210f13cd9845fc75be2c1a0645f7533c5f14177d0b4bdee2,7f300da865deadf232725d9a0f7bfef54f3da77ec71aaa4805b0a1f89d4c76af,5e93563e8bb3c80a28cfe3c793929d6c784520158b07da307a9c47edf5da1b09,e634fa60a20c0eb45e147180d162d687d4ff378cad4963881f33ba6bc3034bee,0f1ce9f40ded1697718bedba184fafe04c395394d98ea38d34e9d6216e10f135
"26","1","1","1","41"
"101","2","2","1","41"
"61","3","3","1","61"
"82","4","4","1","50"
"21","5","5","1","41"
"108","6","6","1","41"
"79","7","7","1","55"
"57","8","8","1","68"
"28","9","9","1","44"
"97","10","10","1","44"
"47","11","11","1","55"
"68","12","12","1","67"
"10","13","13","1","38"
"119","14","14","1","38"
"90","15","15","1","52"
"28","16","16","1","65"
"25","17","17","1","40"
"101","18","18","1","40"
"65","19","19","1","58"
"36","20","20","1","64"
"25","21","21","1","41"
"86","22","22","1","41"
"40","23","23","1","60"
"16","24","24","1","40"
"115","25","25","1","40"
"28","26","26","1","63"
"28","27","27","1","41"
"96","28","28","1","41"
"70","29","29","1","55"
"33","30","30","1","41"
"83","31","31","1","41"
"57","32","32","1","68"
"36","33","33","1","37"
"82","34","34","1","37"
"82","35","35","1","58"
"27","36","36","1","38"
"102","37","37","1","38"
"39","38","38","1","52"
"62","39","39","1","65"
"28","40","40","1","38"
"93","41","41","1","38"
"54","42","42","1","56"
"28","43","43","1","63"
"39","44","44","1","40"
"115","45","45","1","40"
"21","46","46","1","55"
"60","47","47","1","66"
"15","48","48","1","38"
"76","49","49","1","38"
"58","50","50","1","53"
"36","51","51","1","61"
"28","52","52","1","38"
"89","53","53","1","38"
"23","54","54","1","56"
"67","55","55","1","66"
"31","56","56","2","40"
"89","57","57","2","40"
"42","58","58","2","67"
"61","59","59","2","55"
"21","60","60","2","40"
"93","61","61","2","40"
"61","62","62","2","57"
"44","63","63","2","68"
"21","64","64","2","43"
"101","65","65","2","43"
"56","66","66","2","57"
"108","67","67","2","75"
"30","68","68","2","37"
"83","69","69","2","37"
"39","70","70","2","53"
"24","71","71","2","67"
"25","72","72","2","38"
"91","73","73","2","38"
"83","74","74","2","65"
"65","75","75","2","55"
"21","76","76","2","39"
"93","77","77","2","39"
"26","78","78","2","62"
"107","79","79","2","72"
"36","80","80","2","38"
"86","81","81","2","38"
"50","82","82","2","55"
"25","83","83","2","62"
"24","84","84","2","40"
"86","85","85","2","40"
"46","86","86","2","65"
"69","87","87","2","58"
"24","88","88","2","43"
"99","89","89","2","43"
"24","90","90","2","62"
"107","91","91","2","72"
"21","92","92","2","43"
"104","93","93","2","43"
"46","94","94","2","67"
"69","95","95","2","55"
"28","96","96","2","40"
"86","97","97","2","40"
"43","98","98","2","65"
"21","99","99","2","44"
"98","100","100","2","44"
"54","101","101","2","65"
"36","102","102","2","38"
"83","103","103","2","38"
"93","104","104","2","58"
"17","105","105","2","43"
"98","106","106","2","43"
"28","107","107","2","61"
"36","108","108","2","37"
"86","109","109","2","37"
"72","110","110","2","65"
"26","111","111","3","44"
"102","112","112","3","44"
"50","113","113","3","91"
"88","114","114","3","78"
"43","115","115","3","35"
"86","116","116","3","35"
"43","117","117","3","85"
"53","118","118","3","66"
"28","119","119","3","47"
"101","120","120","3","47"
"46","121","121","3","66"
"79","122","122","3","85"
"39","123","123","3","37"
"91","124","124","3","37"
"57","125","125","3","78"
"71","126","126","3","60"
"36","127","127","3","37"
"93","128","128","3","37"
"39","129","129","3","62"
"50","130","130","3","88"
"65","131","131","3","106"
"39","132","132","3","35"
"91","133","133","3","35"
"65","134","134","3","86"
"41","135","135","3","57"
"93","136","136","3","70"
"65","137","137","3","106"
"30","138","138","3","41"
"99","139","139","3","41"
"78","140","140","3","91"
"57","141","141","3","60"
"37","142","142","3","72"
"65","143","143","3","106"
"36","144","144","3","41"
"93","145","145","3","41"
"57","146","146","3","57"
"39","147","147","3","75"
"86","148","148","3","85"
"65","149","149","3","106"
"39","150","150","3","38"
"91","151","151","3","38"
"48","152","152","3","88"
"67","153","153","3","63"
"83","154","154","3","81"
"65","155","155","3","106"
"39","156","156","3","35"
"91","157","157","3","35"
"92","158","158","3","72"
"43","159","159","3","57"
"46","160","160","3","88"
"39","161","161","3","35"
"90","162","162","3","35"
"46","163","163","3","60"
"79","164","164","3","91"
"41","165","165","3","33"
"88","166","166","3","33"
"43","167","167","3","85"
"83","168","168","3","60"
"36","169","169","3","36"
"93","170","170","3","36"
"83","171","171","3","86"
"50","172","172","3","60"
"28","173","173","3","42"
"101","174","174","3","42"
"50","175","175","3","88"
"75","176","176","3","66"
"32","177","177","3","38"
"97","178","178","3","38"
"93","179","179","3","63"
"43","180","180","3","86"
"24","181","181","4","40"
"107","182","182","4","40"
"87","183","183","4","61"
"54","184","184","4","86"
"35","185","185","4","40"
"94","186","186","4","40"
"42","187","187","4","65"
"71","188","188","4","86"
"28","189","189","4","41"
"101","190","190","4","41"
"55","191","191","4","65"
"61","192","192","4","86"
"26","193","193","4","43"
"107","194","194","4","43"
"61","195","195","4","86"
"71","196","196","4","68"
"35","197","197","4","46"
"94","198","198","4","46"
"82","199","199","4","71"
"59","200","200","4","91"
"58","201","201","4","102"
"26","202","202","4","41"
"104","203","203","4","41"
"48","204","204","4","60"
"71","205","205","4","80"
"58","206","206","4","102"
"35","207","207","4","40"
"94","208","208","4","40"
"78","209","209","4","80"
"45","210","210","4","65"
"58","211","211","4","102"
"29","212","212","4","46"
"100","213","213","4","46"
"80","214","214","4","65"
"45","215","215","4","75"
"58","216","216","4","102"
"29","217","217","4","41"
"105","218","218","4","41"
"57","219","219","4","83"
"45","220","220","4","65"
"58","221","221","4","102"
"32","222","222","4","46"
"97","223","223","4","46"
"68","224","224","4","62"
"74","225","225","4","86"
"32","226","226","4","41"
"104","227","227","4","41"
"42","228","228","4","65"
"57","229","229","4","86"
"78","230","230","4","73"
"24","231","231","4","40"
"110","232","232","4","40"
"44","233","233","4","58"
"81","234","234","4","71"
"57","235","235","4","93"
"42","236","236","4","40"
"97","237","237","4","40"
"65","238","238","4","61"
"75","239","239","4","83"
"46","240","240","4","77"
"41","241","241","4","41"
"105","242","242","4","41"
"48","243","243","4","71"
"58","244","244","4","91"
"88","245","245","4","61"
"31","246","246","4","41"
"97","247","247","4","41"
"45","248","248","4","74"
"81","249","249","4","65"
"72","250","250","4","86"
"47","251","251","5","30"
"88","252","252","5","30"
"85","253","253","5","52"
"79","254","254","5","70"
"39","255","255","5","32"
"99","256","256","5","32"
"50","257","257","5","90"
"85","258","258","5","60"
"38","259","259","5","35"
"100","260","260","5","35"
"52","261","261","5","64"
"81","262","262","5","52"
"44","263","263","5","31"
"91","264","264","5","31"
"58","265","265","5","50"
"79","266","266","5","62"
"47","267","267","5","30"
"88","268","268","5","30"
"50","269","269","5","71"
"82","270","270","5","54"
"38","271","271","5","35"
"97","272","272","5","35"
"50","273","273","5","70"
"70","274","274","5","55"
"50","275","275","5","95"
"46","276","276","5","30"
"89","277","277","5","30"
"49","278","278","5","50"
"66","279","279","5","70"
"86","280","280","5","60"
"44","281","281","5","31"
"91","282","282","5","31"
"73","283","283","5","75"
"85","284","284","5","65"
"50","285","285","5","48"
"41","286","286","5","31"
"94","287","287","5","31"
"50","288","288","5","90"
"86","289","289","5","65"
"68","290","290","5","50"
"46","291","291","5","31"
"89","292","292","5","31"
"59","293","293","5","60"
"70","294","294","5","47"
"69","295","295","5","75"
"44","296","296","5","32"
"88","297","297","5","32"
"52","298","298","5","90"
"58","299","299","5","52"
"83","300","300","5","72"
"41","301","301","5","33"
"96","302","302","5","33"
"50","303","303","5","65"
"63","304","304","5","80"
"81","305","305","5","52"
"44","306","306","5","30"
"91","307","307","5","30"
"54","308","308","5","45"
"62","309","309","5","67"
"83","310","310","5","55"
"50","311","311","5","30"
"85","312","312","5","30"
"50","313","313","5","56"
"63","314","314","5","90"
"82","315","315","5","67"
"46","316","316","5","30"
"91","317","317","5","30"
"68","318","318","5","60"
"82","319","319","5","48"
"83","320","320","5","75"
"98","321","321","2","59"
"26","322","322","2","58"
"107","323","323","2","72"
"83","324","324","2","61"
"65","325","325","2","63"
"33","326","326","2","58"
"57","327","327","2","57"
"107","328","328","2","72"
"39","329","329","2","57"
"92","330","330","2","55"
