f758b023c51a79dd93f465c6b82b0081f5acf9d1674df1eef23fd04a4fc1be60,6aceccfba116e7f401a29cc338372a6fc335c61b1709d1898692815dd690df1b,0879f7cf5cf339478814174ca64f3d58fe7a22b66b45160bd0060f92624985aa,ea9ba8ce680ac8b9615833d2f02b5c7b5baa896926f34da50f8bd6446bef2bc0,7aeb0f64b1154f74bc90690be48a3929ee1546d9ba464c5bb4300efc2640f0d7,6d31d85bacc3850fd245a5a6001c2df071bf3139168c497570d21aa1d634ea03,27d901cf5deca85dea6916658fe503311381213ea9d9046a489db25431b8199e,85d29ae17527981baea08ec75198fc7848b697381f3cd7be58c21df83b6eb531
"1","1","96001","2","1","21952","1","20000"
"2","1","96001","2","1","21904","1","10000"
"3","1","96001","2","1","41000","1","10000"
"4","5","96001","2","1","31803","5","2000"
"5","5","96001","2","1","31215","5","1500"
"6","5","96001","2","1","31210","5","1500"
"7","5","96001","2","1","31211","5","1500"
"8","5","96001","2","1","90005","10","1250"
"9","10","96001","4","1","140001","20","500"
"10","5","96001","2","1","25001","10","500"
"11","5","96001","4","1","150003","5","100"
"12","5","96001","4","1","150004","5","130"
"13","5","96001","4","1","150005","5","150"
"14","5","96001","4","1","150006","5","180"
"15","5","96001","4","1","150007","5","200"
"16","5","96001","4","1","150008","5","230"
"17","100","96001","2","1","20004","5","500"
"18","100","96001","2","1","22003","5","200"
"19","100","96001","2","1","20004","0","1000"
"20","100","96001","2","1","22003","0","400"
"21","1","96002","2","2","21952","1","20000"
"22","1","96002","2","2","21904","1","10000"
"23","1","96002","2","2","41000","1","10000"
"24","5","96002","2","2","31233","5","1500"
"25","5","96002","2","2","31229","5","1500"
"26","5","96002","2","2","31225","5","1500"
"27","5","96002","2","2","90005","10","1250"
"28","10","96002","4","2","140001","20","500"
"29","5","96002","2","2","25001","10","500"
"30","5","96002","4","2","150003","5","100"
"31","5","96002","4","2","150004","5","130"
"32","5","96002","4","2","150005","5","150"
"33","5","96002","4","2","150006","5","180"
"34","5","96002","4","2","150007","5","200"
"35","5","96002","4","2","150008","5","230"
"36","100","96002","2","2","20004","5","500"
"37","100","96002","2","2","22003","5","200"
"38","100","96002","2","2","20004","0","1000"
"39","100","96002","2","2","22003","0","400"
"40","1","96003","2","3","21952","1","20000"
"41","1","96003","2","3","21905","1","10000"
"42","1","96003","2","3","41000","1","10000"
"43","5","96003","2","3","31805","5","2000"
"44","5","96003","2","3","31240","5","1500"
"45","5","96003","2","3","31238","5","1500"
"46","5","96003","2","3","31236","5","1500"
"47","10","96003","2","3","90005","5","2500"
"48","50","96003","4","3","140001","5","2500"
"49","5","96003","2","3","25001","5","500"
"50","30","96003","4","3","150003","5","500"
"51","30","96003","4","3","150004","5","650"
"52","30","96003","4","3","150005","5","750"
"53","30","96003","4","3","150006","5","900"
"54","30","96003","4","3","150007","5","1000"
"55","30","96003","4","3","150008","5","1150"
"56","500","96003","2","3","20004","5","2500"
"57","500","96003","2","3","22003","5","1000"
"58","100","96003","2","3","20004","0","1000"
"59","100","96003","2","3","22003","0","400"
"60","1","96004","2","4","21952","1","20000"
"61","1","96004","2","4","21905","1","10000"
"62","1","96004","2","4","41000","2","10000"
"63","5","96004","2","4","31807","5","2000"
"64","5","96004","2","4","31245","5","1500"
"65","5","96004","2","4","31248","5","1500"
"66","5","96004","2","4","31250","5","1500"
"67","5","96004","2","4","31091","5","1500"
"68","10","96004","2","4","90005","5","2500"
"69","50","96004","4","4","140001","10","2500"
"70","10","96004","2","4","25001","10","1000"
"71","30","96004","4","4","150003","5","500"
"72","30","96004","4","4","150004","5","650"
"73","30","96004","4","4","150005","5","750"
"74","30","96004","4","4","150006","5","900"
"75","30","96004","4","4","150007","5","1000"
"76","30","96004","4","4","150008","5","1150"
"77","30","96004","4","4","150009","5","1300"
"78","500","96004","2","4","20004","5","2500"
"79","500","96004","2","4","22003","5","1000"
"80","100","96004","2","4","20004","0","1000"
"81","100","96004","2","4","22003","0","400"
"82","1","96005","2","5","25101","1","20000"
"83","1","96005","2","5","21952","1","20000"
"84","1","96005","2","5","21905","1","10000"
"85","1","96005","2","5","41000","2","10000"
"86","5","96005","2","5","31200","5","1500"
"87","5","96005","2","5","31253","5","1500"
"88","5","96005","2","5","31255","5","1500"
"89","5","96005","2","5","31256","5","1500"
"90","10","96005","2","5","90005","5","2500"
"91","50","96005","4","5","140001","10","2500"
"92","10","96005","2","5","25001","10","1000"
"93","30","96005","4","5","150003","5","500"
"94","30","96005","4","5","150004","5","650"
"95","30","96005","4","5","150005","5","750"
"96","30","96005","4","5","150006","5","900"
"97","30","96005","4","5","150007","5","1000"
"98","30","96005","4","5","150008","5","1150"
"99","30","96005","4","5","150009","5","1300"
"100","500","96005","2","5","20004","5","2500"
"101","500","96005","2","5","22003","5","1000"
"102","100","96005","2","5","20004","0","1000"
"103","100","96005","2","5","22003","0","400"
"104","1","96006","2","6","25101","1","20000"
"105","1","96006","2","6","21952","1","20000"
"106","1","96006","2","6","21905","1","10000"
"107","1","96006","2","6","41000","2","10000"
"108","5","96006","2","6","31262","5","1500"
"109","5","96006","2","6","31266","5","1500"
"110","5","96006","2","6","31269","5","1500"
"111","5","96006","2","6","31271","5","1500"
"112","10","96006","2","6","90005","5","2500"
"113","50","96006","4","6","140001","10","2500"
"114","10","96006","2","6","25001","10","1000"
"115","30","96006","4","6","150003","5","500"
"116","30","96006","4","6","150004","5","650"
"117","30","96006","4","6","150005","5","750"
"118","30","96006","4","6","150006","5","900"
"119","30","96006","4","6","150007","5","1000"
"120","30","96006","4","6","150008","5","1150"
"121","30","96006","4","6","150009","5","1300"
"122","500","96006","2","6","20004","5","2500"
"123","500","96006","2","6","22003","5","1000"
"124","100","96006","2","6","20004","0","1000"
"125","100","96006","2","6","22003","0","400"
"126","1","96007","2","7","25101","1","20000"
"127","1","96007","2","7","21952","1","20000"
"128","1","96007","2","7","21905","1","10000"
"129","1","96007","2","7","41000","2","10000"
"130","5","96007","2","7","31272","5","1500"
"131","5","96007","2","7","31808","5","2000"
"132","5","96007","2","7","31275","5","1500"
"133","10","96007","2","7","90005","5","2500"
"134","50","96007","4","7","140001","10","2500"
"135","10","96007","2","7","25001","10","1000"
"136","30","96007","4","7","150003","5","500"
"137","30","96007","4","7","150004","5","650"
"138","30","96007","4","7","150005","5","750"
"139","30","96007","4","7","150006","5","900"
"140","30","96007","4","7","150007","5","1000"
"141","30","96007","4","7","150008","5","1150"
"142","30","96007","4","7","150009","5","1300"
"143","500","96007","2","7","20004","5","2500"
"144","500","96007","2","7","22003","5","1000"
"145","100","96007","2","7","20004","0","1000"
"146","100","96007","2","7","22003","0","400"
"147","1","96008","2","8","25101","1","20000"
"148","1","96008","2","8","21952","1","20000"
"149","1","96008","2","8","21905","1","10000"
"150","1","96008","2","8","41000","2","10000"
"151","5","96008","2","8","31279","5","1500"
"152","5","96008","2","8","31809","5","2000"
"153","5","96008","2","8","31284","5","1500"
"154","5","96008","2","8","31285","5","1500"
"155","5","96008","2","8","31289","5","1500"
"156","5","96008","2","8","31287","5","1500"
"157","5","96008","2","8","31293","5","1500"
"158","10","96008","2","8","90005","5","2500"
"159","50","96008","4","8","140001","10","2500"
"160","10","96008","2","8","25001","10","1000"
"161","30","96008","4","8","150003","5","500"
"162","30","96008","4","8","150004","5","650"
"163","30","96008","4","8","150005","5","750"
"164","30","96008","4","8","150006","5","900"
"165","30","96008","4","8","150007","5","1000"
"166","30","96008","4","8","150008","5","1150"
"167","30","96008","4","8","150009","5","1300"
"168","500","96008","2","8","20004","5","2500"
"169","500","96008","2","8","22003","5","1000"
"170","100","96008","2","8","20004","0","1000"
"171","100","96008","2","8","22003","0","400"
"172","1","96009","2","9","25101","1","20000"
"173","1","96009","2","9","21952","1","20000"
"174","1","96009","2","9","21905","1","10000"
"175","1","96009","2","9","41000","2","10000"
"176","5","96009","2","9","31298","5","1500"
"177","5","96009","2","9","31181","5","2000"
"178","5","96009","2","9","31307","5","1500"
"179","5","96009","2","9","31310","5","1500"
"180","10","96009","2","9","90005","5","2500"
"181","50","96009","4","9","140001","10","2500"
"182","10","96009","2","9","25001","10","1000"
"183","30","96009","4","9","150003","5","500"
"184","30","96009","4","9","150004","5","650"
"185","30","96009","4","9","150005","5","750"
"186","30","96009","4","9","150006","5","900"
"187","30","96009","4","9","150007","5","1000"
"188","30","96009","4","9","150008","5","1150"
"189","30","96009","4","9","150009","5","1300"
"190","500","96009","2","9","20004","5","2500"
"191","500","96009","2","9","22003","5","1000"
"192","100","96009","2","9","20004","0","1000"
"193","100","96009","2","9","22003","0","400"
"194","1","96010","2","10","25101","1","20000"
"195","1","96010","2","10","21952","1","20000"
"196","1","96010","2","10","21905","1","10000"
"197","1","96010","2","10","41000","2","10000"
"198","5","96010","2","10","31182","5","2000"
"199","5","96010","2","10","31312","5","1500"
"200","5","96010","2","10","31316","5","1500"
