d1aa080fc1323f19ae38da7741211b387e78be6d6338511ca53853877b30b007,425694026066710bbcc03c224c9c5a22fc19366377d651e3c1057ca3cf4d10ad,6a81c2ecf99ca908132fc0eaa7017596b82a71924fbb05114d59170f77d51fb0,129b6ef05dea57ac7a0a6ba3505cf9fdb67b7352ba5fe1c59db07441b7949103,33cf369e1eb4e5d1b579117ec577f7d735e6b4990c654784189387d36c80b3b5,9fe372c43f6b5d74b11a3aa5c03760f61006eb019d7602f233b540f58aae99a4,2998bebc03c744b5dfa7ca758f66c936dd90a60692aeda5c95b50332aff47f2d,f64326bff4e54ad9eccd2eebfafd3ed933c120bf1c81e162b9e4b691b0c95b17,39ce4276a822aedad64407816742566271f345e7d7827556dfe28362ec8e7f90,2f0fdc4d63ab4220593b373b4a775d654389e90bb04681bab7ad693cdbcdc48e,abb68e1a4f0ec384fc1d61bafefcb3bfc4e36ebb1ac1619e7abb50288e6d29ba,af927c7a7a0f95166d647bd76fbbf8ea233c54228ac65a2843046144ce7a5b6b,cfe6c46f0d94e2f9f0f3fd0bf9c90c4cec419f9c9390bf78154a733547b60919,e663f4d7729c25c6996b1950f9ed6417f76bbad1b7ee02c7c24d0703b8904816,91b920c884abdd2ad1a287b674d8a2ac8b84fc9aa567cfdb1a92eb9f1b28d293,c8177246deb1bf66c1244f8209d3ab07531fd6c94298be04d0fe56f465dbc887,576dbe00c165425f7b403d3078a99ce5e7abd113e164f59a31a061d1b3f18ab2,cd43c159516e58deadb84938ac57ad2147bca1721dfe0ef7aca3bf4b146f862d
"5","150000","1","91002","0","22003","12","94002","5","0","2","20","1","150","8","0","20003","2"
"9","100000","6","91002","0","22003","12","94002","2","0","2","15","2","145","8","0","20003","2"
"19","80000","10","91002","0","22002","12","94002","5","0","2","11","3","140","8","0","20003","2"
"29","80000","20","91002","0","22002","12","94002","5","0","2","10","4","130","8","0","20003","2"
"39","70000","30","91002","0","22002","12","94002","4","0","2","9","5","120","8","0","20003","2"
"49","70000","40","91002","0","22002","12","94002","4","0","2","8","6","110","8","0","20003","2"
"99","60000","50","91002","0","22002","12","94002","3","0","2","7","7","100","8","0","20003","2"
"499","40000","100","91002","0","22002","12","94002","2","0","2","2","8","80","8","0","20003","2"
"999","20000","500","91002","0","22002","12","94002","1","0","2","7","9","50","8","0","20002","2"
"4999","16000","1000","91002","0","22001","12","94002","3","0","2","4","10","20","8","0","20002","2"
"9999","9000","5000","91002","0","22001","12","94002","2","0","2","3","11","15","8","0","20002","2"
"11999","4000","10000","91002","0","22001","12","94002","1","0","2","8","12","10","8","0","20001","2"
"13999","3000","12000","91002","0","22001","12","94002","1","0","2","7","13","5","8","0","20001","2"
"14999","2000","14000","91002","0","22001","12","94002","1","0","2","6","14","4","8","0","20001","2"
"30000","1800","15000","91002","0","22001","12","94002","1","0","2","5","15","3","8","0","20001","2"
