dbf8fe5a57b206adf013bd1ae94d7c752fbea028eea84dd8fc5446b0e02cb5c0,0512aa0835dd6914e701bb5a78f733f35839cfd3bc429070def0a7f46593810f,7186d21af7568aeb6c8b073e2927ed3c5a6a098164eaaa1742d17b43d4f3bb04,cd89bbbe2f39bb9b70a05de8c0a41a7491607d6e1024d56dce35e54e2f23f955,5c29d7850dd675c4f467d7c67db09427889a6e5ef3a308d1aaffb94c672b7278,8a0710d5b4b61559bf226c76b96fca1f83381613c020bbe8068d5ade9af24ca5,2e9b6137ec4c0c05144994949426381a2a35c3b14119e44e278cfd3b158f9634,7669e5d67fabcffa203944244c6a005761bde23c856f9705112e0d65077f84cc,0ce46bbf52657497c897a8ff849d9ada4bc9f795fca14432aa81b83836fb2619,bb1195240eb47f0002f5037cad43f95ecc6f5b02b53d8f98f9432dc4b64751e1,f650db0d72f30f5ef92e57bcff218fcdbd44c952979df406dd049e6fa27b1dc0,3df362efd8f116c4e770e58549cf15b83523e9f1522e656ea59bcc75eafa6a47,4ac75e37565c12d82a0d2d4fc857b9fbde9d2803191582abde764fe041b92a55,da2f3c3fe3779c9bb0efaa4062ff2b5687c22853f09abeb72c3952f6537f15fb,c6d8735998e300c1c14c73ed7799f4bd3e666bfbb6408b853aeaa351ddd3799e,3876aaf07a69e33003e1485ed85c167b382b728453c2dcb54e20fa20c4cd05a7
"103","104","1","0","0","1","10016","105","0","1","0","1","5","102","101","0"
"203","204","2","0","0","2","10021","205","0","1","0","2","2","202","201","1"
"303","304","2","0","0","5","10053","305","0","1","0","3","5","302","301","1"
"403","404","2","0","0","4","10044","405","0","1","0","4","8","402","401","1"
"503","504","3","0","0","4","10042","505","0","1","0","5","2","502","501","2"
"603","604","3","0","0","2","10024","605","0","1","0","6","5","602","601","3"
"703","704","3","0","0","1","10015","705","0","1","0","7","8","702","701","4"
"0","0","4","0","0","101","11012","0","0","1","0","8","2","0","801","5"
"903","904","4","0","0","2","10023","905","0","1","0","9","5","902","901","6"
"0","0","4","0","0","101","11011","0","0","1","0","10","8","0","1001","7"
"1103","1104","5","0","0","5","10052","1105","0","1","0","11","2","1102","1101","8"
"1203","1204","5","0","0","4","10045","1205","0","1","0","12","5","1202","1201","9"
"1303","1304","5","0","0","2","10021","1305","0","1","0","13","8","1302","1301","10"
"1403","1404","6","0","0","1","10013","1405","0","1","0","14","2","1402","1401","11"
"1503","1504","6","0","0","5","10054","1505","0","1","0","15","5","1502","1501","12"
"0","0","6","0","0","101","11015","0","0","1","0","16","8","0","1601","13"
"0","0","7","0","0","100","11002","0","0","1","0","17","2","0","1701","14"
"1803","1804","7","0","0","4","10043","1805","0","1","0","18","5","1802","1801","15"
"1903","1904","7","0","0","3","10034","1905","16","1","0","19","8","1902","1901","16"
"2003","2004","8","0","0","4","10041","2005","0","1","0","20","2","2002","2001","17"
"0","0","8","0","0","100","11003","0","0","1","0","21","5","0","2101","18"
"2203","2204","8","0","0","2","10025","2205","0","1","0","22","8","2202","2201","19"
"2303","2304","9","0","0","1","10011","2305","0","1","0","23","2","2302","2301","20"
"2403","2404","9","0","0","2","10022","2405","0","1","0","24","5","2402","2401","21"
"2503","2504","9","0","0","4","10045","2505","0","1","0","25","8","2502","2501","22"
"2603","0","10","0","25","100","11006","0","24","1","0","26","5","2602","2601","23"
"2703","2704","11","0","0","3","10031","2705","0","1","0","27","2","2702","2701","26"
"2803","2804","11","0","0","4","10044","2805","0","1","0","28","5","2802","2801","26"
"2903","2904","11","0","0","7","10075","2905","0","1","0","29","8","2902","2901","26"
"3003","3004","12","0","0","3","10032","3005","0","1","0","30","2","3002","3001","27"
"3103","3104","12","0","0","1","10013","3105","0","1","0","31","5","3102","3101","28"
"3203","3204","12","0","0","4","10044","3205","0","1","0","32","8","3202","3201","29"
"3303","3304","13","0","0","4","10041","3305","0","1","0","33","2","3302","3301","30"
"3403","3404","13","0","0","2","10022","3405","0","1","0","34","5","3402","3401","31"
"3503","3504","13","0","0","5","10053","3505","0","1","0","35","8","3502","3501","32"
"3603","3604","14","0","0","2","10024","3605","0","1","0","36","2","3602","3601","33"
"3703","3704","14","0","0","4","10045","3705","0","1","0","37","5","3702","3701","34"
"3803","3804","14","0","0","1","10012","3805","0","1","0","38","8","3802","3801","35"
"3903","3904","15","0","0","4","10043","3905","0","1","0","39","2","3902","3901","36"
"4003","4004","15","0","0","3","10035","4005","0","1","0","40","5","4002","4001","37"
"4103","4104","15","0","0","7","10072","4105","0","1","0","41","8","4102","4101","38"
"4203","4204","16","0","0","2","10021","4205","0","1","0","42","2","4202","4201","39"
"4303","4304","16","0","0","3","10034","4305","0","1","0","43","5","4302","4301","40"
"4403","4404","16","0","0","1","10015","4405","0","1","0","44","8","4402","4401","41"
"4503","4504","17","0","0","2","10022","4505","0","1","0","45","2","4502","4501","42"
"4603","4604","17","0","0","2","10023","4605","0","1","0","46","5","4602","4601","43"
"4703","4704","17","0","0","7","10074","4705","0","1","0","47","8","4702","4701","44"
"4803","4804","18","0","0","3","10031","4805","0","1","0","48","2","4802","4801","45"
"4903","4904","18","0","0","5","10052","4905","0","1","0","49","5","4902","4901","46"
"5003","5004","18","0","0","2","10025","5005","0","1","0","50","8","5002","5001","47"
"5103","5104","19","0","0","4","10041","5105","0","1","0","51","2","5102","5101","48"
"5203","5204","19","0","0","3","10033","5205","0","1","0","52","5","5202","5201","49"
"5303","5304","19","0","0","7","10074","5305","0","1","0","53","8","5302","5301","50"
"5403","0","20","0","53","101","11016","0","52","1","0","54","5","5402","5401","51"
"5503","5504","21","0","0","4","10041","5505","0","1","0","55","2","5502","5501","54"
"0","0","21","0","0","100","11002","0","0","1","0","56","5","5602","5601","54"
"5703","5704","21","0","0","6","10065","5705","0","1","0","57","8","5702","5701","54"
"5803","5804","22","0","0","2","10022","5805","0","1","0","58","2","5802","5801","55"
"5903","5904","22","0","0","1","10013","5905","0","1","0","59","5","5902","5901","56"
"0","0","22","0","0","101","11015","0","0","1","0","60","8","6002","6001","57"
"6103","6104","23","0","0","2","10021","6105","0","1","0","61","2","6102","6101","58"
"6203","6204","23","0","0","3","10032","6205","0","1","0","62","5","6202","6201","59"
"6303","6304","23","0","0","2","10023","6305","0","1","0","63","8","6302","6301","60"
"6403","6404","24","0","0","2","10024","6405","0","1","0","64","2","6402","6401","61"
"6503","6504","24","0","0","7","10071","6505","0","1","0","65","5","6502","6501","62"
"0","0","24","0","0","100","11004","0","0","1","0","66","8","0","6601","63"
"6703","6704","25","0","0","5","10055","6705","0","1","0","67","2","6702","6701","64"
"6803","6804","25","0","0","5","10051","6805","0","1","0","68","5","6802","6801","65"
"6903","6904","25","0","0","4","10042","6905","0","1","0","69","8","6902","6901","66"
"7003","7004","26","0","0","6","10064","7005","0","1","0","70","2","7002","7001","67"
"7103","7104","26","0","0","6","10061","7105","0","1","0","71","5","7102","7101","68"
"0","0","26","0","0","101","11013","0","0","1","0","72","8","0","7201","69"
"7303","7304","27","0","0","3","10033","7305","0","1","0","73","2","7302","7301","70"
"7403","7404","27","0","0","1","10014","7405","0","1","0","74","5","7402","7401","71"
"7503","7504","27","0","0","5","10052","7505","0","1","0","75","8","7502","7501","72"
"7603","7604","28","0","0","4","10044","7605","0","1","0","76","2","7602","7601","73"
"0","0","28","0","0","100","11005","0","0","1","0","77","5","0","7701","74"
"0","0","28","0","0","101","11011","0","0","1","0","78","8","7802","7801","75"
"7903","7904","29","0","0","3","10034","7905","0","1","0","79","2","7902","7901","76"
"8003","8004","29","0","0","7","10073","8005","0","1","0","80","5","8002","8001","77"
"8103","8104","29","0","0","3","10035","8105","0","1","0","81","8","8102","8101","78"
"8203","8204","30","0","81","6","10066","8205","80","1","0","82","5","8202","8201","79"
"8303","8304","31","0","0","6","10062","8305","0","1","0","83","2","8302","8301","82"
"8403","8404","31","0","0","1","10014","8405","0","1","0","84","5","8402","8401","82"
"8503","8504","31","0","0","2","10021","8505","0","1","0","85","8","8502","8501","82"
"8603","8604","32","0","0","5","10053","8605","0","1","0","86","2","8602","8601","83"
"8703","8704","32","0","0","1","10011","8705","0","1","0","87","5","8702","8701","84"
"8803","8804","32","0","0","7","10072","8805","0","1","0","88","8","8802","8801","85"
"8903","8904","33","0","0","4","10045","8905","0","1","0","89","2","8902","8901","86"
"9003","9004","33","0","0","4","10042","9005","0","1","0","90","5","9002","9001","87"
"9103","9104","33","0","0","5","10053","9105","0","1","0","91","8","9102","9101","88"
"9203","9204","34","0","0","6","10064","9205","0","1","0","92","2","9202","9201","89"
"9303","9304","34","0","0","3","10035","9305","0","1","0","93","5","9302","9301","90"
"9403","9404","34","0","0","5","10051","9405","0","1","0","94","8","9402","9401","91"
"9503","9504","35","0","0","3","10033","9505","0","1","0","95","2","9502","9501","92"
"9603","9604","35","0","0","4","10044","9605","0","1","0","96","5","9602","9601","93"
"9703","9704","35","0","0","7","10075","9705","0","1","0","97","8","9702","9701","94"
"9803","9804","36","0","0","3","10032","9805","0","1","0","98","2","9802","9801","95"
"9903","9904","36","0","0","2","10023","9905","0","1","0","99","5","9902","9901","96"
"10003","10004","36","0","0","2","10024","10005","0","1","0","100","8","10002","10001","97"
"10103","10104","37","0","0","5","10051","10105","0","1","0","101","2","10102","10101","98"
"10203","10204","37","0","0","1","10012","10205","0","1","0","102","5","10202","10201","99"
"10303","10304","37","0","0","3","10035","10305","0","1","0","103","8","10302","10301","100"
"10403","10404","38","0","0","6","10063","10405","0","1","0","104","2","10402","10401","101"
"10503","10504","38","0","0","5","10055","10505","0","1","0","105","5","10502","10501","102"
"10603","10604","38","0","0","7","10071","10605","0","1","0","106","8","10602","10601","103"
"10703","10704","39","0","0","5","10052","10705","0","1","0","107","2","10702","10701","104"
"10803","10804","39","0","0","4","10043","10805","0","1","0","108","5","10802","10801","105"
"10903","10904","39","0","0","2","10025","10905","0","1","0","109","8","10902","10901","106"
"11003","11004","40","0","109","7","10076","11005","108","1","0","110","5","11002","11001","107"
"11103","11104","1","0","0","6","10062","11105","0","2","0","111","2","11102","11101","0"
"11203","11204","1","0","0","2","10024","11205","0","2","0","112","5","11202","11201","0"
"11303","11304","1","0","0","4","10045","11305","0","2","0","113","8","11302","11301","0"
"11403","11404","2","0","0","2","10022","11405","0","2","0","114","2","11402","11401","111"
"11503","11504","2","0","0","4","10043","11505","0","2","0","115","5","11502","11501","112"
"11603","11604","2","0","0","7","10074","11605","0","2","0","116","8","11602","11601","113"
"11703","11704","3","0","0","1","10012","11705","0","2","0","117","2","11702","11701","114"
"11803","11804","3","0","0","6","10063","11805","0","2","0","118","5","11802","11801","115"
"11903","11904","3","0","0","3","10035","11905","0","2","0","119","8","11902","11901","116"
"12003","12004","4","0","0","5","10051","12005","0","2","0","120","2","12002","12001","117"
"12103","12104","4","0","0","2","10023","12105","0","2","0","121","5","12102","12101","118"
"0","0","4","0","0","100","11004","0","0","2","0","122","8","12202","12201","119"
"12303","12304","5","0","0","6","10061","12305","0","2","0","123","2","12302","12301","120"
"12403","12404","5","0","0","4","10042","12405","0","2","0","124","5","12402","12401","121"
"12503","12504","5","0","0","7","10073","12505","0","2","0","125","8","12502","12501","122"
"12603","0","6","0","0","101","11015","0","0","2","0","126","2","12602","12601","123"
"12703","12704","6","0","0","3","10033","12705","0","2","0","127","5","12702","12701","124"
"12803","12804","6","0","0","5","10054","12805","0","2","0","128","8","12802","12801","125"
"12903","12904","7","0","0","1","10011","12905","0","2","0","129","2","12902","12901","126"
"13003","13004","7","0","0","5","10052","13005","0","2","0","130","5","13002","13001","127"
"13103","13104","7","0","0","6","10064","13105","0","2","0","131","8","13102","13101","128"
"13203","13204","8","0","0","2","10025","13205","0","2","0","132","2","13202","13201","129"
"13303","0","8","0","0","101","11011","0","0","2","0","133","5","13302","13301","130"
"0","0","8","0","0","101","11014","0","0","2","0","134","8","0","13401","131"
"13503","13504","9","0","0","1","10015","13505","0","2","0","135","2","13502","13501","132"
"13603","13604","9","0","0","4","10041","13605","0","2","0","136","5","13602","13601","133"
"13703","13704","9","0","0","5","10055","13705","0","2","0","137","8","13702","13701","134"
"13803","13804","10","0","137","5","10056","13805","136","2","0","138","5","13802","13801","135"
"13903","13904","11","0","0","6","10063","13905","0","2","0","139","2","13902","13901","138"
"14003","14004","11","0","0","5","10054","14005","0","2","0","140","5","14002","14001","138"
"14103","14104","11","0","0","3","10031","14105","0","2","0","141","8","14102","14101","138"
"14203","14204","12","0","0","2","10022","14205","0","2","0","142","2","14202","14201","139"
"14303","14304","12","0","0","1","10014","14305","0","2","0","143","5","14302","14301","140"
"14403","14404","12","0","0","2","10025","14405","0","2","0","144","8","14402","14401","141"
"14503","14504","13","0","0","7","10071","14505","0","2","0","145","2","14502","14501","142"
"14603","14604","13","0","0","5","10052","14605","0","2","0","146","5","14602","14601","143"
"0","0","13","0","0","101","11013","0","0","2","0","147","8","14702","14701","144"
"0","0","14","0","0","101","11014","0","0","2","0","148","2","14802","14801","145"
"14903","14904","14","0","0","1","10013","14905","0","2","0","149","5","14902","14901","146"
"15003","15004","14","0","0","5","10055","15005","0","2","0","150","8","15002","15001","147"
"15103","15104","15","0","0","5","10051","15105","0","2","0","151","2","15102","15101","148"
"0","0","15","0","0","100","11001","0","0","2","0","152","5","0","15201","149"
"0","0","15","0","0","101","11012","0","0","2","0","153","8","15302","15301","150"
"15403","15404","16","0","0","2","10023","15405","0","2","0","154","2","15402","15401","151"
"15503","15504","16","0","0","5","10054","15505","0","2","0","155","5","15502","15501","152"
"15603","15604","16","0","0","2","10021","15605","0","2","0","156","8","15602","15601","153"
"15703","15704","17","0","0","3","10034","15705","0","2","0","157","2","15702","15701","154"
"15803","15804","17","0","0","6","10065","15805","0","2","0","158","5","15802","15801","155"
"15903","15904","17","0","0","7","10072","15905","0","2","0","159","8","15902","15901","156"
"16003","16004","18","0","0","3","10033","16005","0","2","0","160","2","16002","16001","157"
"16103","0","18","0","0","100","11004","0","0","2","0","161","5","16102","16101","158"
"16203","16204","18","0","0","1","10015","16205","0","2","0","162","8","16202","16201","159"
"16303","16304","19","0","0","3","10032","16305","0","2","0","163","2","16302","16301","160"
"16403","16404","19","0","0","5","10053","16405","0","2","0","164","5","16402","16401","161"
"16503","16504","19","0","0","5","10055","16505","0","2","0","165","8","16502","16501","162"
"16603","16604","20","0","165","3","10036","16605","164","2","0","166","5","16602","16601","163"
"16703","16704","21","0","0","6","10061","16705","0","2","0","167","2","16702","16701","166"
"16803","16804","21","0","0","5","10053","16805","0","2","0","168","5","16802","16801","166"
"16903","16904","21","0","0","4","10044","16905","0","2","0","169","8","16902","16901","166"
"17003","17004","22","0","0","6","10065","17005","0","2","0","170","2","17002","17001","167"
"17103","17104","22","0","0","5","10051","17105","0","2","0","171","5","17102","17101","168"
"17203","17204","22","0","0","4","10041","17205","0","2","0","172","8","17202","17201","169"
"17303","17304","23","0","0","1","10012","17305","0","2","0","173","2","17302","17301","170"
"17403","17404","23","0","0","7","10075","17405","0","2","0","174","5","17402","17401","171"
"17503","17504","23","0","0","3","10031","17505","0","2","0","175","8","17502","17501","172"
"0","0","24","0","0","100","11003","0","0","2","0","176","2","17602","17601","173"
