7a8cbe1e4f3a529c1764bc17408f1186973541bb7966de573e0c0297282c7d6a,2068d0c3a88ce4a2e6def5d3c81dffba901fc8ec1a933e1cec9cf75192875466,88d6d9b8c5b273be78bbb09c25a3a3018a249045f82d751b2a8a9e5204f280cf,aed38bd19705f8547a4117e6ea8c1255a7b655e0fd63b3b5abbc78568a4c384c,52353e620f1f1f1f0b0975f222edb6dff93679f2d0368f97616d63b91f7906e3,de4188e42d20839d740c4e6c27437d50ef055611ab7608b7c7236388454e8ced,96c4541c63d64a27a75bc57ef54a2491f6e00d7cfca65f230dc77eb1b9679d18,29852e9c4b626caff6827ad4bde7e4642cfa429eadab09174ed8e78c9d433196,2d4bab58dbfbf6f2771923aee55837d812646e9ed8cccbcd924609afc79cb3f3,38333880b7bb12ccf29d35e00605a12622740304dc26afb43dee28d820dac765,20bf5673395be5a8efcffeea3c429d7af6a6f1dbef4dc8952ac12c8ce214d9b2,1768e50ffec5081303e3611e4a14a047d82e3283547cc43cf2200e553290baca
"103","1","10140101","0","0","0","10","浮き輪泳ぎ（黄）","0","2","10140","107511"
"102","1","10140102","0","0","0","15","浮き輪泳ぎ（青）","0","2","10140","107611"
"103","1","10140103","0","0","0","10","浮き輪泳ぎ（黄）","0","1","10140","107711"
"102","1","10140106","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","108011"
"101","1","10140107","0","0","0","10","浮き輪泳ぎ（ピンク）","0","2","10140","110011"
"101","1","10140108","0","0","0","10","浮き輪泳ぎ（ピンク）","0","1","10140","110111"
"103","1","10140109","0","0","0","3","浮き輪泳ぎ（黄）","0","1","10140","110311"
"102","1","10140110","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","110411"
"102","1","10140111","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","110511"
"101","1","10140112","0","0","0","50","浮き輪泳ぎ（ピンク）","0","2","10140","110611"
"102","1","10140113","0","0","0","5","浮き輪泳ぎ（青）","0","1","10140","113111"
"102","1","10140114","0","0","0","5","浮き輪泳ぎ（青）","0","1","10140","113211"
"102","1","10140115","0","0","0","5","浮き輪泳ぎ（青）","0","1","10140","113311"
"102","1","10140116","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","113411"
"102","1","10140117","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","113511"
"102","1","10140118","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","113611"
"102","1","10140119","0","0","0","5","浮き輪泳ぎ（青）","0","1","10140","115711"
"101","1","10140120","0","0","0","10","浮き輪泳ぎ（ピンク）","0","2","10140","117011"
"102","1","10140121","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","117111"
"102","1","10140122","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","117211"
"102","1","10140123","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","117311"
"101","1","10140124","0","0","0","10","浮き輪泳ぎ（ピンク）","0","2","10140","117411"
"103","1","10140125","0","0","0","10","浮き輪泳ぎ（黄）","0","2","10140","122411"
"102","1","10140126","0","0","0","5","浮き輪泳ぎ（青）","0","1","10140","122511"
"101","1","10140127","0","0","0","10","浮き輪泳ぎ（ピンク）","0","2","10140","122611"
"102","1","10140128","0","0","0","10","浮き輪泳ぎ（青）","0","1","10140","122711"
"103","1","10140129","0","0","0","10","浮き輪泳ぎ（黄）","0","1","10140","122811"
"101","1","10140130","0","0","0","10","浮き輪泳ぎ（ピンク）","0","1","10140","122911"
"101","1","10140132","0","0","0","5","浮き輪泳ぎ（ピンク）","0","1","10140","126711"
"103","1","10140133","0","0","0","10","浮き輪泳ぎ（黄）","0","2","10140","126811"
"102","1","10140134","0","0","0","30","浮き輪泳ぎ（青）","0","2","10140","126911"
"101","1","10140135","0","0","0","5","浮き輪泳ぎ（ピンク）","0","1","10140","127011"
"102","1","10140136","0","0","0","10","浮き輪泳ぎ（青）","0","2","10140","127111"
"103","1","10140138","0","0","0","10","浮き輪泳ぎ（黄）","0","2","10140","129411"
"101","1","10140139","0","0","0","10","浮き輪泳ぎ（ピンク）","0","2","10140","129511"
"151","1","10140151","0","0","0","10","バタ足","0","2","10140","107511"
"151","1","10140152","0","0","0","10","バタ足","0","2","10140","107611"
"151","1","10140153","0","0","0","10","バタ足","0","1","10140","107711"
"151","1","10140156","0","0","0","10","バタ足","0","2","10140","108011"
"151","1","10140157","0","0","0","10","バタ足","0","2","10140","110011"
"151","1","10140159","0","0","0","3","バタ足","0","1","10140","110311"
"151","1","10140160","0","0","0","10","バタ足","0","2","10140","110411"
"151","1","10140161","0","0","0","10","バタ足","0","2","10140","110511"
"151","1","10140163","0","0","0","5","バタ足","0","1","10140","113111"
"151","1","10140164","0","0","0","5","バタ足","0","1","10140","113211"
"151","1","10140165","0","0","0","5","バタ足","0","1","10140","113311"
"151","1","10140166","0","0","0","10","バタ足","0","2","10140","113411"
"151","1","10140167","0","0","0","10","バタ足","0","2","10140","113511"
"151","1","10140168","0","0","0","10","バタ足","0","2","10140","113611"
"151","1","10140169","0","0","0","5","バタ足","0","1","10140","115711"
"151","1","10140170","0","0","0","10","バタ足","0","2","10140","117011"
"151","1","10140171","0","0","0","10","バタ足","0","2","10140","117111"
"151","1","10140172","0","0","0","10","バタ足","0","2","10140","117211"
"151","1","10140173","0","0","0","10","バタ足","0","2","10140","117311"
"151","1","10140174","0","0","0","10","バタ足","0","2","10140","117411"
"151","1","10140175","0","0","0","10","バタ足","0","2","10140","122411"
"151","1","10140176","0","0","0","5","バタ足","0","1","10140","122511"
"151","1","10140177","0","0","0","10","バタ足","0","2","10140","122611"
"151","1","10140179","0","0","0","10","バタ足","0","1","10140","122811"
"151","1","10140180","0","0","0","10","バタ足","0","1","10140","122911"
"151","1","10140182","0","0","0","5","バタ足","0","1","10140","126711"
"151","1","10140183","0","0","0","10","バタ足","0","2","10140","126811"
"151","1","10140185","0","0","0","5","バタ足","0","1","10140","127011"
"151","1","10140188","0","0","0","10","バタ足","0","2","10140","129411"
"151","1","10140189","0","0","0","10","バタ足","0","2","10140","129511"
"201","1","10140201","0","0","0","10","平泳ぎ","0","2","10140","107511"
"201","1","10140202","0","0","0","10","平泳ぎ","0","2","10140","107611"
"201","1","10140203","0","0","0","10","平泳ぎ","0","1","10140","107711"
"201","1","10140206","0","0","0","20","平泳ぎ","0","2","10140","108011"
"201","1","10140207","0","0","0","10","平泳ぎ","0","2","10140","110011"
"201","1","10140209","0","0","0","3","平泳ぎ","0","1","10140","110311"
"201","1","10140210","0","0","0","10","平泳ぎ","0","2","10140","110411"
"201","1","10140211","0","0","0","10","平泳ぎ","0","2","10140","110511"
"201","1","10140213","0","0","0","5","平泳ぎ","0","1","10140","113111"
"201","1","10140214","0","0","0","5","平泳ぎ","0","1","10140","113211"
"201","1","10140216","0","0","0","10","平泳ぎ","0","2","10140","113411"
"201","1","10140217","0","0","0","10","平泳ぎ","0","2","10140","113511"
"201","1","10140218","0","0","0","10","平泳ぎ","0","2","10140","113611"
"201","1","10140219","0","0","0","5","平泳ぎ","0","1","10140","115711"
"201","1","10140220","0","0","0","10","平泳ぎ","0","2","10140","117011"
"201","1","10140221","0","0","0","10","平泳ぎ","0","2","10140","117111"
"201","1","10140222","0","0","0","10","平泳ぎ","0","2","10140","117211"
"201","1","10140223","0","0","0","10","平泳ぎ","0","2","10140","117311"
"201","1","10140224","0","0","0","10","平泳ぎ","0","2","10140","117411"
"201","1","10140225","0","0","0","10","平泳ぎ","0","2","10140","122411"
"201","1","10140226","0","0","0","5","平泳ぎ","0","1","10140","122511"
"201","1","10140227","0","0","0","10","平泳ぎ","0","2","10140","122611"
"201","1","10140232","0","0","0","5","平泳ぎ","0","1","10140","126711"
"201","1","10140233","0","0","0","10","平泳ぎ","0","2","10140","126811"
"201","1","10140235","0","0","0","5","平泳ぎ","0","1","10140","127011"
