aaee4277baf5cba02c33199c3641d120cb2103258020d5a5c99a651251f8364f,17fdd96c57f4966f9e9b1125affa21a8ce587ef5a1453409c05cd25a72d9d5f9,bc772908fc7e36fb966faffe0b9cf8fb66481b028f54d13650760b23c90b8843,f6fe40054ef176f3762002476a7b707a037abe2150ffbab3f0073fa41e10694e,2662f87233f78105a6d41cb43bc9a1671237a3f8e9d26a833b2d22e0c23b4838,9cca5857446c80b0c6c3db8bab0792600e208457c3427818d22f529816ab2604
"2","10201","5201009","102010201","0","2"
"2","10201","5201010","102010202","0","3"
"3","10201","0","102010301","0","502510"
"2","10202","0","102020201","0","501220"
"3","10202","0","102020301","0","501201"
"2","10203","0","102030201","0","500801"
"3","10203","0","102030301","0","500031"
"2","10204","0","102040201","0","502360"
"3","10204","0","102040301","0","500030"
"2","10205","0","102050201","0","502170"
"3","10205","0","102050301","0","502080"
"2","10206","0","102060201","0","501030"
"3","10206","0","102060301","0","500160"
"2","10207","0","102070201","0","500690"
"3","10207","0","102070301","0","500163"
"3","10208","0","102080201","0","532300"
"2","10209","0","102090201","0","502460"
"3","10209","0","102090301","0","502290"
"3","10210","0","102100201","0","502080"
"2","10211","0","102110201","0","501460"
"3","10211","0","102110301","0","500037"
"2","10212","0","102120201","0","500341"
"3","10212","0","102120301","0","501470"
