3f24d22e30f4e58c45463cd82b3b0edb5e736153076fffe8c8b064ff320e5e0b,3e40f64f0dc0a1f8db4c6c43c88ec7266e093f6e275325c4617b882f5d49ab0b,f8ee4da9a98c2c051bdcb260d8c1509835f1ffe419faeab28b03c79af63c4512,9310021ddf20271a6d00dbd53375a2150462dcc18c823d3975c4702c74a18f40
"1","22","53001","1"
"2","21","99007","500"
"3","21","99008","1"
"4","21","99007","800"
"5","21","99007","2000"
"6","21","99007","1000"
"7","22","53001","2"
"8","21","99008","2"
"9","21","99008","3"
"10","22","53002","1"
"11","22","53001","3"
