dcc441ac9c330e0c779bb80a15ff9e4a371a00f97751a657050c12d3e4f3e298,ab7395115a954d681d999f7fead7f3faa45ff1cdafd8e2471c22e3f98fb803ba,caa73ea950edb54a37382ea1f2dd4053288418b422db930ed62bf52f124bbbca,308df63703d7cfb2554ac8d0b56b928ef191c202567f105d0f0180d9277e5d2b,a76783e61607692b2d977fb8b887ad45deaedc9cdd0ee6ba39f70ff3dc0aaf60,29623f5531a56e19e9189010e37b93aaf664723f14065eea05388c1210b02d7b,2ec902253ce7dce8e5c9cb0b367d428bd673dd5094d3fd6e82e58d8a9502bb23,db1b72c3c6281cd99376bb620a966bb2ad9f35c75ead265a28c3bee9a81328fa,f40214b25ec8977fc406921116be3ea6e411f82f35dcd9c2df9bfe8dd7f18c44,e774b6bf67423e86d8a5ec8d20cd6d4b8ab8f74af20480e39541b5f72a3551a0,e7b283129c422d02634e190f0a1eb00f43021745fdd8e6ba14731f5948765a87
"25","0","5128071","20070115","91002","0","0","8","二人だけの時間","2","10128"
"25","5128071","5128072","0","91002","0","0","8","新居の必須条件","2","10128"
"25","5128072","5128073","0","91002","0","0","8","本当は誰よりも","2","10128"
"25","5128073","5128074","0","91002","0","0","8","家族で大切に\nしたいこと","2","10128"
"50","5128074","5128075","0","91002","0","0","8","誓いの言葉","2","10128"
"25","0","5128081","20070115","91002","0","0","8","血の婚約報告","3","10128"
"25","5128081","5128082","0","91002","0","0","8","風来人の家探し","3","10128"
"25","5128082","5128083","0","91002","0","0","8","愛おしい時間","3","10128"
"25","5128083","5128084","0","91002","0","0","8","トーゴクの\n家族文化","3","10128"
"50","5128084","5128085","0","91002","0","0","8","飾らない愛を","3","10128"
"0","5128075","5128091","0","0","0","5128085","0","口約束は災いのもと","4","10128"
"0","5128091","5128092","0","0","11001271","0","0","譲れない家庭の味","4","10128"
"0","0","5128161","20070115","0","0","0","0","夢の語り部に誘われて","1","10128"
