bf87a07bb09c448519bee3828f2c5890585399b558ebe8ad4a15d33880988619,ea52e0c984dfb6e8eb0706fab9a2ab061c729602d88df1efe434c82d456ab2c7,16fe0197c06d5a80e32086982b96fe2b4bc75269bdc02b80b4d316741bf69c1e
"114601","1","1"
"114701","2","2"
"115601","3","3"
"115801","4","5"
"116801","5","6"
"117401","6","7"
"117801","7","8"
"119201","8","9"
"120801","9","10"
"121201","10","12"
"122101","11","13"
"122401","12","14"
"122801","13","15"
"123501","14","16"
"124101","15","17"
"124701","16","20"
"124901","17","21"
"125701","18","22"
"126701","19","24"
"127001","20","25"
"128301","21","27"
"128801","22","28"
"105801","23","29"
"105901","24","30"
"106001","25","31"
"106401","26","32"
