5f1cc430932b69055386e5df7e308a015222cc6a377c1ddfcf59dcac9ba77eb1,c3fe7c8800306c03fe9192f51cda54da23e457ba56c7972c7ee40845f72dd090,6118def8b036b302f47b3e3f1d895e29a663f37ea5584824fb1e2e8b3ba35aa4,6c8f17fecc424e52df051cf93104f7cc571179db2ecd3a2420f257c997f74a07,9bce2e0dc963e0e7bd58944448eafc3e34236b5b67d56409e4c717637cc44849
"90009","101","片手剣","red","#D23232"
"90009","102","両手剣","red","#D23232"
"90009","103","短剣","red","#D23232"
"90009","104","槍","red","#D23232"
"90009","105","斧","red","#D23232"
"90009","106","弓","red","#D23232"
"90009","107","拳","red","#D23232"
"90009","108","盾","red","#D23232"
"90009","109","杖","red","#D23232"
"90009","110","本","red","#D23232"
"90010","201","服","blue","#476FD8"
"90010","202","鎧","blue","#476FD8"
"90010","203","白ローブ","blue","#476FD8"
"90010","204","黒ローブ","blue","#476FD8"
"90011","301","指輪","yellow","#E5681E"
"90011","302","腕輪","yellow","#E5681E"
"90011","303","ネックレス","yellow","#E5681E"
"90011","304","宝珠","yellow","#E5681E"
"90011","305","イヤリング","yellow","#E5681E"
