91ea7f42178435a2fba35f796f6580818b902ad1ebae33d401029707b01ef37d,7ac9d822a91c4676214592f38a6bfae78614e64193ee5f6a85f132eef180d63f,1462e35909cd962f750db227e2d6d7b2ff0ab033c863d0405684a807de91be15,15d28c81f27d86d5a1b4a994c43fccb38b8cf5da8d0c69a4114c0e866d5c171d,fea60fe3cf05eff37bb382e8c3ef3c9b437675f19d746e02abd53718945902a5
"水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","13","10101","1","水属性ボーナスアップ"
"風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","14","10102","1","風属性ボーナスアップ"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","10103","1","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","10104","1","防御力（ダウン不可）アップ"
"水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","13","10201","2","水属性ボーナスアップ"
"風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","14","10202","2","風属性ボーナスアップ"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","10203","2","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","10204","2","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut","10205","2","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","damage_up","10206","2","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","def_up","10207","2","防御力アップ"
"水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","13","10301","3","水属性ボーナスアップ"
"風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","14","10302","3","風属性ボーナスアップ"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","10303","3","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","10304","3","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut","10305","3","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","damage_up","10306","3","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","def_up","10307","3","防御力アップ"
"すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down","10308","3","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut","10309","3","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down","10310","3","ＨＰ回復量ダウン"
"水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","13","10401","4","水属性ボーナスアップ"
"風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性と風属性以外の属性ボーナスを無効化する。","14","10402","4","風属性ボーナスアップ"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","damage_limit","10403","4","ダメージ減衰"
"すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","def_lower_limit","10404","4","防御力（ダウン不可）アップ"
"すべてのモンスターが受けるダメージを一定値カットさせる。","damage_cut","10405","4","全ダメージカット"
"すべてのモンスターの与えるダメージをアップさせる。","damage_up","10406","4","与ダメージアップ"
"すべてのモンスターの物理/魔法防御力をアップさせる。","def_up","10407","4","防御力アップ"
"すべてのキャラの物理/魔法クリティカルをダウンさせる。","critical_down","10408","4","クリティカルダウン"
"すべてのキャラのＨＰ吸収をダウンさせる。","life_steal_down","10409","4","ＨＰ吸収ダウン"
"すべてのモンスターがＴＰダウンカット状態になる。","tp_down_cut","10410","4","ＴＰダウンカット"
"すべてのキャラのＨＰ回復量をダウンさせる。","hp_recovery_down","10411","4","ＨＰ回復量ダウン"
