f314abb11c5c83f99405dc6d08f27d4c5ad52fe46ab4ababa9f7a91c37f9de0b,4b7f9741ea46ef875517f5db16b488433fb15d80f3f44f80ec2813cfbd32724d,7971014d3f7f86dd015f02feb0da4bf14280173b3034d01aff15a8dc6ac785df,9618adfee632a4fe05eecadb485056edbe9747905742368d8911126a5025c5b3,6badbc8bad2d89686d2cac7e9c92c7e2a1e387f51f8dac8a53c3535676ac567c,bd10980f474eed905ed21a65cbe39e6023a1eb75f6da5588022a308eac5fbce1,7568b68e02e84fc895e702d4b62dfcdc186a9114df03bde71a41a6ad5a696c59,2cc241f3adc5995d50a8d75626bb298b4fb32296795f89aa49396cf02e4893c4,a4a56c4de55cdbca083aa9eacacfea20baf5683dd4cd973397a7f7a083894377,fc95cf52fe53ad77bdeb415e3939e8351c9de1673c30c1dd962317a11b8d5c6d,a9ecb738ecc24420b9f510558ec755251b035a45943fd924086a19facfceb897
"1.5","0","111831","1","1","-100","nop_idle_joy1","101","115","-150","101001"
"1.5","1","120731","1","1","100","nop_idle_normal_joy","101","114","-150","101002"
"1.5","0","120831","1","1","-215","nop_idle_arm_crossed","101","111","-127","101003"
"1.5","1","111931","1","1","215","nop_idle_normal","101","110","-127","101004"
"1.5","0","120931","1","1","-330","nop_idle_thinking","101","113","-150","101005"
"1.5","1","112031","1","1","330","nop_idle_normal","101","112","-150","101006"
"1.5","0","108731","1","1","-100","nop_idle_joy1","102","115","-150","102001"
"1.5","1","108831","1","1","100","nop_idle_joy_normal","102","114","-150","102002"
"1.5","0","108931","1","1","-215","nop_idle_normal","102","111","-127","102003"
"1.5","0","102011","1","1","-100","nop_idle_joy1","103","113","-135","103001"
"1.5","0","100411","1","1","-215","nop_idle_normal","103","115","-150","103002"
"1.5","1","103631","1","1","100","nop_idle_wish","103","114","-143","103003"
"1.5","0","101231","1","1","-100","nop_idle_normal","104","115","-150","104001"
"1.5","1","104011","1","1","100","nop_idle_normal","104","114","-150","104002"
"1.5","0","101511","1","1","-215","nop_idle_normal","104","111","-127","104003"
"1.5","0","103111","1","1","-100","nop_idle_normal","105","113","-135","105001"
"1.5","1","102211","1","1","100","nop_idle_sad","105","111","-135","105002"
"1.5","0","100711","1","1","-215","nop_05_miyako_idle_normal","105","115","-150","105003"
"1.5","1","100611","1","1","215","nop_idle_joy1","105","112","-150","105004"
"1.5","1","2051","5","1","-25","nop_skull_idle","105","114","-135","105005"
"1.5","0","104731","1","1","-215","nop_idle_arm_crossed","106","115","-150","106001"
"1.5","1","107131","1","1","215","nop_idle_arm_crossed","106","114","-150","106002"
"1.5","0","103731","1","1","-100","nop_idle_normal","106","111","-135","106003"
"1.5","1","100511","1","1","100","nop_idle_joy1","106","110","-135","106004"
