1c33a13c936df2567953b560460b5ba080b334c69986c4ae96c8e9340a983ff5,287335c264c38df8477999807cc81a44ce296691a33bfdd6a47f1d689652a414,b271c42e74a61953e31118a55586919597ba8ee2c802a4606c7bbe5e07327a2b,83933e3a2a3def7d7f25ab065f25d594e60adf3e68bae846af5bab997928da04,278d2f22c75acde2222979e7a52b5e67c1ae969cd1e684d7bb84184c350e6404,a490632991c7bce54e771eaa8be97f1deab3156e7eee036f94c13e30eb2a7374,4119bb5a8e03ea5ee32d94c90cbfefbab8142211aed995e004e8fbcf4fbb5e8f,529bb86446817586b3373942817325ca712c43ff4ea96a6829cb114f7945328f,fd8be114a982f6857cd7afee6a86ad97f1e6d64960f8fbb3028443adef9ae541,4e394f4216d4f656c677edcebba977fe97cafe5c34610463647687c89e540225,8a290ba5e1904f9b1e3f8463e67b61dcc61c82aea5a6f65fe245d50f8bab2a07,b4bf6c9a4c18ce51d0019ea6880332cb99099b28f6575174816f5c1c713fc3a6,259b136d7299905e88c462dedcf3ffb1af7a1a0ca12124be0482c484935c8c71,89e511bd23998103bf2c8e47fa6c1f9d409a1129acb511180a108ba2185e4f60,0e4164b5b7f75f8cdd93ba11d7feee1aec9b877ef44f560059b13bb2338a08b0
"31001","4003001","10","1","0","400","雲をつらぬく山脈","400","501010001","11002012","45","200010","雲海の山脈","4003002","195"
"31002","4003003","10","1","0","300","深い森の奥に存在する1本の大樹","300","501010002","11005013","30","200020","密林の大樹","4003004","-110"
"31003","4003005","10","1","0","200","断崖絶壁で発見された遺跡","200","501010003","11007014","-190","200030","断崖の遺跡","4003006","-570"
"31004","4003007","10","1","0","100","大海原にそびえる謎の巨塔","100","501010004","11011017","-30","200040","蒼海の孤塔","4003008","750"
"31005","4003009","10","1","0","100","瘴気渦巻く常闇の孤峰","100","501010005","11014014","20","200050","毒瘴の闇稜","4003010","465"
"31006","4003011","10","1","0","100","厳峰に佇む竜の寝床","100","501010006","11026014","90","200060","緑竜の骸嶺","4003012","360"
"31007","4003013","10","1","0","100","天空の番人が静かに眠る聖城","100","501010007","11035014","90","200070","天上の浮城","4003014","130"
"31008","4003017","10","1","0","100","砂の大瀑布が落ちゆく果ての都","100","501010008","11047014","120","200080","砂瀑の底都","4003018","-50"
"31009","4003019","10","1","0","100","紺碧の底に君臨する海王の城砦","100","501010009","11057014","70","200090","紺碧の王砦","4003020","-360"
"31010","4003021","10","1","0","0","四季彩りし霊狐の仙境","100","501010010","11062014","0","0","四彩の霊峰","4003022","0"
"32001","4003015","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","4003016","0"
"32002","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32003","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32004","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32005","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32006","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32007","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32008","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32009","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32010","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
"32011","0","10","1","31006","100","期間限定ダンジョンの踏破に挑戦","100","0","0","0","0","スペシャルダンジョン","0","0"
