c0eb2b93e2ea14c46d62031a13dc008a93690aadf0814736c9a910c038352246,3e5fb5e468b41e84042a65c0a5d1aee20e02c9455efe6c3817358558610848e0,c91412b885f24cf6e0305d3ffa461f88fd940d4a720b5009c69f34c0084b1b8d,58042b74bfdec05eac73492d0ca7402b55df58d8a2b0ec31066029ee5806528c,d701231d49b98254137603af1435c78d08dc12cfafeadcf58f439dfdcc209751,e05cd1636a7342800bd6c60569747939186a19996867b47e0321a53e647b321a,917e5a2c2b7baf39c6e7d85a4801d24c8af95426494957f13484224a5a34bb6f,5370eb0c4a3267f5f25be7b3f3667017ed54636ba8dfaf4525be32c1957b1224,11caca0c0250ba796046e13a4df31fb534c3b2bfb8229da46c8928bb3bf8b14f,5d12d299a4adfd9d84e5b962604c2ef018ee766cd7279de074db8a44a41e8c20,42ed1304b3c2b321a83270802323c3c97efc6ea3f72cf958b7df566449022eea
"1","30001","0","2015/04/01 15:00:00","2018/02/28 14:59:59","0","380000","1","0","0","380000"
"2","30002","0","2018/02/28 15:00:00","2018/03/15 14:59:59","0","380000","1","0","0","380000"
"3","30003","0","2018/03/15 15:00:00","2018/03/31 14:59:59","0","380000","1","0","0","380000"
"4","30004","0","2018/03/31 15:00:00","2018/04/16 14:59:59","0","380000","1","0","0","380000"
"5","30005","0","2018/04/16 15:00:00","2018/04/30 11:59:59","0","380000","1","0","0","380000"
"6","30006","0","2018/04/30 12:00:00","2018/05/15 14:59:59","0","380000","1","0","0","380000"
"7","30007","0","2018/05/15 15:00:00","2018/05/31 11:59:59","0","380000","1","0","0","380000"
"8","30008","0","2018/05/31 12:00:00","2018/06/15 14:59:59","0","380000","1","0","0","380000"
"9","30009","0","2018/06/15 15:00:00","2018/06/30 11:59:59","0","380000","1","0","0","380000"
"10","30010","0","2018/06/30 12:00:00","2018/07/17 14:59:59","0","380000","1","0","0","380000"
"11","30011","0","2018/07/17 15:00:00","2018/07/31 11:59:59","0","380000","1","0","0","380000"
"12","30012","0","2018/07/31 12:00:00","2018/08/21 14:59:59","0","380000","1","0","0","380000"
"13","30014","0","2018/08/31 12:00:00","2018/08/31 12:00:59","0","380000","1","0","0","380000"
"14","40001","0","2018/08/21 15:00:00","2018/08/31 11:59:59","0","380000","1","0","0","380000"
"15","30014","0","2018/08/31 12:01:00","2018/09/18 14:59:59","0","380000","1","0","0","380000"
"16","30015","0","2018/09/18 15:00:00","2018/09/30 11:59:59","0","380000","1","0","0","380000"
"17","30016","0","2018/09/30 12:00:00","2018/10/18 14:59:59","0","380000","1","0","0","380000"
"18","30017","0","2018/10/18 15:00:00","2018/10/31 11:59:59","0","380000","1","0","0","380000"
"19","50018","0","2018/10/31 12:00:00","2018/11/03 18:59:59","380000","0","2","0","380000","380000"
"20","30019","0","2018/11/03 19:00:00","2018/11/19 14:59:59","0","380000","1","0","0","380000"
"21","30020","0","2018/11/19 15:00:00","2018/11/30 11:59:59","0","380000","1","0","0","380000"
"22","30021","0","2018/11/30 12:00:00","2018/12/19 14:59:59","0","380000","1","0","0","380000"
"23","30022","0","2018/12/19 15:00:00","2018/12/31 11:59:59","0","380000","1","0","0","380000"
"24","50023","0","2018/12/31 12:00:00","2019/01/03 18:59:59","380000","0","2","0","380000","380000"
"25","30025","0","2019/01/18 15:00:00","2019/01/31 11:59:59","0","380000","1","0","0","380000"
"26","30026","0","2019/01/31 12:00:00","2019/02/15 22:59:59","0","380000","1","0","0","380000"
