20c96d0f84f6388992d93c562124ff1c2043766961c065f87193854304dd0a8c,ad977ed41a1bf9c6a9d1f3f27094600074b882ee3b494cfdc08740234343c40a,c14ceb96bd7ac1f9206c67e720516d008df8ef7874294f4f553e72f197d67672,a2527767aca2147929011be4db5d5a331097b2c14739f5b66dedd8c0e634420b,7e3b22d3380873427beb6756ae7efd1ce3b5b17ea3e0e4cd10e661b110dcb157,f6203bd2b1e18439690fa193fd9069d4e0b97e3ba6336a617003c2d6f153d352,d4f3fb539e08e34350e860cfa03dec2b1b7ef01e7ba3e785a2b6a36e713b0c8a,890297de18f72ed4ff55f241564e37ace9a755f7b98ba9aab633b68b30a5f9f0,c9df9297645bb2a71e5299a66f6ca3b35e3b2338a482b5614006dd646bfbdb86,8d7039fbd439f4b9129251d6aedd5c0569d6d08a4780eed6249f36da171e185d,710835f153311b94a7ab5a8301f4f17a62fe6562d75bdf7c227d8c6fd7d77851
"","","","23","","","1001","se_travel_finish_assemble","se_travel","0","1010010001"
"0","-275","1.46","1","travel_exdrama_r_100_run","-160","1001","1000001","1","1","1010010002"
"0","-575","1.46","1","travel_exdrama_r_100_run","-200","1001","1000002","1","2","1010010003"
"0","-750","1.46","1","travel_exdrama_r_100_run","-250","1001","1000003","1","3","1010010004"
"1","575","1.46","1","travel_exdrama_r_100_run","-175","1001","1000004","1","4","1010010005"
"1","750","1.46","1","travel_exdrama_r_100_run","-250","1001","1000005","1","5","1010010006"
"","1","","2","","0","1001","-100","1000001","-160","1010010007"
"","1","","2","","0","1001","-275","1000002","-200","1010010008"
"","1","","2","","0","1001","-450","1000003","-250","1010010009"
"","1","","2","","0","1001","275","1000004","-175","1010010010"
"","1","","2","","0","1001","450","1000005","-250","1010010011"
"","0","","93","","0","1001","0","1","0","1010010012"
"0","","0.2","3","","0","1001","travel_exdrama_r_100_raiseup","1000001","0","1010010013"
"0","","0","3","","0","1001","travel_exdrama_r_100_idle","1000002","1","1010010014"
"0","","0","3","","0","1001","travel_exdrama_r_100_idle","1000003","1","1010010015"
"0","","0","3","","0","1001","travel_exdrama_r_100_idle","1000004","1","1010010016"
"0","","0","3","","0","1001","travel_exdrama_r_100_idle","1000005","1","1010010017"
"0","-100","1.46","5","travel_exdrama_r_100_raiseup","-160","1001","1","1","11","1010010018"
"","","","93","","","1001","0","1","","1010010019"
"","","0.12","6","","0","1001","","1000001","","1010010020"
"","","0.12","6","","0","1001","","1000002","","1010010021"
"","","0.12","6","","0","1001","","1000003","","1010010022"
"","","0.12","6","","0","1001","","1000004","","1010010023"
