2e0d4f68db77b0db4c102b5fd3d05168f00f6971569a5fad0d52c9d6b824aa9c,4a5f273936ef450ca94b257413031b7b95cb8a817f7c2e27b825006eaf25c34e,9216a96d83a2fc93549cebbcdb4fd41d4f5dbb383402df353ac18ad27b1f86e2,46defb3f1a845cde2ed7f1ab38b0bc86ce65c570cab5692c5334b4e1ea650ffb
"1","10101","【アタッカー】攻撃力アップLv1","81101"
"2","10101","【アタッカー】攻撃力アップLv2","81102"
"3","10101","【アタッカー】攻撃力アップLv3","81103"
"4","10101","【アタッカー】攻撃力アップLv4","81104"
"5","10101","【アタッカー】攻撃力アップLv5","81105"
"1","10102","【アタッカー】クリティカルアップLv1","81201"
"2","10102","【アタッカー】クリティカルアップLv2","81202"
"3","10102","【アタッカー】クリティカルアップLv3","81203"
"4","10102","【アタッカー】クリティカルアップLv4","81204"
"5","10102","【アタッカー】クリティカルアップLv5","81205"
"1","10103","【アタッカー】与ダメージアップLv1","81301"
"2","10103","【アタッカー】与ダメージアップLv2","81302"
"3","10103","【アタッカー】与ダメージアップLv3","81303"
"4","10103","【アタッカー】与ダメージアップLv4","81304"
"5","10103","【アタッカー】与ダメージアップLv5","81305"
"1","10104","【アタッカー】通常攻撃強化Lv1","81401"
"2","10104","【アタッカー】通常攻撃強化Lv2","81402"
"3","10104","【アタッカー】通常攻撃強化Lv3","81403"
"4","10104","【アタッカー】通常攻撃強化Lv4","81404"
"5","10104","【アタッカー】通常攻撃強化Lv5","81405"
"1","10201","【ブレイカー】攻撃力アップLv1","82101"
"2","10201","【ブレイカー】攻撃力アップLv2","82102"
"3","10201","【ブレイカー】攻撃力アップLv3","82103"
"4","10201","【ブレイカー】攻撃力アップLv4","82104"
"5","10201","【ブレイカー】攻撃力アップLv5","82105"
"1","10202","【ブレイカー】クリティカルアップLv1","82201"
"2","10202","【ブレイカー】クリティカルアップLv2","82202"
"3","10202","【ブレイカー】クリティカルアップLv3","82203"
"4","10202","【ブレイカー】クリティカルアップLv4","82204"
"5","10202","【ブレイカー】クリティカルアップLv5","82205"
"1","10203","【ブレイカー】クリダメアップLv1","82301"
"2","10203","【ブレイカー】クリダメアップLv2","82302"
"3","10203","【ブレイカー】クリダメアップLv3","82303"
"4","10203","【ブレイカー】クリダメアップLv4","82304"
"5","10203","【ブレイカー】クリダメアップLv5","82305"
"1","10204","【ブレイカー】通常攻撃強化Lv1","82401"
"2","10204","【ブレイカー】通常攻撃強化Lv2","82402"
"3","10204","【ブレイカー】通常攻撃強化Lv3","82403"
"4","10204","【ブレイカー】通常攻撃強化Lv4","82404"
"5","10204","【ブレイカー】通常攻撃強化Lv5","82405"
"1","10301","【バッファー】ＨＰアップLv1","83101"
"2","10301","【バッファー】ＨＰアップLv2","83102"
"3","10301","【バッファー】ＨＰアップLv3","83103"
"4","10301","【バッファー】ＨＰアップLv4","83104"
"5","10301","【バッファー】ＨＰアップLv5","83105"
"1","10302","【バッファー】物理防御力アップLv1","83201"
"2","10302","【バッファー】物理防御力アップLv2","83202"
"3","10302","【バッファー】物理防御力アップLv3","83203"
"4","10302","【バッファー】物理防御力アップLv4","83204"
"5","10302","【バッファー】物理防御力アップLv5","83205"
"1","10303","【バッファー】魔法防御力アップLv1","83301"
"2","10303","【バッファー】魔法防御力アップLv2","83302"
"3","10303","【バッファー】魔法防御力アップLv3","83303"
"4","10303","【バッファー】魔法防御力アップLv4","83304"
"5","10303","【バッファー】魔法防御力アップLv5","83305"
"1","10304","【バッファー】バフ強化Lv1","83401"
"2","10304","【バッファー】バフ強化Lv2","83402"
"3","10304","【バッファー】バフ強化Lv3","83403"
"4","10304","【バッファー】バフ強化Lv4","83404"
"5","10304","【バッファー】バフ強化Lv5","83405"
"1","10401","【デバッファー】ＨＰアップLv1","84101"
"2","10401","【デバッファー】ＨＰアップLv2","84102"
"3","10401","【デバッファー】ＨＰアップLv3","84103"
"4","10401","【デバッファー】ＨＰアップLv4","84104"
"5","10401","【デバッファー】ＨＰアップLv5","84105"
"1","10402","【デバッファー】物理防御力アップLv1","84201"
"2","10402","【デバッファー】物理防御力アップLv2","84202"
"3","10402","【デバッファー】物理防御力アップLv3","84203"
"4","10402","【デバッファー】物理防御力アップLv4","84204"
"5","10402","【デバッファー】物理防御力アップLv5","84205"
"1","10403","【デバッファー】魔法防御力アップLv1","84301"
"2","10403","【デバッファー】魔法防御力アップLv2","84302"
"3","10403","【デバッファー】魔法防御力アップLv3","84303"
"4","10403","【デバッファー】魔法防御力アップLv4","84304"
"5","10403","【デバッファー】魔法防御力アップLv5","84305"
"1","10404","【デバッファー】デバフ強化Lv1","84401"
"2","10404","【デバッファー】デバフ強化Lv2","84402"
