1926e707ad5ce95cf8540c8db0cba18bf7a7e99169dd4e387446370d0ab4c7cc,05b923faefb3426a8e08a754a91202bff997625cf1b94881ae973ec276440567,acc016fe51613eb7ac288db975ba24489c38598396adfd6f5254d567a3c9678b,aa3135052a483cf087806e53de9dff02c80d8322884a6da4e1830c92c1780134,4b4bb1a8b019242b136ae41e617dc7a55a16a221ed303649176ff893a63ac817,c689aebd2c493d1d88ccd19ee5a53614cc0e7c9d44d23490fbfe5876da3f5b75,3d88ddfa1bd35098beaae833fb5473f423ca59605486652eff2e46e3128cb2f2,41ca6812b5b93869c516cba3d6be090598e4d417ddd87c5c90f22d7faa4d6a89,0bc506af9d49fa91bd1335d72f45000fdb14ea62caaf9ec05c2e0f69c3595682,6d335080a42b67fa6fdc488652cc1a71a24a2ae116bf6bad09a387d644b25261,bb59d1187211ae77202534385f17881ed089824e3607c41ae0ff2d1a93db0e08,7c4e70e47ce8d219b8e7ba3a60d915d2245dd5fa50c205f717330d010b6c671e,a9b996ec1a44809e990c882493d6f1a8da32a587c01f6df51fd93d3328a7e25a,743c7d580559f7f8f7ccd1382eacc2cb82e884e4a8a9f2ae5a325b2e1497fa6f,be794ec5171042e67687c5a41d39de62cb0890a69b682617b747e5e008db5346,ecc8928c7b882546ff3259b311ea5fbfa23d8d2dd1e2ec5b493add41dfa99d5d,cf084bf8798f47aa283fb972d8144062560a9f239aad45a476a2a6febc1ef287
"4104401","スィオネ\n樹林","108","7200","-470","100000","4104351","4201401","1","11001001","4101351","1","43200","11001001","4101401","11001","10"
"4110401","ヘリケ巨木","90","7200","-235","100000","4110351","4203401","2","11001002","4106351","1","43200","11001002","4106401","11001","10"
"4105401","イオカステ\n岩山","108","7200","0","100000","4105351","4201401","3","11001003","4102351","1","43200","11001003","4102401","11001","10"
"4109401","ハルパリ\n大滝","90","7200","235","100000","4109351","4203401","4","11001004","4108351","1","43200","11001004","4108401","11001","10"
"4107401","ムネメー川","108","7200","470","100000","4107351","4201401","5","11001005","4103351","1","43200","11001005","4103401","11001","10"
"4201401","アルバ浜堤","108","7200","-470","100000","4101401","4301401","6","11002001","4301351","1","43200","11002003","4104401","11002","10"
"4203401","サダルスド\n砂浜","90","7200","-235","100000","4106401","4305401","7","11002002","4305351","1","43200","11002002","4110401","11002","10"
"4201401","ダルリク\n巨岩","108","7200","0","100000","4102401","4302401","8","11002003","4302351","1","43200","11002001","4105401","11002","10"
"4203401","アンカル川","90","7200","235","100000","4108401","4304401","9","11002004","4304351","1","43200","11001005","4109401","11002","10"
"4201401","ダクビア\n森林","108","7200","470","100000","4103401","4303401","10","11002005","4303351","1","43200","11001001","4107401","11002","10"
"4104401","ミーマス\n洞穴","108","7200","-470","100000","4201401","4109401","11","11003001","4201351","1","43200","11003001","4101401","11003","10"
"4102401","レアント川","90","7200","-155","100000","4202401","4110401","11","11003002","4202351","1","43200","11003002","4108401","11003","10"
"4105401","ケランド\n廃墟","108","7200","160","100000","4203401","4109401","11","11003003","4203351","1","43200","11003003","4103401","11003","10"
"4107401","デオネカ\n氷海","90","7200","470","100000","4204401","4110401","11","11003004","4204351","1","43200","11003004","4106401","11003","10"
