dd3fca2c4a36aa88deb129035336d13ad030fa21474e84f25337c4cabc28a600,0b75d0b0ebf92baed7eaf5367f885f2d8dff1ac38ce19e0ae89559ec6f067f43,4964311ee273790d8ea893ceb1181af669d5a7457e42c947cde68a3532d845c3,a1d3cdf6ebff46a267eb9a99ff8589ab41e51e7d509af399b04d689e484ebf44,dca09c4a7f24e722a851a359e57cca9f62636846542c20f1b900620e2d4ae7ff,d29e1c0f0f652491d6d8154b1beced2f8f8388d3af7f480a6e369f87cb372b89,c304a0886bcbac3c8a83a1ac2abaca02b57cc45467959a64dacc2c621bc465ac,946eb03ff451309ab9b9c518dedf43e5e6b8a23c6e35a69a3999ed886ec9b548,aa4dbd8212f696e286c33bc610e6e13de70254787d38538ee79f045611f70cec,342796af282620193992d26cc2e262b883da33d459494522fc13ff129d7a95d3,91402ffe968ace2c6b0daae100c41d80dcf51c6578b65fa178932da9bd58ac0b
"31","10","1","25021","2","8","91002","25015","2","285001001","8"
"31","10","2","25021","2","8","91002","25015","2","285001002","8"
"32","10","3","25021","2","8","91002","25015","2","285001003","8"
"32","10","4","25021","2","8","91002","25015","2","285001004","8"
"33","10","5","25021","2","8","91002","25015","2","285001005","8"
"33","10","6","25021","2","9","91002","25015","2","285001006","8"
"34","10","7","25021","2","9","91002","25015","2","285001007","8"
"35","10","8","25021","2","9","91002","25015","2","285001008","8"
"35","10","9","25021","2","9","91002","25015","2","285001009","8"
"37","30","10","25021","2","10","91002","25015","2","285001010","8"
"41","10","11","25021","2","10","91002","25015","2","285001011","8"
"43","10","12","25021","2","11","91002","25015","2","285001012","8"
"46","10","13","25021","2","11","91002","25015","2","285001013","8"
"48","10","14","25021","2","12","91002","25015","2","285001014","8"
"50","10","15","25021","2","12","91002","25015","2","285001015","8"
"53","10","16","25021","2","13","91002","25015","2","285001016","8"
"55","10","17","25021","2","14","91002","25015","2","285001017","8"
"58","10","18","25021","2","14","91002","25015","2","285001018","8"
"60","10","19","25021","2","15","91002","25015","2","285001019","8"
"62","30","20","25021","2","15","91002","25015","2","285001020","8"
"68","10","21","25021","2","16","91002","25015","2","285001021","8"
"70","10","22","25021","2","16","91002","25015","2","285001022","8"
"72","10","23","25021","2","16","91002","25015","2","285001023","8"
"75","10","24","25021","2","17","91002","25015","2","285001024","8"
"77","10","25","25021","2","18","91002","25015","2","285001025","8"
"79","10","26","25021","2","18","91002","25015","2","285001026","8"
"82","10","27","25021","2","19","91002","25015","2","285001027","8"
"84","10","28","25021","2","19","91002","25015","2","285001028","8"
"86","10","29","25021","2","19","91002","25015","2","285001029","8"
"89","30","30","25021","2","20","91002","25015","2","285001030","8"
"94","10","31","25021","2","20","91002","25015","2","285001031","8"
"96","10","32","25021","2","21","91002","25015","2","285001032","8"
"99","10","33","25021","2","21","91002","25015","2","285001033","8"
"101","10","34","25021","2","22","91002","25015","2","285001034","8"
"103","10","35","25021","2","22","91002","25015","2","285001035","8"
"106","10","36","25021","2","23","91002","25015","2","285001036","8"
"108","10","37","25021","2","23","91002","25015","2","285001037","8"
"111","10","38","25021","2","24","91002","25015","2","285001038","8"
"113","10","39","25021","2","25","91002","25015","2","285001039","8"
"115","30","40","25021","2","25","91002","25015","2","285001040","8"
"121","10","41","25021","2","26","91002","25015","2","285001041","8"
