a7219060e99782c767a25eed1f4266acb916ca340f6cef6c46834680210cfc77,085444a3f214d6015b17490c188c35b02e40b1af50ab2654c339fd8f844353ea,57ee3e932da6370d012c91a58f85832e5623dcf5b203ae53499ed120a5e5645b,891c2b2565d742a1d6284db7059299e47f3603607ebc48e83b5c2a8c14563ee5,5529511bdc4750d7cd0758dbf52ca910a336b99a7d08a11420e86c9541fb96b6,e86ff7083621d01a60100638e3adc6371e52a3b1549da63d2d097ac47cb69c56,5449fda04612b77f9233a1e469a00f394a7d41a88c8f97dcc263250972f1e4bd,c16a3b093eb7fe0defdbfae90d765145e487575adc72268fd00a08c3022d6c4f,5ca90333b63d5df11a3750c335aa129520f645ae7c59048a6c4abbf822d46250,bf2988c0a06d7e9c7831aa112cb73ceb78c555223c385a81d2319ac3930bd8da
"10000","10","0","30000","90001","90043","1","12000","0","1"
"10000","20","0","30000","90002","90047","2","24000","0","2"
"10000","20","0","30000","90002","90047","3","24000","0","3"
"10000","20","0","30000","90002","90047","4","24000","0","4"
"10000","20","0","30000","90002","90047","5","24000","0","5"
"10000","20","0","30000","90002","90047","6","24000","0","6"
"10000","20","0","30000","90002","90047","7","24000","0","7"
"10000","20","0","30000","90002","90047","8","24000","0","8"
"10000","20","0","30000","90002","90047","9","24000","0","9"
"10000","20","0","30000","90002","90047","10","24000","1","10"
"10000","40","90011","30000","90003","90051","11","48000","2","11"
"10000","40","90011","30000","90003","90051","12","48000","3","12"
"10000","40","90011","30000","90003","90051","13","48000","4","13"
"10000","40","90011","30000","90003","90051","14","48000","5","14"
"10000","40","90011","30000","90003","90051","15","48000","6","15"
"10000","40","90011","30000","90003","90051","16","48000","7","16"
"10000","40","90011","30000","90003","90051","17","48000","8","17"
"10000","40","90011","30000","90003","90051","18","48000","9","18"
"10000","40","90011","30000","90003","90051","19","48000","10","19"
"10000","40","90011","30000","90003","90051","20","48000","11","20"
"10000","60","90015","30000","90004","90055","21","72000","12","21"
"10000","60","90015","30000","90004","90055","22","72000","13","22"
"10000","60","90015","30000","90004","90055","23","72000","14","23"
"10000","60","90015","30000","90004","90055","24","72000","15","24"
"10000","60","90015","30000","90004","90055","25","72000","16","25"
"10000","60","90015","30000","90004","90055","26","72000","17","26"
"10000","60","90015","30000","90004","90055","27","72000","18","27"
"10000","60","90015","30000","90004","90055","28","72000","19","28"
"10000","60","90015","30000","90004","90055","29","72000","20","29"
"10000","60","90015","30000","90004","90055","30","72000","21","30"
"10000","80","90015","30000","90005","90059","31","96000","22","31"
"10000","80","90015","30000","90005","90059","32","96000","23","32"
"10000","80","90015","30000","90005","90059","33","96000","24","33"
"10000","80","90015","30000","90005","90059","34","96000","25","34"
"10000","80","90015","30000","90005","90059","35","96000","26","35"
"10000","80","90015","30000","90005","90059","36","96000","27","36"
"10000","80","90015","30000","90005","90059","37","96000","28","37"
"10000","80","90015","30000","90005","90059","38","96000","29","38"
"10000","80","90015","30000","90005","90059","39","96000","30","39"
"10000","80","90015","30000","90005","90059","40","96000","31","40"
"10000","120","90017","30000","90005","90063","41","144000","33","41"
"10000","120","90017","30000","90005","90063","42","144000","35","42"
"10000","120","90017","30000","90005","90063","43","144000","37","43"
"10000","120","90017","30000","90005","90063","44","144000","39","44"
"10000","120","90017","30000","90005","90063","45","144000","41","45"
"10000","120","90017","30000","90005","90063","46","144000","43","46"
"10000","120","90017","30000","90005","90063","47","144000","45","47"
"10000","120","90017","30000","90005","90063","48","144000","47","48"
"10000","120","90017","30000","90005","90063","49","144000","49","49"
"10000","120","90017","30000","90005","90063","50","144000","51","50"
"10000","150","90019","30000","90006","90067","51","180000","53","51"
"10000","150","90019","30000","90006","90067","52","180000","55","52"
"10000","150","90019","30000","90006","90067","53","180000","57","53"
"10000","150","90019","30000","90006","90067","54","180000","59","54"
"10000","150","90019","30000","90006","90067","55","180000","61","55"
"10000","150","90019","30000","90006","90067","56","180000","63","56"
"10000","150","90019","30000","90006","90067","57","180000","65","57"
"10000","150","90019","30000","90006","90067","58","180000","67","58"
"10000","150","90019","30000","90006","90067","59","180000","69","59"
"10000","150","90019","30000","90006","90067","60","180000","71","60"
"10000","180","90021","30000","90007","90071","61","216000","74","61"
"10000","180","90021","30000","90007","90071","62","216000","77","62"
"10000","180","90021","30000","90007","90071","63","216000","80","63"
"10000","180","90021","30000","90007","90071","64","216000","83","64"
"10000","180","90021","30000","90007","90071","65","216000","86","65"
"10000","180","90021","30000","90007","90071","66","216000","89","66"
"10000","180","90021","30000","90007","90071","67","216000","92","67"
"10000","180","90021","30000","90007","90071","68","216000","95","68"
"10000","180","90021","30000","90007","90071","69","216000","98","69"
"10000","180","90021","30000","90007","90071","70","216000","101","70"
