b08abe7fd302beceacd7b39c604190b0da66e1f2f4dba76426081c08cacf4919,16decc116fcc0026d08d59991c7a79487c2086847d54eef1477b948a629d603c,473ea14feeaf53aa8fb4ac138aa08c21577d67dd24a5b96b0c4ca7c71a053560,c9ab046d47fa0a93dee1f545975af0d21101fc7c8f5475d2e4d9715996819b6c,5b144e7be4a06f4f2148b42235b1a153c1918a2d1e74f5e288d676dc457bb84c,0e0b419c44def541928d897d58f6cfc09d3be729d889ace592a747253b2c9969,e8d5ba9fca6e295d52ab65b3dd9b6c68d948e1bbcf84fcd85143eaeba12c39f3,20d89749dfab9ebfd34a4bd69059ecae45bc46269482d76672a840a79e5365c7
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","53001","200","1","100","1","平凡な\n未鑑定トレジャー","平凡な未鑑定トレジャー"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","53002","400","1","200","2","貴重な\n未鑑定トレジャー","貴重な未鑑定トレジャー"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","53003","800","1","400","3","至高の\n未鑑定トレジャー","至高の未鑑定トレジャー"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53004","200","0","100","1","平凡なジェムストーン","平凡なジェムストーン"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53005","400","0","200","2","貴重なジェムストーン","貴重なジェムストーン"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53006","800","0","400","3","至高のジェムストーン","至高のジェムストーン"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53007","200","0","100","1","平凡なインゴット","平凡なインゴット"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53008","400","0","200","2","貴重なインゴット","貴重なインゴット"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53009","800","0","400","3","至高のインゴット","至高のインゴット"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53010","200","0","100","1","平凡なスクロール","平凡なスクロール"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53011","400","0","200","2","貴重なスクロール","貴重なスクロール"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53012","800","0","400","3","至高のスクロール","至高のスクロール"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53013","200","0","100","1","平凡なティアラ","平凡なティアラ"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53014","400","0","200","2","貴重なティアラ","貴重なティアラ"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53015","800","0","400","3","至高のティアラ","至高のティアラ"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53016","200","0","100","1","平凡なルーン","平凡なルーン"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53017","400","0","200","2","貴重なルーン","貴重なルーン"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53018","800","0","400","3","至高のルーン","至高のルーン"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53019","200","0","100","1","平凡なクラウン","平凡なクラウン"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53020","400","0","200","2","貴重なクラウン","貴重なクラウン"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53021","800","0","400","3","至高のクラウン","至高のクラウン"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53022","200","0","100","1","平凡なアーティファクト","平凡なアーティファクト"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53023","400","0","200","2","貴重なアーティファクト","貴重なアーティファクト"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53024","800","0","400","3","至高のアーティファクト","至高のアーティファクト"
