76ac45347a3173e5bde32d74e4587079752a8720bfa1afccbc6da328d84cfce0,5601b507415627af5ddb4a70d27bc9a814ad064f874d77e1e6a2424f501a34b2,b851d786d1e21422b6f33b7bd586a337269f3ca22e6dfba36bc1baf6d5d55b4b,6cfd02f520a00fd090f82cb5a512dbf570733412c643d9940fc47f9e882f48d8,8099040b38c638b5dbcdff8dfe311c7afa0047ed169ab6d74e9650c83df98d27
"1","2","10201","3","1"
"2","2","10202","3","2"
"3","2","10203","3","3"
"4","2","10301","10","4"
"5","2","10302","10","5"
"6","2","10303","10","6"
"7","2","10304","10","7"
"8","2","10401","20","8"
"9","2","10402","20","9"
"10","2","10403","20","10"
"11","2","10404","20","11"
"12","2","10405","20","12"
"13","2","10406","20","13"
"14","2","10407","20","14"
"15","2","10408","20","15"
"16","2","10409","20","16"
"1","1","10701","3","17"
"2","1","10601","3","18"
"3","1","10602","3","19"
"4","1","10603","3","20"
"5","1","10604","3","21"
"6","1","11301","10","22"
"7","1","11302","10","23"
"8","1","11303","10","24"
"9","1","11401","20","25"
"10","1","11402","20","26"
"11","1","11403","20","27"
"12","1","11601","20","28"
"13","1","11602","20","29"
"14","1","11603","20","30"
"15","1","11604","20","31"
"16","1","11605","20","32"
"17","1","11606","20","33"
"18","1","11101","20","34"
"19","1","11102","20","35"
"20","1","11103","20","36"
"21","1","11701","20","37"
"22","1","11702","20","38"
"23","1","11703","20","39"
"1","3","10501","3","40"
"2","3","10502","3","41"
"3","3","10503","3","42"
"4","3","11201","10","43"
"5","3","10801","10","44"
"6","3","10802","10","45"
"7","3","10803","10","46"
"8","3","10804","10","47"
"9","3","10901","20","48"
"10","3","10902","20","49"
"11","3","10903","20","50"
"12","3","10904","20","51"
"13","3","11001","20","52"
"14","3","11002","20","53"
"15","3","11003","20","54"
"16","3","11501","20","55"
"17","3","11502","20","56"
"18","3","11503","20","57"
"19","3","11504","20","58"
"20","3","11505","20","59"
"21","3","11506","20","60"
