56f5e004799f7c7fe82f66d8998560c578b276872ce5dbc62492c46eef43397f,40acca7ca963e52b055329bd443c0968d8654239b1806c078563a8208bf37887,69551c3282878b7894add0fefc1a8d53a5eb6727a73ec48a325fabe1138377d6,08efd6c0b630073264fbc96411513a36ee25e8751665c9daf23f62e9e535f1e2,a8d3b0cfcec59c87c96ca2313f6e49a9030788f034aa35c6e93f15b51a588668,d906b32cdc38a1c217a3d18270d86c426b52790a694be8c75c3d78934c4d429a,79167dcdfc4c7314f54a0d8c68e312466455ef7902255a21d12fa89c42bd84ac,9e8951a52102d38fd069eee8aa7911fc8a50bb27f612686107b13c99ba826e21
"5","200","4","1","2","104","3","111"
"5","2","4","1","2","14","3","211"
"5","2","4","1","2","103","3","311"
"5","2","4","1","2","102","3","411"
"5","200","4","1","2","104","3","511"
"5","250","4","1","2","1","3","611"
"5","3","4","1","2","101","3","711"
"5","3","4","1","2","100","3","811"
"5","200","4","1","2","104","3","911"
"5","250","4","1","2","1","3","1011"
"5","250","4","1","2","3","3","1111"
"5","250","4","1","2","5","3","1112"
"5","150","4","1","2","6","3","1211"
"5","150","4","1","2","7","3","1212"
"5","200","4","1","2","104","3","1311"
"5","2","4","1","2","103","3","1411"
"5","2","4","1","2","102","3","1511"
"5","250","4","1","2","1","3","1611"
"5","200","4","1","2","104","3","1711"
"5","500","4","1","2","2","3","1811"
"5","500","4","1","2","4","3","1812"
"5","3","4","1","2","101","3","1911"
"5","3","4","1","2","100","3","2011"
"5","200","4","1","2","104","3","2111"
"5","250","4","1","2","1","3","2211"
"5","3","4","1","2","100","3","2311"
"5","3","4","1","2","101","3","2411"
"5","200","4","1","2","104","3","2511"
"5","500","4","1","2","2","3","2611"
"5","500","4","1","2","4","3","2612"
"5","150","4","1","2","6","3","2711"
"5","150","4","1","2","7","3","2712"
"5","500","4","1","2","2","3","2811"
"5","500","4","1","2","4","3","2812"
"5","200","4","1","2","104","3","2911"
"5","250","4","1","2","3","3","3011"
"5","250","4","1","2","5","3","3012"
"5","3","4","1","2","100","3","3111"
"5","3","4","1","2","101","3","3211"
"5","200","4","1","2","104","3","3311"
"5","2","4","1","2","100","3","3411"
"5","200","4","1","2","104","3","3511"
"5","1","4","1","2","103","3","3611"
"5","1","4","1","2","102","3","3711"
"5","250","4","1","2","2","3","3811"
"5","250","4","1","2","4","3","3812"
"5","1","4","1","2","102","3","3911"
"5","200","4","1","2","104","3","4011"
"5","2","4","1","2","100","3","4111"
"5","150","4","1","2","6","3","4211"
"5","150","4","1","2","7","3","4212"
"5","200","4","1","2","104","3","4311"
"5","1","4","1","2","103","3","4411"
"5","200","4","1","2","104","3","4511"
"5","2","4","1","2","101","3","4611"
"5","1","4","1","2","102","3","4711"
"5","200","4","1","2","104","3","4811"
"5","1","4","1","2","103","3","4911"
"5","200","4","1","2","104","3","5011"
"5","2","4","1","2","101","3","5111"
"5","1","4","1","2","102","3","5211"
"5","200","4","1","2","104","3","5311"
"5","150","4","1","2","6","3","5411"
"5","150","4","1","2","7","3","5412"
"5","1","4","1","2","103","3","5511"
"5","200","4","1","2","104","3","5611"
"5","2","4","1","2","100","3","5711"
"5","2","4","1","2","101","3","5811"
"5","1","4","1","2","103","3","5911"
"5","200","4","1","2","104","3","6011"
"5","1","4","1","2","102","3","6111"
"5","250","4","1","2","2","3","6211"
"5","250","4","1","2","4","3","6212"
"5","200","4","1","2","104","3","6311"
"5","1","4","1","2","103","3","6411"
"5","1","4","1","2","102","3","6511"
"5","200","4","1","2","104","3","6611"
