38ef772edb82b4e0c127578b55da29b8726a8d6bbd79272819f8a81d572f45c4,f6073d78dbf2a68437b07d379cb679eb2883d301832f0f5b36a6d529e79e35c3,82e25bd9fb792680c15ff50ac5cf10ff5ac7866a98b6bb9c41985b9f222c9d50,78a379ebb4f0f850266f7ec7682a8717f1742c8b4ebcc8838bdfa2f6a89753f3,fc4e5578312ab4fb90c3a389b7de0e9e307908395b1401235f1f84643d9444d1
"#D23232","90009","red","101","片手剣"
"#D23232","90009","red","102","両手剣"
"#D23232","90009","red","103","短剣"
"#D23232","90009","red","104","槍"
"#D23232","90009","red","105","斧"
"#D23232","90009","red","106","弓"
"#D23232","90009","red","107","拳"
"#D23232","90009","red","108","盾"
"#D23232","90009","red","109","杖"
"#D23232","90009","red","110","本"
"#476FD8","90010","blue","201","服"
"#476FD8","90010","blue","202","鎧"
"#476FD8","90010","blue","203","白ローブ"
"#476FD8","90010","blue","204","黒ローブ"
"#E5681E","90011","yellow","301","指輪"
"#E5681E","90011","yellow","302","腕輪"
"#E5681E","90011","yellow","303","ネックレス"
"#E5681E","90011","yellow","304","宝珠"
"#E5681E","90011","yellow","305","イヤリング"
