997844698a2540ce88ba15d26a8f35c574b2d2bcab347baba402716062d71522,0e92cc3e1021fdf28679dde1e186af191f681c9e46aa3f8083282a068e7728d2,5a0eda568dab841ac12f8d39aa2c516a1c199aa9661d09c3ea2837012de094e9,16896ef5ff3995424109f98c0023a2def42a8d330d44401857294798782cc72e,d71252bb0747ba792eac08c0479736db3777616791bfdb7e10fc6c8a2373f8fe,0f95d12bad43f6b89270e7577e6dc8fc5eba9f247afc22839618f340820d01cc,49cffa5a827438be29eca54313f5629d2a15bc305f4490d4710991df1a555202,fc5afa6e9b8664671f5807da027fa7a0e704089c1da6e529409f408282a988bd,3674ec2384c2206b7a6f4fd0059bc2c6061c12c00923abe12469248dd7d9a854,3269c53b608f894526f1139b8059ceedcb20ee0dc5290bcd8e24f27e152bee6e,a0c35e43f571f19b7bb38a147eddd4e2db1146a81a65b8797d9f08a9722bbb8b,c61d5da6eade4630cd4822acdbe642cbbdcd82dd70d0be1a3d333aaa8c444a55,b7053427b81db3083ef9105f9137e3b74dbb96b0d36b7bb3ff0a78d899ccb4c3,85e1b17a752d5f60ff0985e79c6904add41f838018761a1ce0f1aec1f3063a22,02a4fa6451b33afb36d82219466e34f4c2f27bde7ecf547b937ff32fea39c059
"40","7","フリーマーケット会場","8","2834","2","フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。","1","20063115","91002","ペコリーヌとの出会い","青空の下で謁見","10118","0","5118061"
"40","7","フリーマーケット会場","8","2835","2","ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。","1","20063115","91002","マホとの出会い","未来の騎空団\nマスコット？","10118","0","5118062"
"40","7","ランドソル市街地","8","2837","2","ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。","1","20063115","91002","アキノとの出会い","お嬢さまからの\n緊急依頼","10118","0","5118063"
"40","18","フリーマーケット会場","8","4108402","2","ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。","1","20063115","91002","ジュンとの出会い","黄金色の悩みごと","10118","0","5118064"
"40","18","フリーマーケット会場","8","4107402","2","フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？","1","20063115","91002","カオリとの出会い","白熱！　格闘大会！","10118","0","5118065"
"40","16","オーエド町","8","9000227","2","太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。","1","20063115","91002","ニノンとの出会い","祭り太鼓はオーエドの華","10118","1","5118066"
"40","19","フリーマーケット会場","8","2101181","3","ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？","1","20063115","91002","スズナとの出会い","人気者は遅れて\nやってくる","10118","0","5118067"
"40","18","ランドソル市街地","8","4109402","3","ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？","1","20063115","91002","ナナカとの出会い","巫女・ミーツ・魔法少女","10118","0","5118068"
"40","18","フリーマーケット会場","8","4305402","3","ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……","1","20063115","91002","キャル＆コッコロとの出会い","ネズ耳は二度なくなる","10118","0","5118069"
"40","18","ランドソル市街地","8","4101402","3","街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。","1","20063115","91002","ユカリとの出会い","この出会いにカンパイ！","10118","0","5118070"
"40","18","ランドソル市街地","8","4106402","3","ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……","1","20063115","91002","アオイとの出会い","陰陽アンサンブル","10118","0","5118071"
"40","7","フリーマーケット会場","8","2836","3","ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。","1","20063115","91002","シノブとの出会い","運試し十番勝負！","10118","1","5118072"
"0","0","0","0","0","1","0","0","20063115","0","オープニング","彼女たちの新たな日常","10118","0","5118600"
