8fa0f062560614f1c5a6d7373d4e194b9f6e20a20f2c542686e7525014618d3a,113d14b375bfc86c1043a4acd7be9d52c9ce67f21e9f387d54ef693c2587f595,897f8157f75e0155cffb8800d455a7e5b80b2c578d195a40ed1d69074725f8b7,18c02a4ad98c0c3f6f5ae6fe4ef28c5c5eece2eccfd574d0b6e1a493fbf00a8c
"101","1","1","1"
"102","2","1","1"
"103","3","1","1"
"104","4","1","1"
"105","5","1","3"
"106","6","1","3"
"107","7","1","3"
"108","8","1","3"
"109","9","1","3"
"110","10","1","4"
"111","11","1","4"
"112","12","1","4"
"113","13","1","4"
"114","14","1","4"
"115","15","1","4"
"116","16","1","4"
"117","17","1","4"
"118","18","1","4"
"119","19","1","4"
"120","20","1","6"
"121","21","1","6"
"122","22","1","6"
"123","23","1","6"
"124","24","1","6"
"125","25","1","6"
"126","26","1","6"
"127","27","1","6"
"128","28","1","6"
"129","29","1","6"
"130","30","1","7"
"131","31","1","7"
"132","32","1","7"
"133","33","1","7"
"134","34","1","7"
"135","35","1","7"
"136","36","1","7"
"137","37","1","7"
"138","38","1","7"
"139","39","1","7"
"140","40","1","8"
"141","41","1","8"
"142","42","1","8"
"143","43","1","8"
"144","44","1","8"
"145","45","1","8"
"146","46","1","8"
"147","47","1","8"
"148","48","1","8"
"149","49","1","8"
"150","50","1","8"
"201","0","2","1"
"202","0","2","2"
"203","0","2","3"
"204","0","2","4"
"301","0","3","1"
"302","0","3","2"
"303","0","3","3"
"304","0","3","4"
"401","1","4","0"
"402","2","4","0"
"403","3","4","0"
"404","4","4","0"
"405","5","4","0"
"406","6","4","0"
"407","7","4","0"
"408","8","4","0"
"409","9","4","0"
"410","10","4","0"
"411","11","4","0"
"412","12","4","0"
"413","13","4","0"
"414","14","4","0"
"415","15","4","0"
"416","16","4","0"
"417","17","4","0"
"418","18","4","0"
"419","19","4","0"
"420","20","4","0"
"421","21","4","0"
"422","22","4","0"
"423","23","4","0"
"424","24","4","0"
"425","25","4","0"
"426","26","4","0"
"427","27","4","0"
"428","28","4","0"
"429","29","4","0"
"430","30","4","0"
"431","31","4","0"
"432","32","4","0"
"433","33","4","0"
"434","34","4","0"
"435","35","4","0"
"436","36","4","0"
"437","37","4","0"
"438","38","4","0"
"439","39","4","0"
"440","40","4","0"
"441","41","4","0"
"442","42","4","0"
"443","43","4","0"
"444","44","4","0"
"445","45","4","0"
"446","46","4","0"
"447","47","4","0"
"448","48","4","0"
"449","49","4","0"
"450","50","4","0"
