f237bd64b7861b6aeb86648c2f7b33c0b0afb9c7cb5abd189abb0ee564f1a917,64e7a9b68f0c14e26b4bd8f4d005653f513605fdf39140ae6f2636a65924af86,fc02c650c8b47cc83b99fec92bf0746c2d50223d8c563fd1a8bfeb35698b74be,5eaa71cf005e06d7f4fa023193c6bec2d8491ebdb685947d49ea3cd640bd2ed7,9e8d5e3016713e796d5b6fe0eda5a0f630ea0955ce64d98fbf6983fb45a059ab,b98a9926a08beb898022a12ac2e30b975fa5636ab94dd1482a0020014d267db9,5b2bf642afe3a99edcea4158c8d3331cc54a8c4b78528ae7e9ac3b2b71cbc202,2a8a55e718dc4a0207caacc6dd81d0d496e3414481912d7056cb42c521a037aa,b1b41276e3d1d08c09b60bf4498d6ea5dc89aa76fa8e12ceb3ead59824130a53,bb932f08ca3c2b82ab7ee952adf3a92e60e049d58382628d2ea45d340492b392,154c8517d93727feb023be4a61b9d2104fe21d6933412a2255820b0e6be88558
"0","-140","1","1500","1","omp_talk_worry","1.8","1","112511","-190","1010001"
"1","140","1","1500","1","omp_idle_normal","1.8","1","112411","-190","1010002"
"","0","1","0","31","","1","1","1","1","1010003"
"","","1","","93","","","1","","","1010004"
"","0","1","0","21","","","vo_omp_7001","vo_omp_7001_000","","1010005"
"","1","1","10","11","","","112511","ウヅキ、大丈夫？\n夜営続きで疲れてない？","1","1010006"
"","","1","","91","","","0","","","1010007"
"","","1","1","3","","0","112511","omp_idle_worry","","1010008"
"","","1","1","3","","0","112411","omp_talk_joy1","","1010009"
"","0","1","0","21","","","vo_omp_7001","vo_omp_7001_001","","1010010"
"","1","1","10","11","","","112411","はい、大丈夫です！\nみんなと一緒に旅をするの\nとっても楽しいですし","1","1010011"
"","","1","","91","","","0","","","1010012"
"","","1","1","3","","0","112411","omp_psn_20","","1010013"
"","","1","1","3","","0","112511","omp_talk_normal","","1010014"
"","0","1","0","21","","","vo_omp_7001","vo_omp_7001_002","","1010015"
"","1","1","10","11","","","112511","そっか\nウヅキはどんなときも楽しそうだよね","1","1010016"
"","","1","","91","","","0","","","1010017"
"","","1","1","3","","0","112511","omp_idle_normal","","1010018"
"","","1","1","3","","0","112411","omp_talk_sad","","1010019"
"","0","1","0","21","","","vo_omp_7001","vo_omp_7001_003","","1010020"
"","1","1","10","11","","","112411","もしかして…\nリンちゃんは楽しくないですか？","1","1010021"
"","","1","","91","","","0","","","1010022"
"","","1","1","3","","0","112411","omp_idle_sad","","1010023"
"0.1","omp_idle_surprise1","1","0","3","","0","112511","omp_surprise","1","1010024"
"","0","1","0","21","","","vo_omp_7001","vo_omp_7001_004","","1010025"
"","1","1","10","11","","","112511","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","1","1010026"
"","","1","","93","","","2.5","1","","1010027"
"","","1","1","3","","0.2","112511","omp_talk_normal","","1010028"
"","","1","","91","","","1010026","","","1010029"
"","","1","1","3","","0","112511","omp_idle_normal","","1010030"
"","","1","1","3","","0","112411","omp_talk_joy2","","1010031"
"","0","1","0","21","","","vo_omp_7001","vo_omp_7001_005","","1010032"
"","1","1","10","11","","","112411","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","1","1010033"
"","","1","","91","","","0","","","1010034"
"","","1","1","4","","","112511","0","","1010035"
"","","1","1","3","","0","112411","omp_psn_20","","1010036"
"","","1","1","3","","0","112511","omp_idle_normal","","1010037"
"","0","1","0","21","","","vo_omp_7001","vo_omp_7001_006","","1010038"
