9d62172377b316d95f6e94b445b6712b789d4c5bef230d21be3cc59268c2efa7,f372b8545cc8224c885c6646c890a773feeaa4e1cedf374e0b5402b18dae5318,f3d608b72a595c091aaed6c534d56b39d6425f78ba8cc8ee0813a073298e3110,024daeac62f66c02a6f3f329fb18044e5ac93d35006b01df82c76915144323f3,2bba1388355832f8894357cc225b6c39de9c0a81c46368a7637bf243c470189a,f6a4f5f9e6cee7033d37d8bd03b503d66ae66cdc38d64da10ea1b1fa7ec7823f,1c004dcfae142b778bd4dc1dbd16f559d2a4fdbc85a11793dc57c5a7a5a97e2c,652990a47d46dcbd5f69a5a59cbff9c002cef8b429499467507ed20ad0a9a7b8,aebbeb58aed2a3103c9ff7f90561b6fea469e0eba634591c96b525cdf2efebe7,77d8d79822eecee772880399e5f27f4ec726c5162a9211a482c34d925ae07444,7545de159cb66b4ee70c000311395b2f3f65f460e3cc1efb8f19df348d4c6390
"1","1.7","100","0","0","1002011","1","0","1002011001","mhp_sit_idle","100211"
"100211","0.2","1","","","1002011","3","","1002011002","","mhp_sit_talk_memory"
"vo_mhp","","0","","","1002011","21","0","1002011003","","vo_mhp_0401"
"100211","0","6","0","0","1002011","11","0","1002011004","0","ミツキさんと会うの\n久しぶりだな\nちょっと楽しみ♪"
"0","","","","","1002011","91","","1002011005","",""
"100211","0.2","1","","","1002011","3","","1002011006","","mhp_sit_idle_memory"
"1","1.7","100","0","0","1002012","1","0","1002012001","mhp_sit_idle","100211"
"100211","0.2","1","","","1002012","3","","1002012002","","mhp_sit_talk_sad"
"vo_mhp","","0","","","1002012","21","0","1002012003","","vo_mhp_0402"
"100211","0","5","0","0","1002012","11","0","1002012004","0","はぁ…なにか悪い\n病気だったら\nどうしよう…"
"0","","","","","1002012","91","","1002012005","",""
"100211","0.2","1","","","1002012","3","","1002012006","","mhp_sit_idle_sad"
"1","1.7","100","0","0","1002013","1","0","1002013001","mhp_sit_idle","100211"
"100211","0.2","1","","","1002013","3","","1002013002","","mhp_yui_sit_talk_wish"
"vo_mhp","","0","","","1002013","21","0","1002013003","","vo_mhp_0403"
"100211","0","4","0","0","1002013","11","0","1002013004","0","ついに診察結果が…\nド、ドキドキ\nしてきちゃった…！"
"0","","","","","1002013","91","","1002013005","",""
"100211","0.2","1","","","1002013","3","","1002013006","","mhp_sit_idle_sad"
"1","1.7","100","0","-240","1007401","1","-1000","1007401001","mhp_idle_normal","100211"
"1","1.7","100","1","-220","1007401","1","185","1007401002","mhp_sit_idle","117531"
"1","1.7","100","1","-200","1007401","1","365","1007401003","mhp_sit_idle","117631"
"1","1","-240","","0.85","1007401","31","-154","1007401004","","1"
"23","0","-230","","0.85","1007401","31","-18","1007401005","","123"
"1","1.7","110","0","-220","1007401","5","-200","1007401006","NoItem","11"
"1","1.7","105","0","-220","1007401","5","-200","1007401007","NoItem","12"
"1","1.7","110","1","-220","1007401","5","185","1007401008","NoItem","21"
"1","1.7","105","1","-220","1007401","5","185","1007401009","NoItem","22"
"11","0","1","0","0","1007401","6","1","1007401010","","1"
"12","0","1","0","0","1007401","6","1","1007401011","","1"
"21","0","1","0","0","1007401","6","1","1007401012","","1"
"22","0","1","0","0","1007401","6","1","1007401013","","1"
"1","1.7","110","0","-220","1007401","5","-1000","1007401014","NoItem","31"
"0","","","","","1007401","91","","1007401015","",""
