5559655914dbfdb269850f0df580d42d694162bf26850cabc3e48758dd71ffd6,25bec419194a10918967145efac4e9f6d60d706cf4554196e0628239445dbdb3,acfee0ee007345a35560765f68e641081c74e5801be31f68663ca38dc92b2311,b7ea824ea49fc1bcc829f2ff619f3fafd85ebe9f5826b810dec19222119abc72,9a2a9632774c37df82dddb62c6485b4e5e3663c8df95958f47ee8d7cbe3cf5d1
"1","1","1","0","2700"
"2","1","2","0","3600"
"3","1","3","0","5400"
"1","1","4","1","3600"
"2","1","5","1","5400"
"3","1","6","1","7200"
"1","2","7","0","1800"
"2","2","8","0","2700"
"3","2","9","0","3600"
"1","2","10","1","2700"
"2","2","11","1","4050"
"3","2","12","1","5400"
"1","3","13","0","1800"
"2","3","14","0","2700"
"3","3","15","0","3600"
"1","3","16","1","2700"
"2","3","17","1","4050"
"3","3","18","1","5400"
"1","4","19","0","1800"
"2","4","20","0","2700"
"3","4","21","0","3600"
"1","4","22","1","2700"
"2","4","23","1","4050"
"3","4","24","1","5400"
