72f1e6ee8b07b23915cbce484811a24600ce2da1137bf139bb7f4a092491f93b,672a4d5ca8c2327dde07a27c7a05c15bd0e24e29326c539e5e52adcb2395cd5c,149c7d900cf3e84d38c3268fd855b5f68f2cfd235fb66eb05fc6a4c36f5d840f,33b14f08d246ecb1d8b6e00e11ef35055e06736f1fc57679a6441f86d4287e97,eadc24e9971bf57f743a1db56c4736cb9569448664c1fdc3b47870ff0892d366,bd7028e87f756133296114d3930e0cae64ee34fc72eced0719e11aced4ee7e99,7ecb6c66eff31e73a22bb2a99976ea8b0256c1ededf116d53df89c28ebd33eae,5c92e0ec6f762f4f42a1eaeb010117b97d4982a0b0401d2ccf689029417a481c
"0","短時間、障害物バリアを展開！","101","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","0","2001","3"
"5","中時間、スピードとジャンプ小アップ！","102","5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","0","3","5"
"6","短時間、スピード中アップ！","103","0","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","0","1","4"
"0","中時間、障害物バリアを展開！","104","0","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","0","2001","5"
"3","中時間、スピード小アップ！","105","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","0","1","6"
"4","中時間、対戦相手のスピード小ダウン！","106","0","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","0","1001","6"
"17","中時間、スピードとジャンプ特大アップ！","107","16","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","0","3","5"
"8","ラウンド中、スピード中アップ！","108","0","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","0","1","40"
"30","短時間、スピード特大アップ！","109","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","1","4"
"10","ラウンド中、対戦相手が大きく減速！","110","0","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","0","1001","40"
"0","ごく短時間、障害物バリアを展開！","111","0","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","0","2001","1"
"15","短時間、先頭の対戦相手が大きく減速！","112","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","0","1004","4"
"5","中時間、スピード小アップ！","113","0","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","0","1","6"
"5","中時間、ジャンプ小アップ！","114","0","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","0","2","5"
"0","長時間、バリアで能力ダウンを防ぐ！","115","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","0","2002","7"
"3","累積で、スピード小アップ！","116","0","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","0","1","25"
"3","累積で、対戦相手が小さく減速！","117","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","1001","25"
"30","長時間、スピードとジャンプ特大アップ！","118","20","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","0","3","7"
"15","短時間、先頭の対戦相手が大きく減速！","119","0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","1004","4"
"0","長時間、バリアで能力ダウンを防ぐ！","120","0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","0","2002","7"
"30","長時間、ジャンプ特大アップ！","121","0","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","0","2","12"
"15","累積で、先頭の対戦相手が大きく減速！","122","0","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","0","1004","30"
"11","短時間大きく加速した後、ごく短時間減速！","123","2","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","8","4","4"
"9","長時間、スピード中アップ！","124","0","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","0","1","8"
"0","短時間、障害物バリアを展開！","125","0","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","0","2001","4"
"3","累積で、対戦相手が小さく減速！","126","0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","0","1001","30"
"22","長時間、スピード特大アップ！","127","0","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","0","1","10"
"30","短時間、ジャンプ特大アップ！","128","0","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","0","2","4"
"20","短時間、対戦相手のスピード特大ダウン！","129","0","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","0","1001","3"
"30","短時間、スピード特大アップ！","130","0","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","0","1","4"
