f16e72f2869cfab75c3dd195d07a3d3c6fef3f81c3c14ad298f07c0bc0a12c2d,8c71d4c1b597ffa160f0a4afcb637a6b2036cf1fa1c48a4708ca1ce0a9b94e63,be8eb94f14e5bbfb2c68257a16c4f31967543703845ae5e4d09687ea71787e7f
"6101321","61013201","1"
"6101322","61013201","2"
"6101323","61013201","3"
"6101324","61013201","4"
"6101325","61013201","5"
"6101326","61013201","6"
"6101327","61013201","7"
"6101341","61013401","8"
"6101342","61013401","9"
"6101343","61013401","10"
"6101344","61013401","11"
"6101345","61013401","12"
"6101361","61013601","13"
"6101362","61013601","14"
"6101363","61013601","15"
"6101364","61013601","16"
"6101365","61013601","17"
"6101366","61013601","18"
"6101367","61013601","19"
"6101368","61013601","20"
"6101401","61014001","21"
"6101402","61014001","22"
"6101403","61014001","23"
"6101404","61014001","24"
"6101405","61014001","25"
"6101421","61014201","26"
"6101422","61014201","27"
"6101423","61014201","28"
"6101424","61014201","29"
"6101441","61014401","30"
"6101442","61014401","31"
"6101443","61014401","32"
"6101444","61014401","33"
"6101461","61014601","34"
"6101462","61014601","35"
"6101463","61014601","36"
"6101464","61014601","37"
"6101465","61014601","38"
"6101466","61014601","39"
"6101467","61014601","40"
"6101468","61014601","41"
"6101469","61014601","42"
"6101481","61014801","43"
"6101482","61014801","44"
"6101483","61014801","45"
"6101484","61014801","46"
"6101485","61014801","47"
"6101501","61015001","48"
"6101502","61015001","49"
"6101503","61015001","50"
"6101504","61015001","51"
"6101505","61015001","52"
"6101520","61015201","53"
"6101521","61015201","54"
"6101522","61015201","55"
"6101523","61015201","56"
"6101524","61015201","57"
"6101525","61015201","58"
"6101526","61015201","59"
"6101527","61015201","60"
"6101528","61015201","61"
"6101529","61015201","62"
"6101540","61015401","63"
"6101541","61015401","64"
"6101542","61015401","65"
"6101550","61015501","66"
"6101551","61015501","67"
