903297387ffd8990461db3393c062873326e6f306da31e9ce501c0e157b401e8,5fc6265ce8d278e17af1bd0c119f7a5291321205ff1f9894fc08ea69b3fd03c7,4e7442e8bb3889ade8b232d820e20150a4a7866b3a4ec1cdfeb8742f9bc8daa4,a4106462eb13aa9c4d1588b75a603e8f153c47c3510e48ceb389c0f888118d14,4443334b0d83d8a3a17186226280bc35db9fc335d1b71066136a3bfb5ed3e6be,a647b2db43787db472f6d580e85eb0b15e06e8cbcd92158314b16d083849df76,71e84a6d97e4dbc46804dbcf6eac4838c276276b1407f1d5fbcaac72ab6dbe0b,41d837e1af26556753ed7b44d693ad82261ca84048610432b0b4bf74106cb586,061dc832d7cc514d1fac96987e4256fc8a48b033cee9889902b13a9022d86d0d,bacc3ca8dee50542072fbc92be9ab8bd9c800b29a8e5f86ba98a469353be9bb2,3ffb337c4e5b0ea3c5c9b06234a22661dcb4ce1f8fb6b6e22a2935fd218ca3cd
"-278","61001","idle_normal","0","-225","100","1","105811","5146061","1","1.8"
"-278","61002","idle_normal","0","-225","101","6","1058","5146061","5","1.8"
"-288","61003","kokkoro_idle_normal","0","-385","103","1","105911","5146061","1","1.8"
"-288","61004","kokkoro_idle_normal","0","-385","104","3","1059","5146061","5","1.8"
"-278","61005","idle_normal","1","290","106","1","106011","5146061","1","1.8"
"-278","61006","idle_normal","1","290","107","4","1060","5146061","5","1.8"
"","61007","","","","","105811","200","5146061","13",""
"","61008","","","","","105911","203","5146061","13",""
"","61009","","","","","106011","206","5146061","13",""
"-174","61010","idle","0","0","15","7","7","5146061","5","0.85"
"8","61011","empty","0","290","210","20","201","5146061","5","1"
"-78","61012","empty","0","0","211","20","202","5146061","5","1"
"16","61013","empty","0","-315","210","20","203","5146061","5","1"
"153","61014","empty","0","0","60","21","21","5146061","5","1"
"1","61015","","","0","0","1","1","5146061","31","1"
"1","61016","","","-57.7","0","2","2","5146061","31","0"
"1","61017","","","0","0","10","10","5146061","31","0"
"1","61018","","","0","0","11","11","5146061","31","0"
"","61019","","","","","0","0","5146061","91",""
"","61020","","","","0","0","0","5146061","102",""
"","61021","","","","","1","0","5146061","93",""
"1","61022","","0","doya_talk_shy","0","106011","doya_in_shy","5146061","3","0.2"
"1","61023","","0","doya_talk_shy","0","1060","doya_in_shy","5146061","3","0.2"
"","61024","","","0","0","vo_apg","vo_apg_0101","5146061","21",""
"1","61025","0","0","1","10","106011","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","5146061","11","0"
"","61026","","","","","0","","5146061","91",""
"","61027","","","","","2","1","5146061","32",""
"","61028","","","","","2","fade105_in","5146061","37",""
"","61029","","","","","106011","0","5146061","4",""
"","61030","","","","","1060","0","5146061","4",""
"","61031","","","","1","106011","sad_idle_dere_shy","5146061","3","0.5"
"","61032","","","","1","1060","sad_idle_dere_shy","5146061","3","0.5"
"","61033","","","0","0","vo_apg","vo_apg_0102","5146061","21",""
"","61034","","","","0","201","0102_in","5146061","3","0"
"","61035","","","","","4.6","1","5146061","93",""
"","61036","","","","0","201","0102_mid","5146061","3","0"
"","61037","","","","","","","5146061","92",""
"","61038","","","","0","201","0102_out","5146061","3","0"
"","61039","","","","","0.2","0","5146061","93",""
"1","61040","","0","kyaru_smile_idle","0","106011","kyaru_smile_in","5146061","3","0.2"
"1","61041","","0","kyaru_smile_idle","0","1060","kyaru_smile_in","5146061","3","0.2"
"","61042","","","0","0","vo_apg","vo_apg_0103","5146061","21",""
"","61043","","","","0","201","0103_in","5146061","3","0"
"","61044","","","","","5.4","1","5146061","93",""
"","61045","","","","0","201","0103_mid","5146061","3","0"
"","61046","","","","","","","5146061","92",""
"","61047","","","","0","201","0103_out","5146061","3","0"
"","61048","","","","","0.2","0","5146061","93",""
"","61049","","","","","2","fade105_out","5146061","37",""
"","61050","","","","","105811","1","5146061","4",""
"","61051","","","","","1058","1","5146061","4",""
"","61052","","","","1","105811","surprise_talk","5146061","3","0.2"
"","61053","","","","1","1058","surprise_talk","5146061","3","0.2"
"","61054","","","0","0","vo_apg","vo_apg_0104","5146061","21",""
"1","61055","0","0","1","10","105811","……キャルちゃん、\n写真写りたくないんですかね…？","5146061","11","0"
"","61056","","","","","0","","5146061","91",""
"","61057","","","","1","105811","surprise_idle_talk1R","5146061","3","0.2"
"","61058","","","","1","1058","surprise_idle_talk1R","5146061","3","0.2"
"","61059","","","","1","105911","kokkoro_surprise_talk","5146061","3","0.2"
"","61060","","","","1","1059","kokkoro_surprise_talk","5146061","3","0.2"
"","61061","","","0","0","vo_apg","vo_apg_0105","5146061","21",""
"1","61062","0","0","1","10","105911","はい。\nどうやらそのようでございます","5146061","11","0"
"","61063","","","","","0","","5146061","91",""
