71c78bfd3dc36dc2f9790eb7c834411fc7b4dc8af5f0504736e72d328d9fb91f,f405c7e1ab6999ecedc651cde7a39af03bf348cad515661fe51058ddd91007d5,f53e15b444ca6df49c85d728ed0fa98b6f54bdf4b6572119d63948664bb7d9bb,275bd95a792f6e2074c3758a4aa950bcba5ddd20bbada60167bd166d93c00b6a,65a61102ab1a47a2d08fbd5d648279b215d750ac1ed348049171d3b8bd457a36
"1","1038","1","0","150"
"2","1038","2","0","151"
"3","1038","3","0","152"
"4","1038","4","0","153"
"5","1038","5","0","154"
"1","1039","6","0","156"
"2","1039","7","0","157"
"3","1039","8","0","158"
"4","1039","9","0","159"
"5","1039","10","0","160"
"1","1040","11","0","162"
"2","1040","12","0","163"
"3","1040","13","0","164"
"4","1040","14","0","165"
"5","1040","15","0","166"
"1","1041","16","0","168"
"2","1041","17","0","169"
"3","1041","18","0","170"
"4","1041","19","0","171"
"5","1041","20","0","172"
"1","1042","21","0","174"
"2","1042","22","0","175"
"3","1042","23","0","176"
"4","1042","24","0","177"
"5","1042","25","0","178"
"1","1043","26","0","180"
"2","1043","27","0","181"
"3","1043","28","0","182"
"4","1043","29","0","183"
"5","1043","30","0","184"
"1","1044","31","0","186"
"2","1044","32","0","187"
"3","1044","33","0","188"
"4","1044","34","0","189"
"5","1044","35","0","190"
"1","1045","36","0","192"
"2","1045","37","0","193"
"3","1045","38","0","194"
"4","1045","39","0","195"
"5","1045","40","0","196"
"1","1046","41","0","198"
"2","1046","42","0","199"
"3","1046","43","0","200"
"4","1046","44","0","201"
"5","1046","45","0","202"
"1","1047","46","0","204"
"2","1047","47","0","205"
"3","1047","48","0","206"
"4","1047","49","0","207"
"5","1047","50","0","208"
"1","1048","51","0","210"
"2","1048","52","0","211"
"3","1048","53","0","212"
"4","1048","54","0","213"
"5","1048","55","0","214"
"1","1049","56","0","216"
"2","1049","57","0","217"
"3","1049","58","0","218"
"4","1049","59","0","219"
"5","1049","60","0","220"
