30ea67622c6c79cb5e38a830b152b988f803f733f35c8848260afe06853ca10f,9c24d2d9b26654490751e396605d4120e7b7cb71b5ce2a0eeb5ae907ee54d8fd,b4453e80490f07741e4b184d4262edb0c37c1ef4382382e52784cbc637f8d683,3c54150d175141159ee38ca4e3b81e87d197331dcc8ea701ccbc11200ef67033,5ee8dda5ee6897a6fca774e4d0460a610f38871c0014cb5bf924156311b0a770
"1","94002","12","8000000","1001"
"2","90005","2","40","1001"
"3","94002","12","8000000","1002"
"4","90005","2","50","1002"
"5","94002","12","8000000","1003"
"6","90005","2","60","1003"
"7","94002","12","8000000","1004"
"8","90005","2","70","1004"
"9","91002","8","150","1005"
"10","94002","12","8000000","1005"
"11","90005","2","80","1005"
"12","94002","12","8000000","1006"
"13","90005","2","90","1006"
"14","91002","8","300","1007"
"15","94002","12","8000000","1007"
"16","90005","2","100","1007"
"17","94002","12","8000000","2001"
"18","94002","12","8000000","2002"
"19","94002","12","8000000","2003"
"20","94002","12","8000000","2004"
"21","94002","12","8000000","2005"
"22","94002","12","8000000","2006"
"23","94002","12","8000000","2007"
"24","94002","12","8000000","2008"
"25","94002","12","8000000","2009"
"26","94002","12","8000000","2010"
"27","94002","12","8000000","2011"
"28","94002","12","8000000","2012"
"29","94002","12","8000000","2013"
"30","94002","12","8000000","2014"
"31","94002","12","8000000","2015"
"32","94002","12","8000000","7001"
"33","90005","2","5","7001"
"34","94002","12","8000000","7002"
"35","90005","2","5","7002"
"36","94002","12","8000000","7003"
"37","90005","2","5","7003"
"38","94002","12","8000000","7004"
"39","90005","2","10","7004"
"40","94002","12","8000000","7005"
"41","90005","2","10","7005"
"42","94002","12","8000000","7006"
"43","90005","2","10","7006"
"44","94002","12","8000000","7007"
"45","90005","2","15","7007"
"46","94002","12","8000000","7008"
"47","90005","2","15","7008"
"48","94002","12","8000000","7009"
"49","90005","2","15","7009"
"50","94002","12","8000000","7010"
"51","90005","2","20","7010"
"52","94002","12","8000000","7011"
"53","90005","2","20","7011"
"54","94002","12","8000000","7012"
"55","90005","2","20","7012"
"56","94002","12","8000000","7013"
"57","90005","2","25","7013"
"58","94002","12","8000000","7014"
"59","90005","2","25","7014"
"60","94002","12","8000000","7015"
"61","90005","2","25","7015"
"62","94002","12","8000000","7016"
"63","90005","2","30","7016"
"64","94002","12","8000000","7017"
"65","90005","2","30","7017"
"66","94002","12","8000000","7018"
"67","90005","2","30","7018"
"68","94002","12","8000000","7019"
"69","90005","2","35","7019"
"70","94002","12","8000000","7020"
"71","90005","2","35","7020"
"72","94002","12","8000000","7021"
"73","90005","2","35","7021"
"74","94002","12","8000000","7022"
"75","90005","2","40","7022"
"76","94002","12","8000000","8001"
"77","90008","2","1000","8001"
"78","94002","12","8000000","8002"
"79","90008","2","1250","8002"
"80","94002","12","8000000","8003"
"81","90008","2","1500","8003"
"82","94002","12","8000000","8004"
"83","90008","2","1750","8004"
"84","94002","12","8000000","8005"
"85","90008","2","2000","8005"
"86","94002","12","8000000","8006"
"87","90008","2","2250","8006"
"88","94002","12","8000000","8007"
"89","90008","2","2500","8007"
"90","80001","2","50","9001"
"91","80002","2","50","9002"
"92","80003","2","50","9003"
"93","80004","2","50","9004"
"94","80005","2","50","9005"
