78dccd237cd2f38f2bd75ee8d2fe66dd55e7bd439be3c3280bbbcf22162ecc2f,815e4a363c4eff4cb0348b538722a4ff7157a08fe6028a3eef3f79333c479245,8d0e5322d04f08c5d87e34a51351981cf7fc7a1bbb70b504de3357c65515a1be,0b2516a0a1460e795be7fb5df022f6188656c0e4e97016418571dfdbd0851f57,82454cbef8544358ebe3c92ec786e25c9fef332392b1d123898d78f8073616e4,1710c6533f06e503b96cf77b9644ee244bb4a6159d3949dd970f584e39ee2434,16908510557ef3d3c31dfbc652eda275ed7cc54a20597ee58cfc2a807da21f16,b68f90dd33da7d9bfe09a60a735dcdf8a7af05531ff8d729426f62cd91dd4c54,fa5cd46fd3cb281618b3b4b24e8584d2b399b759bc01b4927123bffb515e0ab9,80327be51d1b4141ebc5e9e7e8d5872c8949fc4179aa82125a5e17df660fb6bc,f46b7ee8bf2c4b4120661c37840059a750ccda25c8165a79437fe4a553c2bfcc
"0","0","10143105","1","207300","1","イワアライグマの生態メモ①","10116","0","0","10116111"
"0","0","0","2","207300","1","イワアライグマの生態メモ②","10116","0","0","10116112"
"0","0","0","3","207300","1","イワアライグマの生態メモ③","10116","0","0","10116113"
"0","0","0","4","207300","1","イワアライグマの生態メモ④","10116","0","0","10116114"
"75","1","0","5","207300","1","洗い物のお師匠さま","10116","91002","8","10116115"
"0","0","0","1","207000","1","ワッパダヌキの生態メモ①","10116","0","0","10116121"
"0","0","0","2","207000","1","ワッパダヌキの生態メモ②","10116","0","0","10116122"
"0","0","0","3","207000","1","ワッパダヌキの生態メモ③","10116","0","0","10116123"
"0","0","0","4","207000","1","ワッパダヌキの生態メモ④","10116","0","0","10116124"
"75","1","0","5","207000","1","小さな再会と一化かし","10116","91002","8","10116125"
"0","0","0","1","305700","1","ゴブリングレートの生態メモ①","10116","0","0","10116131"
"0","0","0","2","305700","1","ゴブリングレートの生態メモ②","10116","0","0","10116132"
"0","0","0","3","305700","1","ゴブリングレートの生態メモ③","10116","0","0","10116133"
"0","0","0","4","305700","1","ゴブリングレートの生態メモ④","10116","0","0","10116134"
"75","1","0","5","305700","1","学びはまず形から","10116","91002","8","10116135"
"0","0","10143105","1","206900","2","スリーピィオウルの生態メモ①","10116","0","0","10116211"
"0","0","0","2","206900","2","スリーピィオウルの生態メモ②","10116","0","0","10116212"
"0","0","0","3","206900","2","スリーピィオウルの生態メモ③","10116","0","0","10116213"
"0","0","0","4","206900","2","スリーピィオウルの生態メモ④","10116","0","0","10116214"
"75","1","0","5","206900","2","天にも昇る寝心地","10116","91002","8","10116215"
"0","0","0","1","304600","2","ライライの生態メモ①","10116","0","0","10116221"
"0","0","0","2","304600","2","ライライの生態メモ②","10116","0","0","10116222"
"0","0","0","3","304600","2","ライライの生態メモ③","10116","0","0","10116223"
"0","0","0","4","304600","2","ライライの生態メモ④","10116","0","0","10116224"
"75","1","0","5","304600","2","それぞれの在り方を大切に","10116","91002","8","10116225"
"0","0","0","1","215300","2","ニャットの生態メモ①","10116","0","0","10116231"
"0","0","0","2","215300","2","ニャットの生態メモ②","10116","0","0","10116232"
"0","0","0","3","215300","2","ニャットの生態メモ③","10116","0","0","10116233"
"0","0","0","4","215300","2","ニャットの生態メモ④","10116","0","0","10116234"
"75","1","0","5","215300","2","あなたが教えてくれたこと","10116","91002","8","10116235"
