75f8fdefba7ecf5f7c781222b4f1f578882d08bc959d940333ac5481a2be7b6a,b476fc4cce3784b9b00f237c1714c2354cba714064ed9f8f3cd1ab9f8ae2cf27,a534c7e535c19a4ea192362ef418a84368ab3d2138908dc7e3f7acce789bbe4a,9a9aa96524efb12ff88fb419a28465d5940728b441417c379fb851417962509e,7b991d857264d95b6e79a9988c7fe417c315694dfb317d0cd5b05a530fcae9cc,dc2518a7cc05db4299604c6fc4e21fc1d490c6c28f79b309789263b77fe5bef2,2e3765a5fee64ac57e97a5543ab3a94e75f982dd67357b0834372b57ad5d99d8,1457ad39447f51aeedf250e3cdb132ed35c370d1ed5a1ce0c22b076b22db9d57,85fd69fc50a82495d46556be878a6d41354287f737f5f1d23c0977fafef47fa3,c5dcf062fc9dfd25ac9948263624735ca2c946f25336121b5010df3b0b872daa
"111","2","0","0","25101","0","0","101","3","5000000"
"211","2","0","0","25101","0","0","201","3","5000000"
"311","2","0","0","25101","0","0","301","2","5500000"
"411","2","0","0","25101","0","0","401","2","5500000"
"511","2","0","0","25101","0","0","501","3","6000000"
"611","2","0","0","25101","0","0","601","2","6000000"
"711","2","0","0","25101","0","0","701","2","6500000"
"811","2","0","0","25101","0","0","801","2","6500000"
"911","2","0","0","25101","0","0","901","3","7000000"
"1011","2","0","0","25101","0","0","1001","2","7000000"
"1111","2","1112","0","25101","0","0","1101","2","7500000"
"1211","2","1212","0","25101","0","0","1201","2","7500000"
"1311","2","0","0","25101","0","0","1301","3","8000000"
"1411","2","0","0","25101","0","0","1401","2","8000000"
"1511","2","0","0","25101","0","0","1501","2","8500000"
"1611","2","0","0","25101","0","0","1601","2","8500000"
"1711","2","0","0","25101","0","0","1701","3","9000000"
"1811","2","1812","0","25101","0","0","1801","2","9000000"
"1911","2","0","0","25101","0","0","1901","2","9500000"
"2011","2","0","0","25101","0","0","2001","2","9500000"
"2111","2","0","0","25101","0","0","2101","3","10000000"
"2211","2","0","0","25101","0","0","2201","2","10000000"
"2311","2","0","0","25101","0","0","2301","2","10500000"
"2411","2","0","0","25101","0","0","2401","2","10500000"
"2511","2","0","0","25101","0","0","2501","3","11000000"
"2611","2","2612","0","25101","0","0","2601","2","11000000"
"2711","2","2712","0","25101","0","0","2701","2","11500000"
"2811","2","2812","0","25101","0","0","2801","2","11500000"
"2911","2","0","0","25101","0","0","2901","3","12000000"
"3011","2","3012","0","25101","0","0","3001","2","12000000"
"3111","2","0","0","25101","0","0","3101","2","12500000"
"3211","2","0","0","25101","0","0","3201","2","12500000"
"3311","2","0","0","25101","0","0","3301","3","13000000"
"3411","2","0","0","25101","0","0","3401","3","13000000"
"3511","2","0","0","25101","0","0","3501","3","13500000"
"3611","2","0","0","25101","0","0","3601","3","13500000"
"3711","2","0","0","25101","0","0","3701","3","13500000"
"3811","2","3812","0","25101","0","0","3801","3","14000000"
"3911","2","0","0","25101","0","0","3901","3","14000000"
"4011","2","0","0","25101","0","0","4001","3","14000000"
"4111","2","0","0","25101","0","0","4101","3","14500000"
"4211","2","4212","0","25101","0","0","4201","3","14500000"
"4311","2","0","0","25101","0","0","4301","3","14500000"
"4411","2","0","0","25101","0","0","4401","3","15000000"
"4511","2","0","0","25101","0","0","4501","3","15000000"
"4611","2","0","0","25101","0","0","4601","3","15000000"
"4711","2","0","0","25101","0","0","4701","3","15500000"
"4811","2","0","0","25101","0","0","4801","3","15500000"
"4911","2","0","0","25101","0","0","4901","3","15500000"
"5011","2","0","0","25101","0","0","5001","3","16000000"
"5111","2","0","0","25101","0","0","5101","3","16000000"
"5211","2","0","0","25101","0","0","5201","3","16000000"
"5311","2","0","0","25101","0","0","5301","3","16500000"
"5411","2","5412","0","25101","0","0","5401","3","16500000"
"5511","2","0","0","25101","0","0","5501","3","16500000"
"5611","2","0","0","25101","0","0","5601","3","17000000"
"5711","2","0","0","25101","0","0","5701","3","17000000"
"5811","2","0","0","25101","0","0","5801","3","17000000"
"5911","2","0","0","25101","0","0","5901","3","17500000"
"6011","2","0","0","25101","0","0","6001","3","17500000"
"6111","2","0","0","25101","0","0","6101","3","17500000"
"6211","2","6212","0","25101","0","0","6201","3","18000000"
"6311","2","0","0","25101","0","0","6301","3","18000000"
"6411","2","0","0","25101","0","0","6401","3","18000000"
"6511","2","0","0","25101","0","0","6501","3","18500000"
"6611","2","0","0","25101","0","0","6601","3","18500000"
