feb8e682f0ae8ad583b04d8ba595889949a36bcec086b0504471c0183ac62759,6590ac8bacf18be6c71f1fc14dbcaceeaba844173d9d7b207c06305ffcda1fb2,117ad892e8f5e29772b3dbb14ca962e3f06199e1b7e9817322c1faba95c78c88,e8025c57e9636e96d58ebb41610763f58c335942efa3291505a80aee1a04c017,dae3189247ecd8615181f42bf862281b8fcc48cf44b907c0de484c842dda0dbe
"10010101","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","4100101","風属性ボーナス特大アップ","14"
"10010102","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","4100101","ダメージ減衰","38"
"10010103","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100101","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"10010104","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","4100101","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"10010201","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","4100102","光属性ボーナス特大アップ","15"
"10010202","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","4100102","ダメージ減衰","38"
"10010203","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100102","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"10010204","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","4100102","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"10010301","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","4100103","闇属性ボーナス特大アップ","16"
"10010302","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","4100103","ダメージ減衰","18"
"10010303","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100103","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"10010304","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","4100103","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"10010305","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","4100103","ＴＰダウンカット","boss_tp_down_cut"
"10010306","バトル開始時、すべてのキャラのＴＰ上昇を小ダウンさせる。","4100103","ＴＰ上昇ダウン","3"
"10010307","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","4100103","ＨＰ吸収ダウン","9"
"10010401","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","4100104","水属性ボーナス特大アップ","13"
"10010402","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","4100104","ダメージ減衰","18"
"10010403","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100104","物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"10010404","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","4100104","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"10010405","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","4100104","ＴＰダウンカット","boss_tp_down_cut"
