df3205c6422f35750f215fc734bb6c8830fcd3df25fb04d00cfd19e9fcd87121,26369a12ceae723276f2d5b784a64c4527498a0c0f865b4bcfc2581e9cc7b772,53c976a1ab55aea5ab92b51d378c52fc983effd3e056301433c1c5ee5c01838a,f85d0e3e492716d28b73719181aec7a00dc7539b2f7ec3984b6929cabc011a46,383e78b2a4732ec1be8509444958dcdb618247129b4dcc751ca37df8f38516df,7a29ea4a8ec6bf45c8942dc531e11086eadaf54342f311c06d6a1163b5068389
"26202","2","50000","1","1","50000"
"90013","2","10","2","1","10"
"26203","2","0","3","1","1"
"26202","2","55000","4","2","55000"
"90013","2","10","5","2","10"
"26203","2","0","6","2","1"
"26202","2","60000","7","3","60000"
"90013","2","10","8","3","10"
"26203","2","0","9","3","1"
"26202","2","65000","10","4","65000"
"90013","2","10","11","4","10"
"26203","2","0","12","4","1"
"26202","2","70000","13","5","70000"
"90013","2","10","14","5","10"
"26203","2","0","15","5","1"
"26202","2","75000","16","6","75000"
"90013","2","10","17","6","10"
"26203","2","0","18","6","1"
"26202","2","80000","19","7","80000"
"90013","2","10","20","7","10"
"26203","2","0","21","7","1"
"26202","2","85000","22","8","85000"
"90013","2","10","23","8","10"
"26203","2","0","24","8","1"
"26202","2","90000","25","9","90000"
"90013","2","20","26","9","20"
"26203","2","0","27","9","1"
"26202","2","95000","28","10","95000"
"90013","2","20","29","10","20"
"26203","2","0","30","10","1"
"26202","2","100000","31","11","100000"
"90013","2","20","32","11","20"
"26203","2","0","33","11","1"
"26202","2","105000","34","12","105000"
"90013","2","20","35","12","20"
"26203","2","0","36","12","1"
