b63050e32b263de3f003b31f3db92d51b05b5e4eeee6a6feca7444616d4abbbf,ee45a9c99b16df8b1c533b910b431513b4890e28cbd330e5896b7c78a5862631,b6a83862aaaa2cb502b0c1a576f2527665583c76823b70b91d5b234380aa1290,5925ee4f0dea7a6b27ca63a1effb51e8c86cb70270b873e227589f9449e07b71
"2019/02/15 5:00:00","1st Anniversary スペシャルログインボーナス","2019/03/01 4:59:59","10000"
"2019/04/27 5:00:00","GW スペシャルログインボーナス","2019/05/07 4:59:59","10001"
"2019/08/15 5:00:00","1.5Year Anniversary スペシャルログインボーナス","2019/09/01 4:59:59","10002"
"2020/02/15 5:00:00","2nd Anniversary スペシャルログインボーナス","2020/03/01 4:59:59","10003"
"2020/08/15 5:00:00","2.5 Year Anniversary スペシャルログインボーナス","2020/09/01 4:59:59","10004"
"2021/02/15 5:00:00","3rd Anniversary スペシャルログインボーナス","2021/03/01 4:59:59","10005"
"2021/08/15 5:00:00","3.5 Year Anniversary スペシャルログインボーナス","2021/09/01 4:59:59","10006"
"2022/02/15 5:00:00","4th Anniversary スペシャルログインボーナス","2022/03/01 4:59:59","10007"
"2022/08/15 5:00:00","4.5 Year Anniversary スペシャルログインボーナス","2022/09/01 4:59:59","10008"
"2023/02/15 5:00:00","5th Anniversary スペシャルログインボーナス","2023/03/01 4:59:59","10009"
"2023/08/15 5:00:00","5.5 Year Anniversary スペシャルログインボーナス","2023/09/01 4:59:59","10010"
"2024/02/15 5:00:00","6th Anniversary スペシャルログインボーナス","2024/03/01 4:59:59","10011"
"2024/08/15 5:00:00","6.5 Year Anniversary スペシャルログインボーナス","2024/09/01 4:59:59","10012"
"2025/02/15 5:00:00","7th Year Anniversary スペシャルログインボーナス","2025/03/01 4:59:59","10013"
"2025/08/15 5:00:00","7.5 Year Anniversary スペシャルログインボーナス","2025/09/01 4:59:59","10014"
