471bd47d89af44b1c93d51d5215640f5cc89d45aceb75b337fbc401e5e2acde7,44ed6df6bba47df92e476ef952dae0b3676fc65c709569ee7e06fe772ccb69f3,e44c621be91e79fa2820671c13a8d52020d7e2fdfcb9ab20dac6adbba363c0ba,dbeb8f46ce98c62d80cdc038c34f76f65e07c9e104a0bf82133030b39a8d1eea,b2bc1c6610c0b97190f83c5b75de71602eba251fb1093c139de524b1f8cef64a,14fb3fbc194aa6c0d09bafb365cd65491268f6607a5a49d398697aeb9f605b35,e090887a3a20cb410b46328a1f25e1b09f29bede3ac86a43bacbaea3f1458c60,fdf24c05455a2496608cc27ed8971c386e1982daa161a20afc74fa3b50d8681f
"1","1","21952","1","96001","1","20000","2"
"1","2","21904","1","96001","1","10000","2"
"1","3","41000","1","96001","1","10000","2"
"1","4","31803","5","96001","5","2000","2"
"1","5","31215","5","96001","5","1500","2"
"1","6","31210","5","96001","5","1500","2"
"1","7","31211","5","96001","5","1500","2"
"1","8","90005","10","96001","5","1250","2"
"1","9","140001","20","96001","10","500","4"
"1","10","25001","10","96001","5","500","2"
"1","11","150003","5","96001","5","100","4"
"1","12","150004","5","96001","5","130","4"
"1","13","150005","5","96001","5","150","4"
"1","14","150006","5","96001","5","180","4"
"1","15","150007","5","96001","5","200","4"
"1","16","150008","5","96001","5","230","4"
"1","17","20004","5","96001","100","500","2"
"1","18","22003","5","96001","100","200","2"
"1","19","20004","0","96001","100","1000","2"
"1","20","22003","0","96001","100","400","2"
"2","21","21952","1","96002","1","20000","2"
"2","22","21904","1","96002","1","10000","2"
"2","23","41000","1","96002","1","10000","2"
"2","24","31233","5","96002","5","1500","2"
"2","25","31229","5","96002","5","1500","2"
"2","26","31225","5","96002","5","1500","2"
"2","27","90005","10","96002","5","1250","2"
"2","28","140001","20","96002","10","500","4"
"2","29","25001","10","96002","5","500","2"
"2","30","150003","5","96002","5","100","4"
"2","31","150004","5","96002","5","130","4"
"2","32","150005","5","96002","5","150","4"
"2","33","150006","5","96002","5","180","4"
"2","34","150007","5","96002","5","200","4"
"2","35","150008","5","96002","5","230","4"
"2","36","20004","5","96002","100","500","2"
"2","37","22003","5","96002","100","200","2"
"2","38","20004","0","96002","100","1000","2"
"2","39","22003","0","96002","100","400","2"
"3","40","21952","1","96003","1","20000","2"
"3","41","21905","1","96003","1","10000","2"
"3","42","41000","1","96003","1","10000","2"
"3","43","31805","5","96003","5","2000","2"
"3","44","31240","5","96003","5","1500","2"
"3","45","31238","5","96003","5","1500","2"
"3","46","31236","5","96003","5","1500","2"
"3","47","90005","5","96003","10","2500","2"
"3","48","140001","5","96003","50","2500","4"
"3","49","25001","5","96003","5","500","2"
"3","50","150003","5","96003","30","500","4"
"3","51","150004","5","96003","30","650","4"
"3","52","150005","5","96003","30","750","4"
"3","53","150006","5","96003","30","900","4"
"3","54","150007","5","96003","30","1000","4"
"3","55","150008","5","96003","30","1150","4"
"3","56","20004","5","96003","500","2500","2"
"3","57","22003","5","96003","500","1000","2"
"3","58","20004","0","96003","100","1000","2"
"3","59","22003","0","96003","100","400","2"
"4","60","21952","1","96004","1","20000","2"
"4","61","21905","1","96004","1","10000","2"
"4","62","41000","2","96004","1","10000","2"
"4","63","31807","5","96004","5","2000","2"
"4","64","31245","5","96004","5","1500","2"
"4","65","31248","5","96004","5","1500","2"
"4","66","31250","5","96004","5","1500","2"
"4","67","31091","5","96004","5","1500","2"
"4","68","90005","5","96004","10","2500","2"
"4","69","140001","10","96004","50","2500","4"
"4","70","25001","10","96004","10","1000","2"
"4","71","150003","5","96004","30","500","4"
"4","72","150004","5","96004","30","650","4"
"4","73","150005","5","96004","30","750","4"
"4","74","150006","5","96004","30","900","4"
"4","75","150007","5","96004","30","1000","4"
"4","76","150008","5","96004","30","1150","4"
"4","77","150009","5","96004","30","1300","4"
"4","78","20004","5","96004","500","2500","2"
"4","79","22003","5","96004","500","1000","2"
"4","80","20004","0","96004","100","1000","2"
"4","81","22003","0","96004","100","400","2"
"5","82","25101","1","96005","1","20000","2"
"5","83","21952","1","96005","1","20000","2"
"5","84","21905","1","96005","1","10000","2"
"5","85","41000","2","96005","1","10000","2"
"5","86","31200","5","96005","5","1500","2"
"5","87","31253","5","96005","5","1500","2"
"5","88","31255","5","96005","5","1500","2"
"5","89","31256","5","96005","5","1500","2"
"5","90","90005","5","96005","10","2500","2"
"5","91","140001","10","96005","50","2500","4"
"5","92","25001","10","96005","10","1000","2"
"5","93","150003","5","96005","30","500","4"
"5","94","150004","5","96005","30","650","4"
"5","95","150005","5","96005","30","750","4"
"5","96","150006","5","96005","30","900","4"
"5","97","150007","5","96005","30","1000","4"
"5","98","150008","5","96005","30","1150","4"
"5","99","150009","5","96005","30","1300","4"
"5","100","20004","5","96005","500","2500","2"
"5","101","22003","5","96005","500","1000","2"
"5","102","20004","0","96005","100","1000","2"
"5","103","22003","0","96005","100","400","2"
"6","104","25101","1","96006","1","20000","2"
"6","105","21952","1","96006","1","20000","2"
"6","106","21905","1","96006","1","10000","2"
"6","107","41000","2","96006","1","10000","2"
"6","108","31262","5","96006","5","1500","2"
"6","109","31266","5","96006","5","1500","2"
"6","110","31269","5","96006","5","1500","2"
"6","111","31271","5","96006","5","1500","2"
"6","112","90005","5","96006","10","2500","2"
"6","113","140001","10","96006","50","2500","4"
"6","114","25001","10","96006","10","1000","2"
"6","115","150003","5","96006","30","500","4"
"6","116","150004","5","96006","30","650","4"
"6","117","150005","5","96006","30","750","4"
"6","118","150006","5","96006","30","900","4"
"6","119","150007","5","96006","30","1000","4"
"6","120","150008","5","96006","30","1150","4"
"6","121","150009","5","96006","30","1300","4"
"6","122","20004","5","96006","500","2500","2"
"6","123","22003","5","96006","500","1000","2"
"6","124","20004","0","96006","100","1000","2"
"6","125","22003","0","96006","100","400","2"
"7","126","25101","1","96007","1","20000","2"
"7","127","21952","1","96007","1","20000","2"
"7","128","21905","1","96007","1","10000","2"
"7","129","41000","2","96007","1","10000","2"
"7","130","31272","5","96007","5","1500","2"
"7","131","31808","5","96007","5","2000","2"
"7","132","31275","5","96007","5","1500","2"
"7","133","90005","5","96007","10","2500","2"
"7","134","140001","10","96007","50","2500","4"
"7","135","25001","10","96007","10","1000","2"
"7","136","150003","5","96007","30","500","4"
"7","137","150004","5","96007","30","650","4"
"7","138","150005","5","96007","30","750","4"
"7","139","150006","5","96007","30","900","4"
"7","140","150007","5","96007","30","1000","4"
"7","141","150008","5","96007","30","1150","4"
"7","142","150009","5","96007","30","1300","4"
"7","143","20004","5","96007","500","2500","2"
"7","144","22003","5","96007","500","1000","2"
"7","145","20004","0","96007","100","1000","2"
"7","146","22003","0","96007","100","400","2"
"8","147","25101","1","96008","1","20000","2"
