62aae9a7eba54c2dbb950cec765a5e130bb3123b71311f9acf3002845c65590f,cc9bf43cb8338e2599a3c2549392b5703a85d2c5c8571a91094a4d8417fc7a39,a1d962d72c51b696624aa7956d17bc1d48b4c5033f696249bedfc561eb47b59f,7c486e9c7f1f7f59c9c659e3e992f69314bdcfb767a02c3c8d51c4eec0ad2ad4,7fe04674396f532e8f46549ad45374120fbb43ec69af97d456fc90576d58fb3f,43c262537f93b92777a71bf29da988d02718eec9f4931897c96a9ce982433504,b194037536417b12d240facf7d7e88ef17efda0462fff92f65f7dbf064c51ec0,df70d7de7b561983b0022c89c7708ea640e4e36ac6f92b284834ab37a5c01e6b,6ffa825ff480c014eae965779f628a99dcf0312acbd214af7d7cd354d7992ad5,3e313c582203b8259648bcd09663edc7d1c1979901290d54d70098f565d69764,b23610a58398a896bca2d8f0b6156f4a99f6e7b1b5653ac6186db7c79bfca876,882c237eab9fb39e8adcca4386c184d83361301e07df2618de6baa20d192da24
"0","0","0","2","vo_10020900","0","1010001","0","0","1","1","vo_10020900_0001"
"0.818181818181818","1","0","1","0","0","1010002","180","0","1","2","0"
"0","1","0","4","0","0.818181818181818","1010003","0","1","1","3","0"
"0.634285714285714","2","0","1","0","0","1010004","148","0","1","4","0"
"0","2","0","4","0","1.03428571428571","1010005","0","1","1","5","0"
"1.33714285714286","2","148","1","0","0","1010006","460","0","1","6","0"
"0","2","0","4","0","2.13714285714286","1010007","0","1","1","7","0"
"0","0","0","2","vo_10020900","0","1010008","0","0","1","8","vo_10020900_0002"
"1.12948051948052","3","0","1","0","0","1010009","223","0","1","9","0"
"0","3","0","4","0","2.12948051948052","1010010","0","1","1","10","0"
"0","0","0","2","vo_10020900","0","1010011","0","0","1","11","vo_10020900_0003"
"0.545454545454545","3","223","1","0","0","1010012","343","0","1","12","0"
"0","3","0","4","0","1.04545454545455","1010013","0","1","1","13","0"
"1.71545454545455","3","343","1","0","0","1010014","700","0","1","14","0"
"0","3","0","4","0","2.71545454545455","1010015","0","1","1","15","0"
"0","0","0","2","vo_10020900","0","1010016","0","0","1","16","vo_10020900_0004"
"1.67857142857143","4","0","1","0","0","1010017","275","0","1","17","0"
"0","4","0","4","0","2.17857142857143","1010018","0","1","1","18","0"
"0","0","0","2","vo_10020900","0","1010019","0","0","1","19","vo_10020900_0005"
"1.28311688311688","4","275","1","0","0","1010020","465","0","1","20","0"
"0","4","0","4","0","1.98311688311688","1010021","0","1","1","21","0"
"1.2987012987013","4","465","1","0","0","1010022","715","0","1","22","0"
"0","4","0","4","0","1.9987012987013","1010023","0","1","1","23","0"
"2.07792207792208","5","0","1","0","0","1010024","400","0","1","24","0"
"0","5","0","4","0","3.07792207792208","1010025","0","1","1","25","0"
"0","0","0","2","vo_10020900","0","1010026","0","0","1","26","vo_10020900_0006"
"1.06363636363636","6","0","1","0","0","1010027","182","0","1","27","0"
"0","6","0","4","0","1.56363636363636","1010028","0","1","1","28","0"
"2.96","6","182","1","0","0","1010029","700","0","1","29","0"
"0","6","0","4","0","3.96","1010030","0","1","1","30","0"
"0","0","0","2","vo_10020900","0","1010031","0","0","1","31","vo_10020900_0007"
"0.386363636363636","7","0","1","0","0","1010032","85","0","1","32","0"
"0","7","0","4","0","0.886363636363636","1010033","0","1","1","33","0"
"3.54090909090909","7","85","1","0","0","1010034","750","0","1","34","0"
"0","7","0","4","0","4.54090909090909","1010035","0","1","1","35","0"
"0","0","0","2","vo_10020900","0","1010036","0","0","1","36","vo_10020900_0008"
"0.431818181818182","8","0","1","0","0","1010037","95","0","1","37","0"
"0","8","0","4","0","1.03181818181818","1010038","0","1","1","38","0"
"0","0","0","2","vo_10020900","0","1010039","0","0","1","39","vo_10020900_0009"
"0.709090909090909","8","95","1","0","0","1010040","235","0","1","40","0"
"0","8","0","4","0","1.30909090909091","1010041","0","1","1","41","0"
"0","0","0","2","vo_10020900","0","1010042","0","0","1","42","vo_10020900_0010"
"3.07662337662338","8","235","1","0","0","1010043","750","0","1","43","0"
"0","8","0","4","0","4.07662337662338","1010044","0","1","1","44","0"
"0","0","0","2","vo_10020900","0","1010045","0","0","1","45","vo_10020900_0011"
"1.43506493506493","9","0","1","0","0","1010046","170","0","1","46","0"
"0","9","0","4","0","2.43506493506493","1010047","0","1","1","47","0"
"0","0","0","2","vo_10020900","0","1010048","0","0","1","48","vo_10020900_0012"
"2.75","9","170","1","0","0","1010049","720","0","1","49","0"
"0","9","0","4","0","3.95","1010050","0","1","1","50","0"
"0","0","0","2","vo_10020900","0","1010051","0","0","1","51","vo_10020900_0013"
"1.67792207792208","10","170","1","0","0","1010052","585","0","1","52","0"
"0","10","0","4","0","2.27792207792208","1010053","0","1","1","53","0"
"0.9","10","585","1","0","0","1010054","750","0","1","54","0"
