e9c948689e48559a5048143edcb45041bd0ac16ccdc063ce36b0877c61684ba3,89d799bf919ff5c74942ce9a04e8b74bd821945fea9b08e5ca72380640c99652,a00b2738465e7d7c23f8c63b0ea9a2a7b0f8ec0685cde43c46323dea6a458619,608350c60e61938092ec23235595ebd8092b83b57efaa5007d64fca344422c83,f6774171954dc8a31a3e7149785e1990e5beffc66e4284afb135ea5122c5198e,56fdfd23fed05297c3bbdfa2e4a9b3b3b26a2d7979e18cd861137a87aaa32994,7d2d8407afe2048695d1810c10050cd79c9c5fbf349fe4488c0053a644cfc75f,daf5f7d99dc038ece5fa267174399d810136173eec36c54cfed48a0d76ed79f3,62863e4114a25c1d7d58d089546ace0203b553f248fc64f7ade83760e4e0ce9a,51c9109d762b3422b39d1f18789fc5db495f480e88d7b473b12cff4fca707158,4eaf6621c0b170585cef1b3c2253b270973043917c10b5641c0865f7a926a6ed,e7ae9474f65869bc8270b8ddd60f648a13ddea7e36975cbfd9b6a94912398384,cf29a73284dce3032746e80fa9d3a534f74e2f61b086053c1109c70cea82cdbe
"10001","0","0","0","0","31038","0","31012","60002","0","0","0","60001"
"10002","0","0","0","0","31004","0","31020","60012","0","0","0","60011"
"10003","0","0","0","0","31017","0","31010","60022","0","0","0","60021"
"10004","0","0","0","0","31028","0","31076","60032","0","0","0","60031"
"10005","0","0","0","0","31032","0","31080","60042","0","0","0","60041"
"10006","0","0","0","0","31034","0","31047","60052","0","0","0","60051"
"10007","0","0","0","0","31022","0","31082","60062","0","0","0","60061"
"10008","0","0","0","0","31051","0","31009","60072","0","0","0","60071"
"10009","0","0","0","0","31029","0","31085","60082","0","0","0","60081"
"10010","0","0","0","0","31002","0","31089","60092","0","0","0","60091"
"10011","0","0","0","0","31011","0","31090","60102","0","0","0","60101"
"10012","0","0","0","0","31008","0","31043","60112","0","0","0","60111"
"10013","0","0","0","0","31018","0","31093","60122","0","0","0","60121"
"10014","0","0","0","0","31038","0","31012","60132","0","0","0","60131"
"10015","0","0","0","0","31045","0","31053","60142","0","0","0","60141"
"10016","0","0","0","0","31004","0","31020","60152","0","0","0","60151"
"10017","0","0","0","0","31025","0","31098","60162","0","0","0","60161"
"10018","0","0","0","0","31017","0","31010","60172","0","0","0","60171"
"10019","0","0","0","0","31050","0","31101","60182","0","0","0","60181"
"10020","0","0","0","0","31028","0","31076","60192","0","0","0","60191"
"10021","0","0","0","0","31014","0","31105","60202","0","0","0","60201"
"10022","0","0","0","0","31032","0","31080","60212","0","0","0","60211"
"10023","0","0","0","0","31040","0","31056","60222","0","0","0","60221"
"10024","0","0","0","0","31034","0","31047","60232","0","0","0","60231"
"10025","0","0","0","0","31036","0","31112","60242","0","0","0","60241"
"10026","0","0","0","0","31022","0","31082","60252","0","0","0","60251"
"10027","0","0","0","0","31005","0","31037","60262","0","0","0","60261"
"10028","0","0","0","0","31051","0","31009","60272","0","0","0","60271"
"10029","0","0","0","0","31044","0","31116","60282","0","0","0","60281"
"10030","0","0","0","0","31029","0","31085","60292","0","0","0","60291"
"10031","0","0","0","0","31021","0","31121","60302","0","0","0","60301"
"10032","0","0","0","0","31002","0","31089","60312","0","0","0","60311"
"10033","0","0","0","0","31049","0","31123","60322","0","0","0","60321"
"10034","0","0","0","0","31011","0","31090","60332","0","0","0","60331"
"10035","0","0","0","0","31042","0","31126","60342","0","0","0","60341"
"10036","0","0","0","0","31042","0","31126","60342","0","0","0","60341"
"10037","0","0","0","0","31008","0","31043","60362","0","0","0","60361"
"10038","0","0","0","0","31046","0","31107","60372","0","0","0","60371"
"10039","0","0","0","0","31018","0","31093","60382","0","0","0","60381"
"10040","0","0","0","0","31033","0","31028","60392","0","0","0","60391"
