b8e9ab7f488506c2f72b3f25e343011c49ea3a6c477a9ea6c51398012de8df5d,3c7228c260596eb4e09b84747d755241e68200b889763d9fd04955d9c96ba3c4,19e8726e195502af733f3fb0d3eac312b7c0e70360df45827e85e7bb90cd0d4f,2f1a2066ca7ca3bc832f16f92b08d25dbca98745a921da4d2662b791cb269d1f,f8cb5530ed5bdcf43636b65bc3790351c3a4ab495c384704712f4616af763fbf
"0","999","1","30","20"
"24","999","2","30","20"
"32","999","3","30","21"
"40","999","4","30","21"
"48","999","5","30","22"
"64","999","6","30","22"
"80","999","7","30","23"
"96","999","8","30","23"
"120","999","9","30","24"
"168","999","10","30","24"
"224","999","11","30","25"
"280","999","12","30","25"
"344","999","13","30","26"
"420","999","14","30","26"
"502","999","15","30","27"
"584","999","16","30","28"
"666","999","17","30","30"
"748","999","18","30","35"
"830","999","19","30","40"
"930","999","20","30","45"
"1040","999","21","30","50"
"1178","999","22","30","55"
"1316","999","23","30","60"
"1458","999","24","30","70"
"1604","999","25","30","80"
"1755","999","26","30","85"
"1910","999","27","30","85"
"2070","999","28","30","86"
"2235","999","29","30","87"
"2405","999","30","30","88"
"2579","999","31","30","89"
"2760","999","32","30","90"
"2945","999","33","30","91"
"3136","999","34","30","92"
"3333","999","35","30","93"
"3535","999","36","30","94"
"3744","999","37","30","95"
"3974","999","38","30","96"
"4226","999","39","30","97"
"4504","999","40","30","98"
"4810","999","41","30","99"
"5152","999","42","30","100"
"5535","999","43","30","101"
"5965","999","44","30","102"
"6446","999","45","30","103"
"7004","999","46","30","104"
"7651","999","47","30","105"
"8401","999","48","30","106"
"9272","999","49","30","107"
"10282","999","50","30","108"
"11454","999","51","30","109"
"12813","999","52","30","110"
"14389","999","53","30","111"
"16159","999","54","30","112"
"17929","999","55","30","113"
"19699","999","56","30","114"
"21469","999","57","30","115"
"23239","999","58","30","116"
"25009","999","59","30","117"
"26779","999","60","30","118"
"28549","999","61","30","119"
"30319","999","62","30","120"
"32089","999","63","30","121"
"33859","999","64","30","122"
"35629","999","65","30","123"
"38284","999","66","30","124"
"40939","999","67","30","125"
"43594","999","68","30","126"
"46249","999","69","30","127"
"48904","999","70","30","128"
"51559","999","71","30","129"
"54214","999","72","30","130"
"56869","999","73","30","131"
"59524","999","74","30","132"
"62179","999","75","30","133"
"64834","999","76","30","134"
"68374","999","77","30","135"
"71914","999","78","30","136"
"75454","999","79","30","137"
"78994","999","80","30","138"
"82534","999","81","30","139"
"86074","999","82","30","140"
"89614","999","83","30","141"
"93154","999","84","30","142"
"96694","999","85","30","143"
"100234","999","86","30","144"
"103774","999","87","30","145"
"107314","999","88","30","146"
"110854","999","89","30","147"
"114394","999","90","30","148"
"117934","999","91","30","149"
"121474","999","92","30","150"
"125014","999","93","30","151"
"128554","999","94","30","152"
"132094","999","95","30","153"
"135634","999","96","30","154"
"139174","999","97","30","155"
"142714","999","98","30","156"
"146254","999","99","30","157"
"149794","999","100","30","158"
"153334","999","101","30","159"
"157759","999","102","30","160"
"162184","999","103","30","161"
"166609","999","104","30","162"
"171034","999","105","30","163"
"175459","999","106","30","164"
"179884","999","107","30","165"
"184309","999","108","30","166"
"188734","999","109","30","167"
"193159","999","110","30","168"
"197584","999","111","30","169"
"202009","999","112","30","170"
"206434","999","113","30","171"
"210859","999","114","30","172"
"215284","999","115","30","173"
"219709","999","116","30","174"
"224134","999","117","30","175"
"228559","999","118","30","176"
"232984","999","119","30","177"
"237409","999","120","30","178"
"241834","999","121","30","179"
"246259","999","122","30","180"
