a020425443a4158aaf565d542a30584ba01dd8b79fa4c94b5e72bf637c8ec8ff,4ac5b9a3842f2e361b8100c89129137d8ff33d2fa1bc0d8690c35c78cad9b98f,5fdcaa5ee3052043cad7ac0320ee01e12ae5560e02bd501c527d0f914a142409,a4e133fba017db3a823c84607b8ae4ecc5e82715629d5fc642a83799f23b848d,612909b69f0b2b78cbe47bd2b5be1ccef204e908acdcd93de57a9c2bf9f2fec3,06101fa929c1a0994b4fba9e9017b3e146e7f92d7e45392a5ba82321e0ce322f,4f419b8bbb88fb091ede915ebfa7d8c6bc0042259279de452e19fd97bd81d372,3c038d28dccdc35b93138146bbc0985848855f057ebf7938a3aac38bf7eb0af2,11593110f0e9f5ecce229c02688d4b363e798b7a8f866b4f0c80eae954f6bb1f,244583215a91ecb86597b39e64561de35e2a7cfa8cdc0a2738fc3f101fc0edb6,7639c2e8a18bc46abd772b32a3f0135802d3240b9ee6f6805c4a530e0c1d1d21
"61001","105811","5146061","1","idle_normal","100","-225","1.8","-278","1","0"
"61002","1058","5146061","6","idle_normal","101","-225","1.8","-278","5","0"
"61003","105911","5146061","1","kokkoro_idle_normal","103","-385","1.8","-288","1","0"
"61004","1059","5146061","3","kokkoro_idle_normal","104","-385","1.8","-288","5","0"
"61005","106011","5146061","1","idle_normal","106","290","1.8","-278","1","1"
"61006","1060","5146061","4","idle_normal","107","290","1.8","-278","5","1"
"61007","200","5146061","105811","","","","","","13",""
"61008","203","5146061","105911","","","","","","13",""
"61009","206","5146061","106011","","","","","","13",""
"61010","7","5146061","7","idle","15","0","0.85","-174","5","0"
"61011","201","5146061","20","empty","210","290","1","8","5","0"
"61012","202","5146061","20","empty","211","0","1","-78","5","0"
"61013","203","5146061","20","empty","210","-315","1","16","5","0"
"61014","21","5146061","21","empty","60","0","1","153","5","0"
"61015","1","5146061","1","","0","0","1","1","31",""
"61016","2","5146061","2","","0","-57.7","0","1","31",""
"61017","10","5146061","10","","0","0","0","1","31",""
"61018","11","5146061","11","","0","0","0","1","31",""
"61019","0","5146061","0","","","","","","91",""
"61020","0","5146061","0","","0","","","","102",""
"61021","0","5146061","1","","","","","","93",""
"61022","doya_in_shy","5146061","106011","","0","doya_talk_shy","0.2","1","3","0"
"61023","doya_in_shy","5146061","1060","","0","doya_talk_shy","0.2","1","3","0"
"61024","vo_apg_0101","5146061","vo_apg","","0","0","","","21",""
"61025","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","5146061","106011","0","10","1","0","1","11","0"
"61026","","5146061","0","","","","","","91",""
"61027","1","5146061","2","","","","","","32",""
"61028","fade105_in","5146061","2","","","","","","37",""
"61029","0","5146061","106011","","","","","","4",""
"61030","0","5146061","1060","","","","","","4",""
"61031","sad_idle_dere_shy","5146061","106011","","1","","0.5","","3",""
"61032","sad_idle_dere_shy","5146061","1060","","1","","0.5","","3",""
"61033","vo_apg_0102","5146061","vo_apg","","0","0","","","21",""
"61034","0102_in","5146061","201","","0","","0","","3",""
"61035","1","5146061","4.6","","","","","","93",""
"61036","0102_mid","5146061","201","","0","","0","","3",""
"61037","","5146061","","","","","","","92",""
"61038","0102_out","5146061","201","","0","","0","","3",""
"61039","0","5146061","0.2","","","","","","93",""
"61040","kyaru_smile_in","5146061","106011","","0","kyaru_smile_idle","0.2","1","3","0"
"61041","kyaru_smile_in","5146061","1060","","0","kyaru_smile_idle","0.2","1","3","0"
"61042","vo_apg_0103","5146061","vo_apg","","0","0","","","21",""
"61043","0103_in","5146061","201","","0","","0","","3",""
"61044","1","5146061","5.4","","","","","","93",""
"61045","0103_mid","5146061","201","","0","","0","","3",""
"61046","","5146061","","","","","","","92",""
"61047","0103_out","5146061","201","","0","","0","","3",""
"61048","0","5146061","0.2","","","","","","93",""
"61049","fade105_out","5146061","2","","","","","","37",""
"61050","1","5146061","105811","","","","","","4",""
"61051","1","5146061","1058","","","","","","4",""
"61052","surprise_talk","5146061","105811","","1","","0.2","","3",""
"61053","surprise_talk","5146061","1058","","1","","0.2","","3",""
"61054","vo_apg_0104","5146061","vo_apg","","0","0","","","21",""
"61055","……キャルちゃん、\n写真写りたくないんですかね…？","5146061","105811","0","10","1","0","1","11","0"
"61056","","5146061","0","","","","","","91",""
"61057","surprise_idle_talk1R","5146061","105811","","1","","0.2","","3",""
"61058","surprise_idle_talk1R","5146061","1058","","1","","0.2","","3",""
"61059","kokkoro_surprise_talk","5146061","105911","","1","","0.2","","3",""
"61060","kokkoro_surprise_talk","5146061","1059","","1","","0.2","","3",""
"61061","vo_apg_0105","5146061","vo_apg","","0","0","","","21",""
"61062","はい。\nどうやらそのようでございます","5146061","105911","0","10","1","0","1","11","0"
"61063","","5146061","0","","","","","","91",""
"61064","kokkoro_idle_normal","5146061","105911","","1","","0.2","","3",""
"61065","kokkoro_idle_normal","5146061","1059","","1","","0.2","","3",""
"61066","idle_normal_talk1R","5146061","105811","","1","","0.2","","3",""
"61067","idle_normal_talk1R","5146061","1058","","1","","0.2","","3",""
"61068","0","5146061","105811","","","","","","4",""
"61069","0","5146061","1058","","","","","","4",""
"61070","1","5146061","106011","","","","","","4",""
"61071","1","5146061","1060","","","","","","4",""
"61072","cool_in_sing_shy","5146061","106011","","0","cool_talk_sing_shy","0.2","1","3","0"
"61073","cool_in_sing_shy","5146061","1060","","0","cool_talk_sing_shy","0.2","1","3","0"
