8de42aa40afc1c4d94468bbde702cd3e1d05a0a30c930613bffcf8de22330334,765c6bef328234b8dfec93fb1cd7a4507a59478f3ff15484149c12dd92c5bb43,4b6bee3224d210c5bde45147c85aabf3046dbd447629ef9305b84f6b282553bd
"14","1","4"
"20","2","15"
"25","3","21"
"30","4","26"
"35","5","31"
"40","6","36"
"45","7","41"
"50","8","46"
"55","9","51"
"60","10","56"
"65","11","61"
"70","12","66"
"75","13","71"
"80","14","76"
"85","15","81"
"90","16","86"
"95","17","91"
"100","18","96"
"105","19","101"
"110","20","106"
"115","21","111"
"120","22","116"
"125","23","121"
"130","24","126"
"135","25","131"
"140","26","136"
"145","27","141"
"150","28","146"
"155","29","151"
"160","30","156"
"165","31","161"
"170","32","166"
"175","33","171"
"180","34","176"
"185","35","181"
"190","36","186"
"195","37","191"
"200","38","196"
"205","39","201"
"210","40","206"
"215","41","211"
"220","42","216"
"225","43","221"
"230","44","226"
"235","45","231"
"240","46","236"
"245","47","241"
"250","48","246"
"255","49","251"
"260","50","256"
"265","51","261"
"270","52","266"
"275","53","271"
"280","54","276"
"285","55","281"
"290","56","286"
"295","57","291"
"300","58","296"
"305","59","301"
"310","60","306"
"315","61","311"
"320","62","316"
"325","63","321"
"330","64","326"
"335","65","331"
"340","66","336"
"345","67","341"
"350","68","346"
"355","69","351"
"360","70","356"
"365","71","361"
"370","72","366"
"-1","73","371"
