6b7bbbae90bbda4c217d413d2641e18e0b87cab9249d4047a0730997c893a9c2,41fa24a7e42337a2790919eafe66623bfe15fc8ac1eec0f29492b070a8cfa65d,cd0526a7d2c29d426b3989f64f9cce8c266de8e25dc73a01a2f0dc314e4a1b35,ae1e3ae73bc6d49b69482442ee6bde2d3286cf6c947336061d60adf57cefffd6,4ee4f3fa8fe156dea002961ee80ddc8651aa16e54385979de1cab823dbfc11fd,fc4f0ab408af242c096b5826df30d7e1ae7aa9d7617742aa05249a2bb0a18ee6,19e2f5dc7e8e21d4fc8163ba06a37b1cc8b2f10f7af30ef83e28c3b3347695ea,640fe4e9500ed2a24636005e181c755fa9946049d43d718379c7437824a82d69,5fda5b10326abb9e7faf8aa55bad84aca0ffea44e38deebed5e9e48081c00929,4865a2536bc7355d263eed770224c7c2250a33ce28a4c136f497b1d698a79c75,af41b132037386f71225c400e238224d756d94f790c235c5330566a5de0fdba7,b7c559e6561952cd8bbc02fa1c748d9f8d23fb92c24eb368d7642048f6b92dd9,896459c0e253be4a6e1bd9406047741b02342e55250dbedbb9bd68b27676812a,ad07cf4750db99a171e5ecd1721e371549c82aea02740f0dadb563f497c62782
"1101","75","1","2","2","4","10","5","3","1","1","20","0","10"
"1102","75","3","2","3","4","10","5","3","1","1","20","65","10"
"1103","75","4","2","5","4","10","5","3","1","1","20","0","10"
"1104","75","6","2","6","4","10","5","3","1","1","20","65","10"
"1105","75","7","2","8","4","10","5","3","1","1","20","0","10"
"1106","75","9","2","9","4","10","5","3","1","1","20","65","10"
"1107","75","10","2","11","4","10","5","3","1","1","20","0","10"
"1108","75","12","2","12","4","10","5","3","1","1","20","65","10"
"1109","75","13","2","14","4","10","5","3","1","1","20","0","10"
"1110","75","15","2","15","4","10","5","3","1","1","20","65","10"
"2101","60","1","2","2","4","12","5","3","1","2","30","0","12"
"2102","60","3","2","3","4","12","5","3","1","2","30","40","12"
"2103","60","4","2","5","4","12","5","3","1","2","30","0","12"
"2104","60","6","2","6","4","12","5","3","1","2","30","40","12"
"2105","60","7","2","8","4","12","5","3","1","2","30","0","12"
"2106","60","9","2","9","4","12","5","3","1","2","30","40","12"
"2107","60","10","2","11","4","12","5","3","1","2","30","0","12"
"2108","60","12","2","12","4","12","5","3","1","2","30","40","12"
"2109","60","13","2","14","4","12","5","3","1","2","30","0","12"
"2110","60","15","2","15","4","12","5","3","1","2","30","40","12"
"3101","65","1","2","2","4","13","5","3","1","3","25","0","13"
"3102","65","3","2","3","4","13","5","3","1","3","25","35","13"
"3103","65","4","2","5","4","13","5","3","1","3","25","0","13"
"3104","65","6","2","6","4","13","5","3","1","3","25","35","13"
"3105","65","7","2","8","4","13","5","3","1","3","25","0","13"
"3106","65","9","2","9","4","13","5","3","1","3","25","35","13"
"3107","65","10","2","11","4","13","5","3","1","3","25","0","13"
"3108","65","12","2","12","4","13","5","3","1","3","25","35","13"
"3109","65","13","2","14","4","13","5","3","1","3","25","0","13"
"3110","65","15","2","15","4","13","5","3","1","3","25","35","13"
"4101","65","1","2","2","4","13","5","3","1","4","25","0","13"
"4102","65","3","2","3","4","13","5","3","1","4","25","35","13"
"4103","65","4","2","5","4","13","5","3","1","4","25","0","13"
"4104","65","6","2","6","4","13","5","3","1","4","25","35","13"
"4105","65","7","2","8","4","13","5","3","1","4","25","0","13"
"4106","65","9","2","9","4","13","5","3","1","4","25","35","13"
"4107","65","10","2","11","4","13","5","3","1","4","25","0","13"
"4108","65","12","2","12","4","13","5","3","1","4","25","35","13"
"4109","65","13","2","14","4","13","5","3","1","4","25","0","13"
"4110","65","15","2","15","4","13","5","3","1","4","25","35","13"
"5101","65","1","2","2","4","12","6","3","1","5","30","0","12"
"5102","65","3","2","3","4","12","6","3","1","5","30","25","12"
"5103","65","4","2","5","4","12","6","3","1","5","30","0","12"
"5104","65","6","2","6","4","12","6","3","1","5","30","25","12"
"5105","65","7","2","8","4","12","6","3","1","5","30","0","12"
"5106","65","9","2","9","4","12","6","3","1","5","30","25","12"
"5107","65","10","2","11","4","12","6","3","1","5","30","0","12"
"5108","65","12","2","12","4","12","6","3","1","5","30","25","12"
"5109","65","13","2","14","4","12","6","3","1","5","30","0","12"
"5110","65","15","2","15","4","12","6","3","1","5","30","25","12"
"6101","60","1","2","2","4","13","6","3","1","6","30","0","13"
"6102","60","3","2","3","4","13","6","3","1","6","30","25","13"
"6103","60","4","2","5","4","13","6","3","1","6","30","0","13"
"6104","60","6","2","6","4","13","6","3","1","6","30","25","13"
"6105","60","7","2","8","4","13","6","3","1","6","30","0","13"
"6106","60","9","2","9","4","13","6","3","1","6","30","25","13"
"6107","60","10","2","11","4","13","6","3","1","6","30","0","13"
"6108","60","12","2","12","4","13","6","3","1","6","30","25","13"
"6109","60","13","2","14","4","13","6","3","1","6","30","0","13"
"6110","60","15","2","15","4","13","6","3","1","6","30","25","13"
"7101","25","1","2","2","4","15","6","3","1","7","40","0","15"
"7102","25","3","2","3","4","15","6","3","1","7","40","35","15"
"7103","25","4","2","5","4","15","6","3","1","7","40","0","15"
"7104","25","6","2","6","4","15","6","3","1","7","40","35","15"
"7105","25","7","2","8","4","15","6","3","1","7","40","0","15"
"7106","25","9","2","9","4","15","6","3","1","7","40","35","15"
"7107","25","10","2","11","4","15","6","3","1","7","40","0","15"
"7108","25","12","2","12","4","15","6","3","1","7","40","35","15"
"7109","25","13","2","14","4","15","6","3","1","7","40","0","15"
"7110","25","15","2","15","4","15","6","3","1","7","40","35","15"
"8101","65","1","2","2","4","12","5","3","1","8","30","0","12"
"8102","65","3","2","3","4","12","5","3","1","8","30","40","12"
"8103","65","4","2","5","4","12","5","3","1","8","30","0","12"
"8104","65","6","2","6","4","12","5","3","1","8","30","40","12"
"8105","65","7","2","8","4","12","5","3","1","8","30","0","12"
"8106","65","9","2","9","4","12","5","3","1","8","30","40","12"
"8107","65","10","2","11","4","12","5","3","1","8","30","0","12"
"8108","65","12","2","12","4","12","5","3","1","8","30","40","12"
"8109","65","13","2","14","4","12","5","3","1","8","30","0","12"
"8110","65","15","2","15","4","12","5","3","1","8","30","40","12"
